PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,,,,,,,,,,,,,,,,,,,,,,,,
1,2.4820E+05,2.3215E+05,1.6051E+04,0.0000E+00,0.0000E+00,2.3215E+05,1.0634E+04,1.8214E+03,3.5951E+03,,,,,,,,,,,,,,,,,,,,,,,,
1.5,8.9278E+04,8.3964E+04,5.3137E+03,0.0000E+00,0.0000E+00,8.3964E+04,3.9517E+03,4.5856E+02,9.0348E+02,,,,,,,,,,,,,,,,,,,,,,,,
2,4.1584E+04,3.9194E+04,2.3900E+03,0.0000E+00,0.0000E+00,3.9194E+04,1.8951E+03,1.6679E+02,3.2817E+02,,,,,,,,,,,,,,,,,,,,,,,,
3,1.3526E+04,1.2769E+04,7.5725E+02,0.0000E+00,0.0000E+00,1.2769E+04,6.4321E+02,3.8485E+01,7.5554E+01,,,,,,,,,,,,,,,,,,,,,,,,
4,5.9395E+03,5.6101E+03,3.2939E+02,0.0000E+00,0.0000E+00,5.6101E+03,2.9047E+02,1.3155E+01,2.5767E+01,,,,,,,,,,,,,,,,,,,,,,,,
5,3.0954E+03,2.9244E+03,1.7103E+02,0.0000E+00,0.0000E+00,2.9244E+03,1.5438E+02,5.6370E+00,1.1020E+01,,,,,,,,,,,,,,,,,,,,,,,,
6,1.8031E+03,1.7037E+03,9.9401E+01,0.0000E+00,0.0000E+00,1.7037E+03,9.1185E+01,2.7833E+00,5.4324E+00,,,,,,,,,,,,,,,,,,,,,,,,
8,7.5861E+02,7.1687E+02,4.1735E+01,0.0000E+00,0.0000E+00,7.1687E+02,3.9080E+01,9.0080E-01,1.7534E+00,,,,,,,,,,,,,,,,,,,,,,,,
10,3.8369E+02,3.6260E+02,2.1089E+01,0.0000E+00,0.0000E+00,3.6260E+02,1.9997E+01,3.7231E-01,7.2000E-01,,,,,,,,,,,,,,,,,,,,,,,,
15,1.0900E+02,1.0301E+02,5.9898E+00,0.0000E+00,0.0000E+00,1.0301E+02,5.7755E+00,7.3419E-02,1.4094E-01,,,,,,,,,,,,,,,,,,,,,,,,
20,4.4006E+01,4.1586E+01,2.4203E+00,0.0000E+00,0.0000E+00,4.1586E+01,2.3535E+00,2.3009E-02,4.3868E-02,,,,,,,,,,,,,,,,,,,,,,,,
30,1.2044E+01,1.1380E+01,6.6344E-01,0.0000E+00,0.0000E+00,1.1380E+01,6.5063E-01,4.4407E-03,8.3654E-03,,,,,,,,,,,,,,,,,,,,,,,,
40,4.7536E+00,4.4915E+00,2.6217E-01,0.0000E+00,0.0000E+00,4.4915E+00,2.5822E-01,1.3785E-03,2.5682E-03,,,,,,,,,,,,,,,,,,,,,,,,
50,2.3010E+00,2.1739E+00,1.2701E-01,0.0000E+00,0.0000E+00,2.1739E+00,1.2542E-01,5.5743E-04,1.0285E-03,,,,,,,,,,,,,,,,,,,,,,,,
60,1.2691E+00,1.1990E+00,7.0095E-02,0.0000E+00,0.0000E+00,1.1990E+00,6.9340E-02,2.6696E-04,4.8786E-04,,,,,,,,,,,,,,,,,,,,,,,,
80,4.9521E-01,4.6784E-01,2.7375E-02,0.0000E+00,0.0000E+00,4.6784E-01,2.7139E-02,8.4329E-05,1.5166E-04,,,,,,,,,,,,,,,,,,,,,,,,
100,2.3863E-01,2.2543E-01,1.3199E-02,0.0000E+00,0.0000E+00,2.2543E-01,1.3103E-02,3.4914E-05,6.1899E-05,,,,,,,,,,,,,,,,,,,,,,,,
150,6.3775E-02,6.0244E-02,3.5312E-03,0.0000E+00,0.0000E+00,6.0244E-02,3.5113E-03,7.3002E-06,1.2619E-05,,,,,,,,,,,,,,,,,,,,,,,,
200,2.5357E-02,2.3952E-02,1.4050E-03,0.0000E+00,0.0000E+00,2.3952E-02,1.3982E-03,2.5043E-06,4.2606E-06,,,,,,,,,,,,,,,,,,,,,,,,
300,7.2005E-03,6.8012E-03,3.9933E-04,0.0000E+00,0.0000E+00,6.8012E-03,3.9772E-04,5.9766E-07,1.0107E-06,,,,,,,,,,,,,,,,,,,,,,,,
400,3.0985E-03,2.9269E-03,1.7160E-04,0.0000E+00,0.0000E+00,2.9269E-03,1.7098E-04,2.3133E-07,3.9633E-07,,,,,,,,,,,,,,,,,,,,,,,,
500,1.6736E-03,1.5809E-03,9.2690E-05,0.0000E+00,0.0000E+00,1.5809E-03,9.2371E-05,1.1568E-07,2.0365E-07,,,,,,,,,,,,,,,,,,,,,,,,
600,1.0434E-03,9.8562E-04,5.7782E-05,0.0000E+00,0.0000E+00,9.8562E-04,5.7591E-05,6.7824E-08,1.2323E-07,,,,,,,,,,,,,,,,,,,,,,,,
800,5.2709E-04,4.9791E-04,2.9189E-05,0.0000E+00,0.0000E+00,4.9791E-04,2.9098E-05,3.0973E-08,6.0386E-08,,,,,,,,,,,,,,,,,,,,,,,,
1000,3.2767E-04,3.0953E-04,1.8146E-05,0.0000E+00,0.0000E+00,3.0953E-04,1.8091E-05,1.7778E-08,3.7008E-08,,,,,,,,,,,,,,,,,,,,,,,,
1500,1.5423E-04,1.4568E-04,8.5481E-06,0.0000E+00,0.0000E+00,1.4568E-04,8.5236E-06,7.2651E-09,1.7168E-08,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
