PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
1,9.5994E+05,0.0000E+00,8.3431E+05,1.2402E+05,1.6057E+03,0.0000E+00,0.0000E+00,2.8288E+05,5.5143E+05,2.5219E+04,2.6195E+04,5.0954E+04,8.7849E+03,1.2870E+04,1.6057E+03,,,,,,,,,,,,,,,,,,
1.0055,9.4652E+05,0.0000E+00,8.2251E+05,1.2243E+05,1.5895E+03,0.0000E+00,0.0000E+00,2.7889E+05,5.4362E+05,2.4973E+04,2.5876E+04,5.0325E+04,8.6222E+03,1.2631E+04,1.5895E+03,,,,,,,,,,,,,,,,,,
1.0136,1.0567E+06,0.0000E+00,9.3501E+05,1.2016E+05,1.5664E+03,0.0000E+00,1.2922E+05,2.7323E+05,5.3256E+05,2.4622E+04,2.5420E+04,4.9429E+04,8.3923E+03,1.2293E+04,1.5664E+03,,,,,,,,,,,,,,,,,,
1.5,4.1221E+05,0.0000E+00,3.6470E+05,4.6755E+04,7.4914E+02,0.0000E+00,6.9355E+04,1.0083E+05,1.9452E+05,1.1954E+04,1.0097E+04,1.9442E+04,2.1387E+03,3.1226E+03,7.4914E+02,,,,,,,,,,,,,,,,,,
2,1.9925E+05,0.0000E+00,1.7604E+05,2.2784E+04,4.2448E+02,0.0000E+00,4.2446E+04,4.5845E+04,8.7747E+04,6.8225E+03,4.8498E+03,9.2727E+03,7.4866E+02,1.0903E+03,4.2448E+02,,,,,,,,,,,,,,,,,,
3,6.8764E+04,0.0000E+00,6.0561E+04,8.0194E+03,1.8367E+02,0.0000E+00,1.9588E+04,1.4155E+04,2.6817E+04,2.9724E+03,1.6090E+03,3.0454E+03,1.6018E+02,2.3236E+02,1.8367E+02,,,,,,,,,,,,,,,,,,
4,3.1664E+04,0.0000E+00,2.7815E+04,3.7494E+03,9.9383E+01,0.0000E+00,1.0795E+04,5.9090E+03,1.1111E+04,1.6027E+03,7.0225E+02,1.3192E+03,5.1238E+01,7.4078E+01,9.9383E+01,,,,,,,,,,,,,,,,,,
5,1.7190E+04,0.0000E+00,1.5072E+04,2.0576E+03,6.0428E+01,0.0000E+00,6.6408E+03,2.9387E+03,5.4925E+03,9.7579E+02,3.5977E+02,6.7171E+02,2.0611E+01,2.9711E+01,6.0428E+01,,,,,,,,,,,,,,,,,,
6,1.0380E+04,0.0000E+00,9.0877E+03,1.2522E+03,3.9792E+01,0.0000E+00,4.4003E+03,1.6394E+03,3.0480E+03,6.4304E+02,2.0498E+02,3.8069E+02,9.6388E+00,1.3858E+01,3.9792E+01,,,,,,,,,,,,,,,,,,
8,4.6428E+03,0.0000E+00,4.0567E+03,5.6589E+02,2.0148E+01,0.0000E+00,2.2412E+03,6.3862E+02,1.1769E+03,3.2582E+02,8.2096E+01,1.5110E+02,2.8358E+00,4.0353E+00,2.0148E+01,,,,,,,,,,,,,,,,,,
