PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
1,1.9591E+05,0.0000E+00,0.0000E+00,1.9284E+05,3.0643E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.1105E+04,3.5811E+04,6.9729E+04,2.2829E+04,3.3370E+04,2.4784E+03,2.0101E+02,3.8484E+02,,,,,,,,,,,,,,,,
1.1209,1.4955E+05,0.0000E+00,0.0000E+00,1.4707E+05,2.4818E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5567E+04,2.8191E+04,5.4684E+04,1.5701E+04,2.2926E+04,2.0225E+03,1.5785E+02,3.0142E+02,,,,,,,,,,,,,,,,
1.1299,5.7300E+05,0.0000E+00,4.2626E+05,1.4429E+05,2.4450E+03,0.0000E+00,0.0000E+00,0.0000E+00,4.2626E+05,2.5216E+04,2.7714E+04,5.3744E+04,1.5291E+04,2.2326E+04,1.9936E+03,1.5515E+02,2.9620E+02,,,,,,,,,,,,,,,,
1.1493,6.7459E+05,0.0000E+00,5.3370E+05,1.3852E+05,2.3679E+03,0.0000E+00,0.0000E+00,0.0000E+00,5.3370E+05,2.4478E+04,2.6717E+04,5.1782E+04,1.4449E+04,2.1094E+04,1.9331E+03,1.4951E+02,2.8531E+02,,,,,,,,,,,,,,,,
1.1585,8.7605E+05,0.0000E+00,7.3782E+05,1.3590E+05,2.3326E+03,0.0000E+00,0.0000E+00,2.0665E+05,5.3117E+05,2.4140E+04,2.6261E+04,5.0885E+04,1.4071E+04,2.0540E+04,1.9054E+03,1.4693E+02,2.8033E+02,,,,,,,,,,,,,,,,
1.2895,7.4761E+05,0.0000E+00,6.4079E+05,1.0491E+05,1.9024E+03,0.0000E+00,0.0000E+00,2.1830E+05,4.2250E+05,1.9974E+04,2.0745E+04,4.0059E+04,9.8182E+03,1.4317E+04,1.5663E+03,1.1579E+02,2.2038E+02,,,,,,,,,,,,,,,,
1.2998,8.3032E+05,0.0000E+00,7.2555E+05,1.0290E+05,1.8735E+03,0.0000E+00,9.8027E+04,2.1380E+05,4.1372E+05,1.9691E+04,2.0378E+04,3.9340E+04,9.5560E+03,1.3934E+04,1.5434E+03,1.1372E+02,2.1640E+02,,,,,,,,,,,,,,,,
1.5,5.8837E+05,0.0000E+00,5.1451E+05,7.2441E+04,1.4188E+03,0.0000E+00,8.1603E+04,1.4782E+05,2.8509E+05,1.5185E+04,1.4683E+04,2.8219E+04,5.8441E+03,8.5092E+03,1.1818E+03,8.1832E+01,1.5520E+02,,,,,,,,,,,,,,,,
2,2.9062E+05,0.0000E+00,2.5458E+05,3.5246E+04,7.9781E+02,0.0000E+00,5.1165E+04,6.9928E+04,1.3349E+05,8.8255E+03,7.3144E+03,1.3936E+04,2.1090E+03,3.0613E+03,6.8023E+02,4.0770E+01,7.6809E+01,,,,,,,,,,,,,,,,
3,1.0207E+05,0.0000E+00,8.9342E+04,1.2390E+04,3.4115E+02,0.0000E+00,2.4643E+04,2.2426E+04,4.2274E+04,3.9332E+03,2.5361E+03,4.7727E+03,4.6965E+02,6.7850E+02,3.0044E+02,1.4380E+01,2.6327E+01,,,,,,,,,,,,,,,,
