PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,,,,,,,,,,,,,,,,
1,3.9630E+05,0.0000E+00,0.0000E+00,3.7575E+05,2.0549E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.3377E+04,5.6172E+04,1.1058E+05,6.7307E+04,9.8313E+04,5.8817E+03,5.0017E+03,9.6658E+03,,,,,,,,,,,,,,,,
1.5,1.5131E+05,0.0000E+00,0.0000E+00,1.4208E+05,9.2310E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1997E+04,2.5263E+04,4.8755E+04,1.8773E+04,2.7289E+04,2.8589E+03,2.1947E+03,4.1775E+03,,,,,,,,,,,,,,,,
1.6717,1.1613E+05,0.0000E+00,0.0000E+00,1.0877E+05,7.3546E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8164E+04,2.0003E+04,3.8419E+04,1.3129E+04,1.9058E+04,2.3410E+03,1.7312E+03,3.2824E+03,,,,,,,,,,,,,,,,
1.6851,5.0960E+05,0.0000E+00,3.9572E+05,1.0664E+05,7.2314E+03,0.0000E+00,0.0000E+00,0.0000E+00,3.9572E+05,1.7908E+04,1.9656E+04,3.7740E+04,1.2784E+04,1.8556E+04,2.3065E+03,1.7009E+03,3.2239E+03,,,,,,,,,,,,,,,,
1.7267,4.3993E+05,0.0000E+00,3.3269E+05,1.0038E+05,6.8659E+03,0.0000E+00,0.0000E+00,0.0000E+00,3.3269E+05,1.7144E+04,1.8627E+04,3.5726E+04,1.1783E+04,1.7098E+04,2.2041E+03,1.6110E+03,3.0508E+03,,,,,,,,,,,,,,,,
1.7405,6.2464E+05,0.0000E+00,5.1948E+05,9.8407E+04,6.7502E+03,0.0000E+00,0.0000E+00,1.8870E+05,3.3079E+05,1.6900E+04,1.8300E+04,3.5088E+04,1.1473E+04,1.6645E+04,2.1716E+03,1.5825E+03,2.9961E+03,,,,,,,,,,,,,,,,
1.9005,4.9720E+05,0.0000E+00,4.1261E+05,7.9002E+04,5.5877E+03,0.0000E+00,0.0000E+00,1.4140E+05,2.7120E+05,1.4414E+04,1.5019E+04,2.8687E+04,8.5261E+03,1.2356E+04,1.8421E+03,1.2973E+03,2.4484E+03,,,,,,,,,,,,,,,,
1.9157,5.5208E+05,0.0000E+00,4.6915E+05,7.7437E+04,5.4918E+03,0.0000E+00,6.4798E+04,1.3871E+05,2.6563E+05,1.4205E+04,1.4748E+04,2.8162E+04,8.2977E+03,1.2024E+04,1.8146E+03,1.2738E+03,2.4034E+03,,,,,,,,,,,,,,,,
2,5.0013E+05,0.0000E+00,4.2564E+05,6.9495E+04,4.9989E+03,0.0000E+00,6.4283E+04,1.2437E+05,2.3698E+05,1.3127E+04,1.3363E+04,2.5471E+04,7.1620E+03,1.0372E+04,1.6726E+03,1.1534E+03,2.1728E+03,,,,,,,,,,,,,,,,
3,1.8097E+05,0.0000E+00,1.5439E+05,2.4591E+04,1.9919E+03,0.0000E+00,3.3071E+04,4.2248E+04,7.9066E+04,6.0678E+03,4.9949E+03,9.3628E+03,1.7076E+03,2.4584E+03,7.5995E+02,4.3132E+02,8.0063E+02,,,,,,,,,,,,,,,,
