PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,,,,,,,,,,,,,
1,1.3706E+06,0.0000E+00,0.0000E+00,1.2165E+06,1.5413E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.2327E+04,1.0218E+05,2.1733E+05,3.3558E+05,4.8907E+05,1.8619E+04,2.0781E+04,4.1840E+04,2.9193E+04,4.2169E+04,1.5299E+03,,,,,,,,,,,,,
1.5,5.4566E+05,0.0000E+00,0.0000E+00,4.8027E+05,6.5383E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.0903E+04,5.6731E+04,1.1405E+05,1.0987E+05,1.5872E+05,9.2870E+03,1.0224E+04,1.9937E+04,1.0357E+04,1.4831E+04,7.4718E+02,,,,,,,,,,,,,
2,2.7372E+05,0.0000E+00,0.0000E+00,2.3936E+05,3.4350E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5771E+04,3.3924E+04,6.6188E+04,4.6587E+04,6.6896E+04,5.5627E+03,5.8833E+03,1.1237E+04,4.6322E+03,6.5927E+03,4.4258E+02,,,,,,,,,,,,,
3,9.9912E+04,0.0000E+00,0.0000E+00,8.6608E+04,1.3304E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2740E+04,1.4852E+04,2.7985E+04,1.2806E+04,1.8225E+04,2.6328E+03,2.5180E+03,4.6766E+03,1.3568E+03,1.9130E+03,2.0688E+02,,,,,,,,,,,,,
3.5318,6.5944E+04,0.0000E+00,0.0000E+00,5.6976E+04,8.9674E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.4492E+03,1.0340E+04,1.9236E+04,7.4249E+03,1.0526E+04,1.9297E+03,1.7468E+03,3.2085E+03,8.0329E+02,1.1281E+03,1.5109E+02,,,,,,,,,,,,,
3.56,2.1075E+05,0.0000E+00,1.4614E+05,5.5815E+04,8.7946E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.4614E+05,9.3103E+03,1.0154E+04,1.8879E+04,7.2272E+03,1.0244E+04,1.9003E+03,1.7152E+03,3.1488E+03,7.8265E+02,1.0989E+03,1.4877E+02,,,,,,,,,,,,,
3.7273,1.8809E+05,0.0000E+00,1.3066E+05,4.9561E+04,7.8631E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.3066E+05,8.5450E+03,9.1418E+03,1.6937E+04,6.1833E+03,8.7547E+03,1.7392E+03,1.5433E+03,2.8244E+03,6.7326E+02,9.4420E+02,1.3882E+02,,,,,,,,,,,,,
3.7571,2.5317E+05,0.0000E+00,1.9691E+05,4.8547E+04,7.7108E+03,0.0000E+00,0.0000E+00,6.8804E+04,1.2811E+05,8.4180E+03,8.9752E+03,1.6619E+04,6.0173E+03,8.5181E+03,1.7125E+03,1.5151E+03,2.7713E+03,6.5579E+02,9.1951E+02,1.3668E+02,,,,,,,,,,,,,
3.9904,2.1861E+05,0.0000E+00,1.7044E+05,4.1518E+04,6.6486E+03,0.0000E+00,0.0000E+00,5.9687E+04,1.1076E+05,7.5147E+03,7.8035E+03,1.4386E+04,4.8951E+03,6.9194E+03,1.5233E+03,1.3165E+03,2.3984E+03,5.3706E+02,7.5184E+02,1.2151E+02,,,,,,,,,,,,,
4,2.5116E+05,0.0000E+00,2.0329E+05,4.1260E+04,6.6094E+03,0.0000E+00,3.3837E+04,5.9357E+04,1.1010E+05,7.4807E+03,7.7599E+03,1.4303E+04,4.8548E+03,6.8621E+03,1.5162E+03,1.3091E+03,2.3845E+03,5.3277E+02,7.4580E+02,1.2094E+02,,,,,,,,,,,,,
4.0224,2.4553E+05,0.0000E+00,1.9835E+05,4.0666E+04,6.5190E+03,0.0000E+00,3.1176E+04,5.8599E+04,1.0857E+05,7.4022E+03,7.6593E+03,1.4111E+04,4.7625E+03,6.7307E+03,1.4998E+03,1.2921E+03,2.3526E+03,5.2295E+02,7.3196E+02,1.1962E+02,,,,,,,,,,,,,
