PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,,,
1,1.9461E+06,0.0000E+00,0.0000E+00,1.5880E+06,3.5809E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.4453E+05,9.4349E+05,2.9548E+04,3.4168E+04,7.3003E+04,8.0882E+04,1.1794E+05,5.6819E+03,5.3328E+03,1.0970E+04,5.6376E+02,,,,,,,,,,
1.0559,1.7235E+06,0.0000E+00,0.0000E+00,1.4004E+06,3.2311E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.6912E+05,8.3129E+05,2.7120E+04,3.1541E+04,6.6913E+04,7.2053E+04,1.0488E+05,5.1839E+03,4.8923E+03,1.0008E+04,5.1302E+02,,,,,,,,,,
1.0643,1.9390E+06,0.0000E+00,0.0000E+00,1.6208E+06,3.1821E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4637E+05,5.5868E+05,8.1578E+05,2.6778E+04,3.1168E+04,6.6055E+04,7.0824E+04,1.0307E+05,5.1144E+03,4.8302E+03,9.8728E+03,5.0596E+02,,,,,,,,,,
1.1313,1.7038E+06,0.0000E+00,0.0000E+00,1.4211E+06,2.8278E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3270E+05,4.8373E+05,7.0463E+05,2.4285E+04,2.8427E+04,5.9760E+04,6.1970E+04,9.0009E+04,4.6105E+03,4.3767E+03,8.8912E+03,4.5484E+02,,,,,,,,,,
1.1403,1.7735E+06,0.0000E+00,0.0000E+00,1.4951E+06,2.7841E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.8453E+04,2.3107E+05,4.7456E+05,6.9106E+05,2.3975E+04,2.8082E+04,5.8973E+04,6.0883E+04,8.8408E+04,4.5481E+03,4.3201E+03,8.7692E+03,4.4852E+02,,,,,,,,,,
1.2724,1.4113E+06,0.0000E+00,0.0000E+00,1.1874E+06,2.2386E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.9862E+04,2.0158E+05,3.6535E+05,5.3061E+05,2.0061E+04,2.3648E+04,4.8997E+04,4.7475E+04,6.8706E+04,3.7661E+03,3.6012E+03,7.2319E+03,3.6929E+02,,,,,,,,,,
1.2826,1.4492E+06,0.0000E+00,0.0000E+00,1.2289E+06,2.2027E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.2080E+04,8.9096E+04,1.9927E+05,3.5828E+05,5.2018E+05,1.9799E+04,2.3348E+04,4.8329E+04,4.6605E+04,6.7431E+04,3.7144E+03,3.5531E+03,7.1298E+03,3.6408E+02,,,,,,,,,,
1.5,1.0242E+06,0.0000E+00,0.0000E+00,8.6475E+05,1.5941E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.1696E+04,7.2955E+04,1.5749E+05,2.3862E+05,3.4398E+05,1.5244E+04,1.8040E+04,3.6663E+04,3.2083E+04,4.6203E+04,2.8246E+03,2.7125E+03,5.3625E+03,2.7500E+02,,,,,,,,,,
2,5.2702E+05,0.0000E+00,0.0000E+00,4.4154E+05,8.5479E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3995E+04,4.8364E+04,9.8682E+04,1.0721E+05,1.5330E+05,9.2769E+03,1.0855E+04,2.1385E+04,1.5407E+04,2.1999E+04,1.6890E+03,1.6068E+03,3.0940E+03,1.6586E+02,,,,,,,,,,
3,1.9681E+05,0.0000E+00,0.0000E+00,1.6306E+05,3.3743E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7779E+04,2.3439E+04,4.5234E+04,3.1753E+04,4.4859E+04,4.4702E+03,4.9516E+03,9.3680E+03,4.9797E+03,7.0250E+03,8.0094E+02,7.2401E+02,1.3452E+03,7.8621E+01,,,,,,,,,,
4,9.5505E+04,0.0000E+00,0.0000E+00,7.8559E+04,1.6946E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0746E+04,1.3056E+04,2.4318E+04,1.2680E+04,1.7759E+04,2.6131E+03,2.7069E+03,4.9827E+03,2.0958E+03,2.9302E+03,4.6451E+02,3.9381E+02,7.1376E+02,4.5604E+01,,,,,,,,,,
5,5.3891E+04,0.0000E+00,0.0000E+00,4.4101E+04,9.7897E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.1379E+03,7.9991E+03,1.4538E+04,6.0350E+03,8.3912E+03,1.7043E+03,1.6489E+03,2.9723E+03,1.0337E+03,1.4347E+03,3.0152E+02,2.3929E+02,4.2544E+02,2.9609E+01,,,,,,,,,,
5.2379,4.7780E+04,0.0000E+00,0.0000E+00,3.9061E+04,8.7191E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.5410E+03,7.1953E+03,1.3016E+04,5.1535E+03,7.1550E+03,1.5570E+03,1.4825E+03,2.6609E+03,8.8882E+02,1.2316E+03,2.7524E+02,2.1507E+02,3.8084E+02,2.7029E+01,,,,,,,,,,
5.2799,1.3609E+05,0.0000E+00,8.9290E+04,3.8255E+04,8.5471E+03,0.0000E+00,0.0000E+00,0.0000E+00,8.9290E+04,6.4436E+03,7.0648E+03,1.2770E+04,5.0154E+03,6.9615E+03,1.5330E+03,1.4556E+03,2.6105E+03,8.6598E+02,1.1996E+03,2.7096E+02,2.1115E+02,3.7364E+02,2.6609E+01,,,,,,,,,,
5.6248,1.1674E+05,0.0000E+00,7.7027E+04,3.2416E+04,7.2936E+03,0.0000E+00,0.0000E+00,0.0000E+00,7.7027E+04,5.7176E+03,6.1037E+03,1.0962E+04,4.0387E+03,5.5937E+03,1.3545E+03,1.2569E+03,2.2410E+03,7.0338E+02,9.7224E+02,2.3914E+02,1.8225E+02,3.2074E+02,2.3486E+01,,,,,,,,,,
5.6699,1.5588E+05,0.0000E+00,1.1699E+05,3.1744E+04,7.1488E+03,0.0000E+00,0.0000E+00,4.1629E+04,7.5361E+04,5.6316E+03,5.9915E+03,1.0751E+04,3.9294E+03,5.4407E+03,1.3334E+03,1.2337E+03,2.1980E+03,6.8508E+02,9.4667E+02,2.3539E+02,1.7888E+02,3.1459E+02,2.3118E+01,,,,,,,,,,
5.9554,1.3809E+05,0.0000E+00,1.0388E+05,2.7895E+04,6.3160E+03,0.0000E+00,0.0000E+00,3.7489E+04,6.6389E+04,5.1260E+03,5.3404E+03,9.5301E+03,3.3156E+03,4.5830E+03,1.2103E+03,1.0992E+03,1.9492E+03,5.8186E+02,8.0265E+02,2.1349E+02,1.5933E+02,2.7900E+02,2.0969E+01,,,,,,,,,,
6,1.5631E+05,0.0000E+00,1.2276E+05,2.7353E+04,6.1981E+03,0.0000E+00,2.0887E+04,3.6722E+04,6.5148E+04,5.0529E+03,5.2473E+03,9.3564E+03,3.2310E+03,4.4649E+03,1.1926E+03,1.0800E+03,1.9139E+03,5.6756E+02,7.8271E+02,2.1034E+02,1.5654E+02,2.7394E+02,2.0660E+01,,,,,,,,,,
6.0031,1.5608E+05,0.0000E+00,1.2258E+05,2.7315E+04,6.1900E+03,0.0000E+00,2.0846E+04,3.6670E+04,6.5062E+04,5.0479E+03,5.2408E+03,9.3444E+03,3.2251E+03,4.4567E+03,1.1913E+03,1.0786E+03,1.9114E+03,5.6657E+02,7.8133E+02,2.1012E+02,1.5634E+02,2.7359E+02,2.0638E+01,,,,,,,,,,
8,7.5218E+04,0.0000E+00,5.9500E+04,1.2748E+04,2.9698E+03,0.0000E+00,1.2795E+04,1.7306E+04,2.9399E+04,2.8725E+03,2.6017E+03,4.5058E+03,1.1691E+03,1.5987E+03,6.6847E+02,5.3601E+02,9.2449E+02,2.1221E+02,2.8952E+02,1.1747E+02,7.7630E+01,1.3244E+02,1.1543E+01,,,,,,,,,,
10,4.1745E+04,0.0000E+00,3.3085E+04,6.9990E+03,1.6605E+03,0.0000E+00,8.4303E+03,9.2476E+03,1.5407E+04,1.8245E+03,1.4682E+03,2.4856E+03,5.1827E+02,7.0248E+02,4.2097E+02,3.0321E+02,5.1187E+02,9.6120E+01,1.2995E+02,7.3823E+01,4.3913E+01,7.3411E+01,7.2555E+00,,,,,,,,,,
15,1.4022E+04,0.0000E+00,1.1138E+04,2.3182E+03,5.6601E+02,0.0000E+00,3.7333E+03,2.8573E+03,4.5475E+03,7.7187E+02,4.8983E+02,7.9536E+02,1.1205E+02,1.4913E+02,1.7627E+02,1.0195E+02,1.6525E+02,2.1498E+01,2.8533E+01,3.0837E+01,1.4945E+01,2.3694E+01,3.0310E+00,,,,,,,,,,
20,6.3683E+03,0.0000E+00,5.0617E+03,1.0466E+03,2.6000E+02,0.0000E+00,2.0101E+03,1.1995E+03,1.8522E+03,4.0730E+02,2.1564E+02,3.3941E+02,3.6428E+01,4.7762E+01,9.2658E+01,4.5180E+01,7.1021E+01,7.1207E+00,9.3112E+00,1.6289E+01,6.6307E+00,1.0195E+01,1.5918E+00,,,,,,,,,,
30,2.0573E+03,0.0000E+00,1.6355E+03,3.3657E+02,8.5248E+01,0.0000E+00,7.9510E+02,3.3974E+02,5.0063E+02,1.5881E+02,6.4514E+01,9.6889E+01,7.1788E+00,9.1860E+00,3.6019E+01,1.3631E+01,2.0452E+01,1.4302E+00,1.8260E+00,6.3276E+00,2.0034E+00,2.9400E+00,6.1830E-01,,,,,,,,,,
37.415,1.1039E+03,0.0000E+00,8.7746E+02,1.8034E+02,4.6078E+01,0.0000E+00,4.6811E+02,1.6817E+02,2.4118E+02,9.3187E+01,3.2734E+01,4.7828E+01,2.9177E+00,3.6776E+00,2.1120E+01,6.9450E+00,1.0138E+01,5.8606E-01,7.3737E-01,3.7093E+00,1.0214E+00,1.4584E+00,3.6244E-01,,,,,,,,,,
