PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
1,2.2573E+06,0.0000E+00,0.0000E+00,1.8487E+06,4.0863E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.5175E+05,1.0970E+06,3.1773E+04,3.6643E+04,7.9704E+04,9.2888E+04,1.3553E+05,3.3705E+03,4.3323E+03,6.1548E+03,5.7408E+03,1.1908E+04,5.8626E+02,,,,,,,,
1.1693,1.5744E+06,0.0000E+00,0.0000E+00,1.2708E+06,3.0366E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.1709E+05,7.5367E+05,2.4911E+04,2.9236E+04,6.2120E+04,6.6942E+04,9.7140E+04,1.9621E+03,2.5176E+03,4.7367E+03,4.4919E+03,9.1564E+03,4.4732E+02,,,,,,,,
1.1786,1.7757E+06,0.0000E+00,0.0000E+00,1.4767E+06,2.9897E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3002E+05,5.0739E+05,7.3928E+05,2.4597E+04,2.8888E+04,6.1313E+04,6.5791E+04,9.5445E+04,1.9079E+03,2.4480E+03,4.6732E+03,4.4346E+03,9.0319E+03,4.4115E+02,,,,,,,,
1.2589,1.5386E+06,0.0000E+00,0.0000E+00,1.2760E+06,2.6252E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1422E+05,4.3290E+05,6.2892E+05,2.2130E+04,2.6132E+04,5.4958E+04,5.6888E+04,8.2347E+04,1.5121E+03,1.9387E+03,4.1775E+03,3.9841E+03,8.0568E+03,3.9304E+02,,,,,,,,
1.269,1.6025E+06,0.0000E+00,0.0000E+00,1.3441E+06,2.5838E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.0470E+04,2.1255E+05,4.2454E+05,6.1656E+05,2.1847E+04,2.5813E+04,5.4225E+04,5.5882E+04,8.0869E+04,1.4699E+03,1.8844E+03,4.1209E+03,3.9322E+03,7.9451E+03,3.8754E+02,,,,,,,,
1.4089,1.2833E+06,0.0000E+00,0.0000E+00,1.0742E+06,2.0907E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.2258E+04,1.8527E+05,3.2945E+05,4.7721E+05,1.8427E+04,2.1887E+04,4.5344E+04,4.3992E+04,6.3445E+04,1.0108E+03,1.2944E+03,3.4418E+03,3.3024E+03,6.5994E+03,3.2185E+02,,,,,,,,
1.4202,1.3175E+06,0.0000E+00,0.0000E+00,1.1118E+06,2.0567E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.6480E+04,8.1550E+04,1.8308E+05,3.2296E+05,4.6773E+05,1.8186E+04,2.1607E+04,4.4720E+04,4.3181E+04,6.2258E+04,9.8207E+02,1.2575E+03,3.3945E+03,3.2581E+03,6.5053E+03,3.1730E+02,,,,,,,,
1.5,1.1691E+06,0.0000E+00,0.0000E+00,9.8549E+05,1.8364E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.2950E+04,7.6289E+04,1.6846E+05,2.8147E+05,4.0633E+05,1.6607E+04,1.9765E+04,4.0621E+04,3.7953E+04,5.4624E+04,8.0522E+02,1.0304E+03,3.0861E+03,2.9671E+03,5.8909E+03,2.8777E+02,,,,,,,,
2,6.0484E+05,0.0000E+00,0.0000E+00,5.0589E+05,9.8946E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.5577E+04,5.1266E+04,1.0712E+05,1.2849E+05,1.8344E+05,1.0172E+04,1.2042E+04,2.3910E+04,1.8536E+04,2.6436E+04,2.7555E+02,3.5155E+02,1.8533E+03,1.7753E+03,3.4246E+03,1.7067E+02,,,,,,,,
3,2.2773E+05,0.0000E+00,0.0000E+00,1.8783E+05,3.9903E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9004E+04,2.5678E+04,4.9942E+04,3.8663E+04,5.4540E+04,5.5788E+03,5.5788E+03,1.0597E+04,6.1227E+03,8.6198E+03,5.5781E+01,7.0275E+01,8.8244E+02,8.1065E+02,1.5042E+03,8.2794E+01,,,,,,,,
4,1.1052E+05,0.0000E+00,0.0000E+00,9.0751E+04,1.9774E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1599E+04,1.4519E+04,2.7208E+04,1.5612E+04,2.1813E+04,2.8923E+03,3.0830E+03,5.6845E+03,2.6161E+03,3.6481E+03,1.7111E+01,2.1468E+01,5.1312E+02,4.4539E+02,8.0452E+02,4.8149E+01,,,,,,,,
5,6.2504E+04,0.0000E+00,0.0000E+00,5.1054E+04,1.1450E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.7453E+03,8.9987E+03,1.6413E+04,7.4977E+03,1.0400E+04,1.8915E+03,1.8947E+03,3.4155E+03,1.3056E+03,1.8066E+03,6.6207E+00,8.2774E+00,3.3382E+02,2.7292E+02,4.8285E+02,3.1330E+01,,,,,,,,
5.7069,4.4398E+04,0.0000E+00,0.0000E+00,3.6160E+04,8.2372E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.0505E+03,6.6859E+03,1.2002E+04,4.7985E+03,6.6235E+03,1.4638E+03,1.4040E+03,2.4974E+03,8.5267E+02,1.1742E+03,3.7208E+00,4.6410E+00,2.5767E+02,2.0199E+02,3.5298E+02,2.4187E+01,,,,,,,,
5.7526,1.2452E+05,0.0000E+00,8.1031E+04,3.5413E+04,8.0742E+03,0.0000E+00,0.0000E+00,0.0000E+00,8.1031E+04,5.9600E+03,6.5647E+03,1.1774E+04,4.6696E+03,6.4440E+03,1.4412E+03,1.3785E+03,2.4500E+03,8.3076E+02,1.1437E+03,3.5926E+00,4.4804E+00,2.5365E+02,1.9831E+02,3.4628E+02,2.3810E+01,,,,,,,,
6,1.1308E+05,0.0000E+00,7.4105E+04,3.1711E+04,7.2637E+03,0.0000E+00,0.0000E+00,0.0000E+00,7.4105E+04,5.5036E+03,5.9566E+03,1.0637E+04,4.0427E+03,5.5711E+03,1.3270E+03,1.2505E+03,2.2132E+03,7.2363E+02,9.9464E+02,2.9838E+00,3.7183E+00,2.3339E+02,1.7985E+02,3.1281E+02,2.1909E+01,,,,,,,,
6.1594,1.0510E+05,0.0000E+00,6.8696E+04,2.9602E+04,6.7995E+03,0.0000E+00,0.0000E+00,0.0000E+00,6.8696E+04,5.2364E+03,5.6047E+03,9.9798E+03,3.6946E+03,5.0865E+03,1.2604E+03,1.1764E+03,2.0766E+03,6.6371E+02,9.1137E+02,2.6570E+00,3.3095E+00,2.2157E+02,1.6916E+02,2.9351E+02,2.0800E+01,,,,,,,,
