PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
1,5.2356E+05,0.0000E+00,0.0000E+00,0.0000E+00,5.2356E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.5453E+04,4.0362E+04,9.1628E+04,1.1536E+05,1.6861E+05,1.9782E+04,2.5345E+04,6.8745E+03,6.2683E+03,1.3272E+04,6.0756E+02,,,,,,,,
1.0845,4.5047E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.5047E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.1507E+04,3.6357E+04,8.1190E+04,9.8990E+04,1.4418E+05,1.5119E+04,1.9351E+04,6.0278E+03,5.5645E+03,1.1651E+04,5.2960E+02,,,,,,,,
1.0932,9.6039E+05,0.0000E+00,0.0000E+00,5.1663E+05,4.4376E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.1663E+05,3.1137E+04,3.5976E+04,8.0215E+04,9.7475E+04,1.4192E+05,1.4722E+04,1.8840E+04,5.9500E+03,5.4988E+03,1.1501E+04,5.2246E+02,,,,,,,,
1.1118,1.5209E+06,0.0000E+00,0.0000E+00,1.0910E+06,4.2986E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0910E+06,3.0366E+04,3.5176E+04,7.8184E+04,9.4329E+04,1.3724E+05,1.3914E+04,1.7802E+04,5.7886E+03,5.3622E+03,1.1190E+04,5.0766E+02,,,,,,,,
1.1207,1.8772E+06,0.0000E+00,0.0000E+00,1.4538E+06,4.2341E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.2665E+05,1.1272E+06,3.0006E+04,3.4801E+04,7.7237E+04,9.2865E+04,1.3507E+05,1.3546E+04,1.7330E+04,5.7137E+03,5.2985E+03,1.1045E+04,5.0079E+02,,,,,,,,
1.4063,1.3417E+06,0.0000E+00,0.0000E+00,1.0706E+06,2.7107E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.3751E+05,6.3312E+05,2.1157E+04,2.5178E+04,5.3724E+04,5.7904E+04,8.3462E+04,6.2107E+03,7.9226E+03,3.9174E+03,3.7209E+03,7.5312E+03,3.3862E+02,,,,,,,,
1.4176,1.5191E+06,0.0000E+00,0.0000E+00,1.2524E+06,2.6672E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0276E+05,4.2900E+05,6.2061E+05,2.0891E+04,2.4877E+04,5.3015E+04,5.6901E+04,8.1991E+04,6.0393E+03,7.7032E+03,3.8649E+03,3.6733E+03,7.4274E+03,3.3393E+02,,,,,,,,
1.5,1.3355E+06,0.0000E+00,0.0000E+00,1.0979E+06,2.3760E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8699E+05,3.7280E+05,5.3813E+05,1.9086E+04,2.2822E+04,4.8201E+04,5.0186E+04,7.2160E+04,4.9479E+03,6.3064E+03,3.5113E+03,3.3502E+03,6.7265E+03,3.0233E+02,,,,,,,,
1.5307,1.2762E+06,0.0000E+00,0.0000E+00,1.0483E+06,2.2786E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8298E+05,3.5430E+05,5.1103E+05,1.8474E+04,2.2118E+04,4.6562E+04,4.7942E+04,6.8880E+04,4.6043E+03,5.8671E+03,3.3920E+03,3.2403E+03,6.4895E+03,2.9170E+02,,,,,,,,
1.543,1.3303E+06,0.0000E+00,0.0000E+00,1.1062E+06,2.2413E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.6962E+04,1.8128E+05,3.4725E+05,5.0070E+05,1.8238E+04,2.1845E+04,4.5929E+04,4.7082E+04,6.7624E+04,4.4754E+03,5.7023E+03,3.3461E+03,3.1979E+03,6.3983E+03,2.8762E+02,,,,,,,,
1.6989,1.0771E+06,0.0000E+00,0.0000E+00,8.9391E+05,1.8318E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.9407E+04,1.5794E+05,2.7340E+05,3.9317E+05,1.5593E+04,1.8748E+04,3.8846E+04,3.7683E+04,5.3930E+04,3.1676E+03,4.0308E+03,2.8353E+03,2.7208E+03,5.3802E+03,2.4245E+02,,,,,,,,
1.7125,1.1052E+06,0.0000E+00,0.0000E+00,9.2506E+05,1.8011E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.7223E+04,6.8803E+04,1.5598E+05,2.6787E+05,3.8519E+05,1.5389E+04,1.8507E+04,3.8303E+04,3.6981E+04,5.2910E+04,3.0774E+03,3.9157E+03,2.7964E+03,2.6841E+03,5.3026E+03,2.3903E+02,,,,,,,,
2,7.7695E+05,0.0000E+00,0.0000E+00,6.4805E+05,1.2891E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9118E+04,5.5953E+04,1.2172E+05,1.7777E+05,2.5348E+05,1.1873E+04,1.4291E+04,2.8925E+04,2.5397E+04,3.6130E+04,1.7418E+03,2.2117E+03,2.1319E+03,2.0492E+03,3.9747E+03,1.8079E+02,,,,,,,,
3,2.9608E+05,0.0000E+00,0.0000E+00,2.4453E+05,5.1543E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1373E+04,2.9899E+04,5.9729E+04,5.5497E+04,7.8035E+04,5.8456E+03,6.8427E+03,1.3132E+04,8.7546E+03,1.2272E+04,3.6901E+02,4.6605E+02,1.0265E+03,9.6246E+02,1.7830E+03,8.8440E+01,,,,,,,,
4,1.4495E+05,0.0000E+00,0.0000E+00,1.1887E+05,2.6083E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3273E+04,1.7514E+04,3.3332E+04,2.2895E+04,3.1855E+04,3.4561E+03,3.8632E+03,7.1590E+03,3.8481E+03,5.3369E+03,1.1626E+02,1.4401E+02,6.0062E+02,5.3928E+02,9.6807E+02,5.1746E+01,,,,,,,,
5,8.2309E+04,0.0000E+00,0.0000E+00,6.7149E+04,1.5160E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.9682E+03,1.1110E+04,2.0450E+04,1.1186E+04,1.5435E+04,2.2729E+03,2.4145E+03,4.3581E+03,1.9630E+03,2.6990E+03,4.5724E+01,5.6820E+01,3.9254E+02,3.3572E+02,5.8830E+02,3.3825E+01,,,,,,,,
6,5.1487E+04,0.0000E+00,0.0000E+00,4.1836E+04,9.6506E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.4259E+03,7.4860E+03,1.3433E+04,6.1146E+03,8.3773E+03,1.6022E+03,1.6166E+03,2.8565E+03,1.1076E+03,1.5117E+03,2.1014E+01,2.6026E+01,2.7556E+02,2.2425E+02,3.8534E+02,2.3750E+01,,,,,,,,
6.701,3.8645E+04,0.0000E+00,0.0000E+00,3.1330E+04,7.3143E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.2249E+03,5.8396E+03,1.0320E+04,4.2076E+03,5.7386E+03,1.2920E+03,1.2581E+03,2.1947E+03,7.7554E+02,1.0536E+03,1.3001E+01,1.6065E+01,2.2173E+02,1.7435E+02,2.9602E+02,1.9113E+01,,,,,,,,
6.7546,1.0550E+05,0.0000E+00,6.7650E+04,3.0680E+04,7.1687E+03,0.0000E+00,0.0000E+00,0.0000E+00,6.7650E+04,5.1464E+03,5.7342E+03,1.0123E+04,4.0946E+03,5.5825E+03,1.2720E+03,1.2353E+03,2.1529E+03,7.5564E+02,1.0262E+03,1.2555E+01,1.5512E+01,2.1825E+02,1.7117E+02,2.9038E+02,1.8815E+01,,,,,,,,
7.3112,8.6171E+04,0.0000E+00,5.5398E+04,2.4906E+04,5.8673E+03,0.0000E+00,0.0000E+00,0.0000E+00,5.5398E+04,4.4260E+03,4.7746E+03,8.3463E+03,3.1195E+03,4.2394E+03,1.0883E+03,1.0281E+03,1.7755E+03,5.8260E+02,7.8852E+02,8.8616E+00,1.0930E+01,1.8648E+02,1.4239E+02,2.3949E+02,1.6077E+01,,,,,,,,
