PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,
1,1.1209E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.1209E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.0707E+04,4.2082E+04,1.2017E+05,1.6913E+05,2.5165E+05,1.9586E+05,2.5028E+05,9.6084E+03,8.4060E+03,2.0320E+04,4.8380E+03,6.8485E+03,1.0009E+03,,,,,,
1.5,4.9838E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.9838E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4438E+04,2.8330E+04,6.9375E+04,8.9584E+04,1.2938E+05,5.7281E+04,7.2654E+04,5.1514E+03,4.9393E+03,1.0899E+04,2.4399E+03,3.3841E+03,5.1659E+02,,,,,,
1.8142,3.3302E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.3302E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8636E+04,2.2340E+04,5.1731E+04,6.2158E+04,8.8749E+04,3.0716E+04,3.8823E+04,3.7984E+03,3.7504E+03,7.9578E+03,1.6792E+03,2.3086E+03,3.7535E+02,,,,,,
1.8287,4.9995E+05,0.0000E+00,0.0000E+00,1.7260E+05,3.2735E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7260E+05,1.8420E+04,2.2106E+04,5.1074E+04,6.1162E+04,8.7288E+04,2.9906E+04,3.7794E+04,3.7495E+03,3.7060E+03,7.8510E+03,1.6519E+03,2.2703E+03,3.7033E+02,,,,,,
1.8792,9.0784E+05,0.0000E+00,0.0000E+00,5.9918E+05,3.0866E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.9918E+05,1.7694E+04,2.1318E+04,4.8886E+04,5.7852E+04,8.2444E+04,2.7291E+04,3.4472E+04,3.5871E+03,3.5576E+03,7.4958E+03,1.5616E+03,2.1434E+03,3.5366E+02,,,,,,
1.8942,1.0224E+06,0.0000E+00,0.0000E+00,7.1899E+05,3.0337E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1367E+05,6.0532E+05,1.7486E+04,2.1090E+04,4.8259E+04,5.6910E+04,8.1065E+04,2.6566E+04,3.3551E+04,3.5408E+03,3.5150E+03,7.3943E+03,1.5359E+03,2.1073E+03,3.4891E+02,,,,,,
2,1.1941E+06,0.0000E+00,0.0000E+00,9.2455E+05,2.6951E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.7814E+05,5.4640E+05,1.6113E+04,1.9571E+04,4.4155E+04,5.0804E+04,7.2142E+04,2.2086E+04,2.7865E+04,3.2391E+03,3.2353E+03,6.7334E+03,1.3694E+03,1.8744E+03,3.1799E+02,,,,,,
2.2689,8.7187E+05,0.0000E+00,0.0000E+00,6.6790E+05,2.0397E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7627E+05,3.9163E+05,1.3279E+04,1.6324E+04,3.5678E+04,3.8614E+04,5.4455E+04,1.4275E+04,1.7965E+04,2.6272E+03,2.6544E+03,5.3919E+03,1.0397E+03,1.4150E+03,2.5569E+02,,,,,,
2.2871,9.9163E+05,0.0000E+00,0.0000E+00,7.9125E+05,2.0038E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3735E+05,2.7055E+05,3.8336E+05,1.3115E+04,1.6133E+04,3.5192E+04,3.7932E+04,5.3469E+04,1.3881E+04,1.7467E+04,2.5924E+03,2.6207E+03,5.3155E+03,1.0212E+03,1.3894E+03,2.5217E+02,,,,,,
2.5658,7.4997E+05,0.0000E+00,0.0000E+00,5.9526E+05,1.5472E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1455E+05,1.9955E+05,2.8116E+05,1.0929E+04,1.3539E+04,2.8754E+04,2.9153E+04,4.0842E+04,9.2337E+03,1.1593E+04,2.1348E+03,2.1728E+03,4.3134E+03,7.8487E+02,1.0624E+03,2.0628E+02,,,,,,
2.5864,7.8207E+05,0.0000E+00,0.0000E+00,6.3013E+05,1.5194E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.6490E+04,1.1317E+05,1.9534E+05,2.7513E+05,1.0790E+04,1.3371E+04,2.8346E+04,2.8614E+04,4.0070E+04,8.9733E+03,1.1265E+04,2.1060E+03,2.1443E+03,4.2504E+03,7.7037E+02,1.0424E+03,2.0340E+02,,,,,,
2.7951,6.5257E+05,0.0000E+00,0.0000E+00,5.2526E+05,1.2731E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.1914E+04,9.9577E+04,1.5956E+05,2.2420E+05,9.5165E+03,1.1821E+04,2.4629E+04,2.3795E+04,3.3182E+04,6.7797E+03,8.4975E+03,1.8438E+03,1.8822E+03,3.6785E+03,6.4102E+02,8.6432E+02,1.7726E+02,,,,,,
2.8175,6.6808E+05,0.0000E+00,0.0000E+00,5.4308E+05,1.2500E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7654E+04,4.1576E+04,9.8220E+04,1.5617E+05,2.1946E+05,9.3934E+03,1.1670E+04,2.4272E+04,2.3341E+04,3.2536E+04,6.5858E+03,8.2531E+03,1.8187E+03,1.8569E+03,3.6238E+03,6.2886E+02,8.4762E+02,1.7476E+02,,,,,,
3,5.7780E+05,0.0000E+00,0.0000E+00,4.6962E+05,1.0818E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5797E+04,3.8476E+04,8.8076E+04,1.3215E+05,1.8512E+05,8.4702E+03,1.0530E+04,2.1607E+04,2.0026E+04,2.7825E+04,5.2333E+03,6.5499E+03,1.6316E+03,1.6672E+03,3.2172E+03,5.3990E+02,7.2570E+02,1.5622E+02,,,,,,
4,2.8944E+05,0.0000E+00,0.0000E+00,2.3439E+05,5.5047E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7176E+04,2.5301E+04,5.3155E+04,5.8391E+04,8.0366E+04,5.1909E+03,6.3880E+03,1.2367E+04,9.5547E+03,1.3077E+04,1.7707E+03,2.2027E+03,9.8091E+02,9.9410E+02,1.8244E+03,2.6121E+02,3.4034E+02,9.5019E+01,,,,,,
5,1.6665E+05,0.0000E+00,0.0000E+00,1.3449E+05,3.2158E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2278E+04,1.7423E+04,3.4281E+04,2.9865E+04,4.0643E+04,3.4932E+03,4.2034E+03,7.8033E+03,5.1714E+03,6.9950E+03,7.3967E+02,9.1564E+02,6.5306E+02,6.4856E+02,1.1463E+03,1.4213E+02,1.8302E+02,6.3228E+01,,,,,,
6,1.0524E+05,0.0000E+00,0.0000E+00,8.4667E+04,2.0572E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.0734E+03,1.2464E+04,2.3375E+04,1.6928E+04,2.2827E+04,2.5035E+03,2.9315E+03,5.2654E+03,3.0581E+03,4.0959E+03,3.5553E+02,4.3826E+02,4.6485E+02,4.5003E+02,7.7179E+02,8.4414E+01,1.0763E+02,4.4998E+01,,,,,,
8,5.0387E+04,0.0000E+00,0.0000E+00,4.0343E+04,1.0044E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.4879E+03,6.9800E+03,1.2305E+04,6.6916E+03,8.8784E+03,1.4572E+03,1.6077E+03,2.7456E+03,1.2817E+03,1.6891E+03,1.0818E+02,1.3240E+02,2.6827E+02,2.4549E+02,4.0168E+02,3.5608E+01,4.4673E+01,2.5969E+01,,,,,,
10,2.8215E+04,0.0000E+00,0.0000E+00,2.2509E+04,5.7063E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.6366E+03,4.3010E+03,7.2477E+03,3.1701E+03,4.1531E+03,9.4587E+02,9.8300E+02,1.6154E+03,6.3202E+02,8.2194E+02,4.1781E+01,5.0823E+01,1.7324E+02,1.4971E+02,2.3623E+02,1.7641E+01,2.1840E+01,1.6772E+01,,,,,,
10.195,2.6823E+04,0.0000E+00,0.0000E+00,2.1392E+04,5.4315E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.5068E+03,4.1185E+03,6.9139E+03,2.9682E+03,3.8844E+03,9.1065E+02,9.4098E+02,1.5412E+03,5.9369E+02,7.7118E+02,3.8432E+01,4.6720E+01,1.6673E+02,1.4328E+02,2.2538E+02,1.6578E+01,2.0499E+01,1.6141E+01,,,,,,
10.277,6.8617E+04,0.0000E+00,4.2348E+04,2.0947E+04,5.3220E+03,0.0000E+00,0.0000E+00,0.0000E+00,4.2348E+04,3.4544E+03,4.0453E+03,6.7803E+03,2.8886E+03,3.7786E+03,8.9649E+02,9.2414E+02,1.5116E+03,5.7854E+02,7.5113E+02,3.7127E+01,4.5123E+01,1.6411E+02,1.4071E+02,2.2104E+02,1.6157E+01,1.9969E+01,1.5887E+01,,,,,,
11.562,5.0158E+04,0.0000E+00,3.0877E+04,1.5347E+04,3.9343E+03,0.0000E+00,0.0000E+00,0.0000E+00,3.0877E+04,2.7573E+03,3.0934E+03,5.0660E+03,1.9274E+03,2.5026E+03,7.0996E+02,7.0527E+02,1.1305E+03,3.9328E+02,5.0684E+02,2.2210E+01,2.6897E+01,1.2968E+02,1.0729E+02,1.6534E+02,1.1009E+01,1.3506E+01,1.2555E+01,,,,,,
11.655,6.7941E+04,0.0000E+00,4.9060E+04,1.5026E+04,3.8544E+03,0.0000E+00,0.0000E+00,1.8824E+04,3.0237E+04,2.7152E+03,3.0367E+03,4.9660E+03,1.8748E+03,2.4332E+03,6.9876E+02,6.9232E+02,1.1083E+03,3.8303E+02,4.9339E+02,2.1445E+01,2.5965E+01,1.2761E+02,1.0532E+02,1.6208E+02,1.0723E+01,1.3150E+01,1.2356E+01,,,,,,
12.069,6.2330E+04,0.0000E+00,4.5110E+04,1.3698E+04,3.5227E+03,0.0000E+00,0.0000E+00,1.7511E+04,2.7599E+04,2.5383E+03,2.7993E+03,4.5486E+03,1.6606E+03,2.1509E+03,6.5162E+02,6.3817E+02,1.0155E+03,3.4109E+02,4.3839E+02,1.8389E+01,2.2241E+01,1.1894E+02,9.7063E+01,1.4852E+02,9.5556E+00,1.1691E+01,1.1516E+01,,,,,,
12.166,7.0574E+04,0.0000E+00,5.3712E+04,1.3411E+04,3.4509E+03,0.0000E+00,9.5848E+03,1.7100E+04,2.7027E+04,2.4994E+03,2.7475E+03,4.4578E+03,1.6152E+03,2.0910E+03,6.4130E+02,6.2637E+02,9.9532E+02,3.3215E+02,4.2667E+02,1.7755E+01,2.1468E+01,1.1704E+02,9.5264E+01,1.4558E+02,9.3065E+00,1.1381E+01,1.1332E+01,,,,,,
15,4.1503E+04,0.0000E+00,3.1825E+04,7.6745E+03,2.0039E+03,0.0000E+00,6.7169E+03,1.0018E+04,1.5090E+04,1.6529E+03,1.6654E+03,2.5976E+03,7.7236E+02,9.8626E+02,4.1931E+02,3.7979E+02,5.8213E+02,1.6345E+02,2.0707E+02,6.9835E+00,8.3857E+00,7.6295E+01,5.7720E+01,8.5206E+01,4.5971E+00,5.5439E+00,7.3883E+00,,,,,,
20,1.9422E+04,0.0000E+00,1.4943E+04,3.5390E+03,9.4050E+02,0.0000E+00,3.8998E+03,4.5484E+03,6.4946E+03,9.1698E+02,8.0985E+02,1.1977E+03,2.7291E+02,3.4148E+02,2.2999E+02,1.8529E+02,2.7010E+02,5.9698E+01,7.4083E+01,1.8904E+00,2.2474E+00,4.1721E+01,2.8161E+01,3.9601E+01,1.6866E+00,1.9925E+00,4.0409E+00,,,,,,
