PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
1,2.6606E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.6606E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6079E+05,2.1010E+05,3.4261E+05,7.4119E+05,9.5738E+05,1.7013E+04,1.3725E+04,5.2001E+04,5.2391E+04,7.9801E+04,7.0488E+03,8.9210E+03,4.1388E+03,2.8930E+03,9.0784E+03,4.1656E+02,5.8785E+02,5.1915E+02
1.2095,1.8776E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.8776E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3151E+05,1.8649E+05,2.9190E+05,4.7205E+05,6.0490E+05,1.3149E+04,1.1364E+04,3.9624E+04,4.1261E+04,6.1590E+04,4.6161E+03,5.8026E+03,3.0972E+03,2.3049E+03,6.8058E+03,3.2203E+02,4.4839E+02,3.7852E+02
1.2192,1.8755E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.8755E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6399E+04,1.3033E+05,1.8521E+05,2.8961E+05,4.6265E+05,5.9272E+05,1.3005E+04,1.1271E+04,3.9163E+04,4.0817E+04,6.0879E+04,4.5307E+03,5.6938E+03,3.0593E+03,2.2826E+03,6.7226E+03,3.1835E+02,4.4302E+02,3.7354E+02
1.3629,1.5107E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.5107E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4475E+04,1.1466E+05,1.6676E+05,2.5520E+05,3.4707E+05,4.4294E+05,1.1110E+04,1.0016E+04,3.3183E+04,3.4875E+04,5.1456E+04,3.4657E+03,4.3391E+03,2.5728E+03,1.9893E+03,5.6506E+03,2.6966E+02,3.7241E+02,3.0974E+02
1.3738,1.5165E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.5165E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.9537E+04,2.4426E+04,1.1361E+05,1.6533E+05,2.5260E+05,3.3980E+05,4.3353E+05,1.0984E+04,9.9299E+03,3.2786E+04,3.4470E+04,5.0820E+04,3.3982E+03,4.2534E+03,2.5409E+03,1.9696E+03,5.5801E+03,2.6638E+02,3.6768E+02,3.0558E+02
1.5,1.2714E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.2714E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5991E+04,2.3668E+04,1.0256E+05,1.4883E+05,2.2454E+05,2.6773E+05,3.4064E+05,9.6767E+03,9.0115E+03,2.8673E+04,3.0187E+04,4.4147E+04,2.7241E+03,3.4001E+03,2.2130E+03,1.7626E+03,4.8535E+03,2.3201E+02,3.1847E+02,2.6315E+02
2,6.9871E+05,0.0000E+00,0.0000E+00,0.0000E+00,6.9871E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8871E+04,2.0165E+04,6.9675E+04,9.7941E+04,1.4280E+05,1.1678E+05,1.4731E+05,6.2971E+03,6.4012E+03,1.8167E+04,1.8693E+04,2.6670E+04,1.2553E+03,1.5528E+03,1.3971E+03,1.2065E+03,3.0300E+03,1.4504E+02,1.9012E+02,1.6029E+02
3,2.8571E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.8571E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1196E+04,1.3602E+04,3.7117E+04,4.6106E+04,6.4599E+04,3.2331E+04,4.0323E+04,3.3356E+03,3.7198E+03,9.1210E+03,8.5297E+03,1.1788E+04,3.7292E+02,4.4743E+02,7.1803E+02,6.7669E+02,1.5010E+03,6.5902E+01,8.3733E+01,7.8975E+01
3.4395,2.0911E+05,0.0000E+00,0.0000E+00,0.0000E+00,2.0911E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.2081E+03,1.1485E+04,2.9393E+04,3.4527E+04,4.7797E+04,2.0411E+04,2.5356E+04,2.6726E+03,3.0481E+03,7.1394E+03,6.3686E+03,8.7113E+03,2.3856E+02,2.8706E+02,5.7092E+02,5.4971E+02,1.1712E+03,4.9189E+01,6.1862E+01,6.2861E+01
3.467,5.0651E+05,0.0000E+00,0.0000E+00,3.0121E+05,2.0530E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0121E+05,9.0997E+03,1.1369E+04,2.8989E+04,3.3931E+04,4.6939E+04,1.9862E+04,2.4670E+04,2.6380E+03,3.0121E+03,7.0367E+03,6.2583E+03,8.5554E+03,2.3242E+02,2.7960E+02,5.6329E+02,5.4297E+02,1.1541E+03,4.8337E+01,6.0754E+01,6.2026E+01
3.6122,4.5035E+05,0.0000E+00,0.0000E+00,2.6359E+05,1.8676E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6359E+05,8.5585E+03,1.0781E+04,2.6991E+04,3.0992E+04,4.2738E+04,1.7255E+04,2.1406E+04,2.4662E+03,2.8324E+03,6.5283E+03,5.7163E+03,7.7904E+03,2.0306E+02,2.4396E+02,5.2552E+02,5.0937E+02,1.0699E+03,4.4148E+01,5.5319E+01,5.7890E+01
