PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,7s1/2,
1,2.8505E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.8505E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0710E+05,3.4648E+05,8.6303E+05,1.1189E+06,1.7637E+04,1.3660E+04,5.7681E+04,5.8256E+04,8.9588E+04,2.6987E+04,3.4030E+04,4.3245E+03,2.8799E+03,9.5015E+03,4.4641E+02,
1.1049,2.3912E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.3912E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0092E+05,3.2782E+05,6.9430E+05,8.9456E+05,1.5529E+04,1.2461E+04,5.0229E+04,5.1972E+04,7.8958E+04,2.1964E+04,2.7587E+04,3.7291E+03,2.5671E+03,8.1914E+03,3.7931E+02,
1.1137,2.5069E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.5069E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5053E+05,2.0022E+05,3.2606E+05,6.8169E+05,8.7799E+05,1.5368E+04,1.2368E+04,4.9667E+04,5.1475E+04,7.8131E+04,2.1593E+04,2.7113E+04,3.6848E+03,2.5434E+03,8.0938E+03,3.7434E+02,
1.3699,1.6935E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.6935E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1951E+05,1.7178E+05,2.6748E+05,4.1180E+05,5.2582E+05,1.1616E+04,1.0103E+04,3.6774E+04,3.9226E+04,5.8198E+04,1.3512E+04,1.6836E+04,2.6898E+03,1.9904E+03,5.8916E+03,2.6503E+02,
1.3809,1.6893E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.6893E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2415E+04,1.1839E+05,1.7044E+05,2.6513E+05,4.0339E+05,5.1492E+05,1.1488E+04,1.0021E+04,3.6339E+04,3.8785E+04,5.7497E+04,1.3257E+04,1.6514E+04,2.6570E+03,1.9712E+03,5.8185E+03,2.6151E+02,
1.5,1.4324E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.4324E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1000E+04,1.0728E+05,1.5664E+05,2.3993E+05,3.2439E+05,4.1303E+05,1.0224E+04,9.1932E+03,3.2076E+04,3.4374E+04,5.0531E+04,1.0840E+04,1.3464E+04,2.3372E+03,1.7816E+03,5.1065E+03,2.2753E+02,
1.5352,1.3669E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.3669E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0902E+04,1.0436E+05,1.5262E+05,2.3260E+05,3.0484E+05,3.8782E+05,9.8906E+03,8.9683E+03,3.0960E+04,3.3194E+04,4.8684E+04,1.0232E+04,1.2699E+04,2.2541E+03,1.7312E+03,4.9213E+03,2.1874E+02,
1.5475,1.3705E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.3705E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5596E+04,2.0863E+04,1.0337E+05,1.5121E+05,2.3007E+05,2.9836E+05,3.7946E+05,9.7782E+03,8.8919E+03,3.0584E+04,3.2794E+04,4.8060E+04,1.0029E+04,1.2445E+04,2.2261E+03,1.7141E+03,4.8590E+03,2.1579E+02,
2,8.0328E+05,0.0000E+00,0.0000E+00,0.0000E+00,8.0328E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8602E+04,1.8740E+04,7.4255E+04,1.0607E+05,1.5576E+05,1.4426E+05,1.8190E+05,6.7109E+03,6.6505E+03,2.0404E+04,2.1585E+04,3.0885E+04,5.1102E+03,6.2869E+03,1.4828E+03,1.2343E+03,3.1962E+03,1.3898E+02,
3,3.2861E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.2861E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1351E+04,1.3395E+04,3.9978E+04,5.1387E+04,7.2295E+04,4.0913E+04,5.0961E+04,3.5866E+03,3.9567E+03,1.0301E+04,1.0045E+04,1.3886E+04,1.5657E+03,1.8652E+03,7.6577E+02,7.0416E+02,1.5890E+03,6.9283E+01,
3.7724,1.9434E+05,0.0000E+00,0.0000E+00,0.0000E+00,1.9434E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.2292E+03,1.0272E+04,2.7127E+04,3.1814E+04,4.3801E+04,1.9039E+04,2.3550E+04,2.4809E+03,2.8581E+03,6.8340E+03,6.1827E+03,8.3899E+03,7.5111E+02,8.9392E+02,5.2228E+02,5.0032E+02,1.0482E+03,4.7357E+01,
3.8026,4.5603E+05,0.0000E+00,0.0000E+00,2.6526E+05,1.9078E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6526E+05,8.1331E+03,1.0170E+04,2.6751E+04,3.1263E+04,4.3008E+04,1.8527E+04,2.2910E+04,2.4489E+03,2.8247E+03,6.7349E+03,6.0750E+03,8.2385E+03,7.3178E+02,8.7068E+02,5.1530E+02,4.9423E+02,1.0328E+03,4.6728E+01,
3.9735,4.0549E+05,0.0000E+00,0.0000E+00,2.3327E+05,1.7222E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3327E+05,7.6185E+03,9.6183E+03,2.4761E+04,2.8358E+04,3.8853E+04,1.5927E+04,1.9668E+04,2.2790E+03,2.6464E+03,6.2112E+03,5.5096E+03,7.4456E+03,6.3329E+02,7.5238E+02,4.7840E+02,4.6178E+02,9.5159E+02,4.3401E+01,
4,5.6206E+05,0.0000E+00,0.0000E+00,3.9250E+05,1.6956E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6330E+05,2.2920E+05,7.5429E+03,9.5363E+03,2.4471E+04,2.7938E+04,3.8255E+04,1.5565E+04,1.9217E+04,2.2542E+03,2.6202E+03,6.1351E+03,5.4280E+03,7.3315E+03,6.1949E+02,7.3582E+02,4.7303E+02,4.5702E+02,9.3981E+02,4.2917E+01,
4.0053,5.6442E+05,0.0000E+00,0.0000E+00,3.9538E+05,1.6904E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6695E+05,2.2842E+05,7.5281E+03,9.5201E+03,2.4414E+04,2.7855E+04,3.8138E+04,1.5494E+04,1.9129E+04,2.2493E+03,2.6150E+03,6.1202E+03,5.4121E+03,7.3091E+03,6.1679E+02,7.3259E+02,4.7198E+02,4.5609E+02,9.3750E+02,4.2822E+01,
4.5449,4.1298E+05,0.0000E+00,0.0000E+00,2.8735E+05,1.2563E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2169E+05,1.6566E+05,6.2250E+03,8.0232E+03,1.9418E+04,2.0846E+04,2.8235E+04,9.9561E+03,1.2243E+04,1.8245E+03,2.1562E+03,4.8280E+03,4.0526E+03,5.4183E+03,4.0342E+02,4.7709E+02,3.8048E+02,3.7346E+02,7.3786E+02,3.4569E+01,
4.5813,4.7196E+05,0.0000E+00,0.0000E+00,3.4868E+05,1.2329E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.7320E+04,1.1927E+05,1.6209E+05,6.1498E+03,7.9334E+03,1.9134E+04,2.0460E+04,2.7691E+04,9.6787E+03,1.1899E+04,1.8004E+03,2.1296E+03,4.7553E+03,3.9777E+03,5.3149E+03,3.9260E+02,4.6417E+02,3.7531E+02,3.6870E+02,7.2666E+02,3.4095E+01,
5,3.7932E+05,0.0000E+00,0.0000E+00,2.7913E+05,1.0018E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.8198E+04,9.4444E+04,1.2649E+05,5.3679E+03,7.0002E+03,1.6259E+04,1.6607E+04,2.2313E+04,7.0827E+03,8.6826E+03,1.5545E+03,1.8549E+03,4.0204E+03,3.2333E+03,4.2902E+03,2.9054E+02,3.4247E+02,3.2280E+02,3.1980E+02,6.1352E+02,2.9354E+01,
5.5446,2.9108E+05,0.0000E+00,0.0000E+00,2.1285E+05,7.8232E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.9430E+04,7.0405E+04,9.3013E+04,4.5551E+03,5.9958E+03,1.3343E+04,1.2887E+04,1.7158E+04,4.8664E+03,5.9454E+03,1.3039E+03,1.5683E+03,3.2840E+03,2.5136E+03,3.3077E+03,2.0211E+02,2.3737E+02,2.6965E+02,2.6919E+02,5.0045E+02,2.4551E+01,
5.589,3.0290E+05,0.0000E+00,0.0000E+00,2.2615E+05,7.6746E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7636E+04,4.8731E+04,6.8803E+04,9.0981E+04,4.4975E+03,5.9224E+03,1.3138E+04,1.2633E+04,1.6808E+04,4.7263E+03,5.7727E+03,1.2862E+03,1.5479E+03,3.2326E+03,2.4645E+03,3.2411E+03,1.9647E+02,2.3068E+02,2.6592E+02,2.6558E+02,4.9257E+02,2.4213E+01,
