PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,5f5/2,5f7/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2
1,3.2115E+06,0.0000E+00,0.0000E+00,0.0000E+00,3.2115E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.0102E+05,3.4982E+05,9.8781E+05,1.2845E+06,1.8032E+04,1.3326E+04,6.3320E+04,6.4000E+04,9.9684E+04,4.8416E+04,6.1529E+04,4.6570E+03,3.0198E+03,1.0836E+04,4.3909E+02,6.0035E+02,5.2835E+02
1.2353,2.2119E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.2119E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8947E+05,3.0781E+05,6.2577E+05,8.0411E+05,1.3815E+04,1.1005E+04,4.7262E+04,5.0336E+04,7.6262E+04,3.1515E+04,3.9680E+04,3.4133E+03,2.3741E+03,7.9134E+03,3.3577E+02,4.5044E+02,3.7520E+02
1.2452,2.3184E+06,0.0000E+00,0.0000E+00,0.0000E+00,2.3184E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3964E+05,1.8863E+05,3.0586E+05,6.1419E+05,7.8883E+05,1.3672E+04,1.0924E+04,4.6727E+04,4.9835E+04,7.5429E+04,3.0973E+04,3.8984E+04,3.3728E+03,2.3524E+03,7.8182E+03,3.3214E+02,4.4528E+02,3.7030E+02
1.5,1.6157E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.6157E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1246E+05,1.6245E+05,2.5249E+05,3.8703E+05,4.9316E+05,1.0636E+04,9.1444E+03,3.5553E+04,3.8739E+04,5.7388E+04,2.0228E+04,2.5272E+04,2.5439E+03,1.8924E+03,5.8604E+03,2.5375E+02,3.3519E+02,2.7218E+02
1.5534,1.5052E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.5052E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0773E+05,1.5644E+05,2.4230E+05,3.5324E+05,4.4934E+05,1.0134E+04,8.8307E+03,3.3724E+04,3.6813E+04,5.4327E+04,1.8593E+04,2.3198E+04,2.4107E+03,1.8150E+03,5.5453E+03,2.4047E+02,3.1600E+02,2.5672E+02
1.5658,1.5000E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.5000E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.9000E+04,1.0667E+05,1.5510E+05,2.3997E+05,3.4586E+05,4.3979E+05,1.0022E+04,8.7601E+03,3.3318E+04,3.6381E+04,5.3645E+04,1.8236E+04,2.2746E+04,2.3813E+03,1.7977E+03,5.4756E+03,2.3751E+02,3.1192E+02,2.5330E+02
1.7312,1.2201E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.2201E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.7658E+04,9.4229E+04,1.3837E+05,2.0969E+05,2.6348E+05,3.3389E+05,8.6951E+03,7.8984E+03,2.8551E+04,3.1218E+04,4.5548E+04,1.4204E+04,1.7650E+04,2.0376E+03,1.5913E+03,4.6617E+03,2.0240E+02,2.6390E+02,2.1377E+02
1.7451,1.2220E+06,0.0000E+00,0.0000E+00,0.0000E+00,1.2220E+06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2038E+04,1.7629E+04,9.3305E+04,1.3700E+05,2.0726E+05,2.5776E+05,3.2656E+05,8.5960E+03,7.8320E+03,2.8199E+04,3.0829E+04,4.4944E+04,1.3919E+04,1.7291E+04,2.0124E+03,1.5758E+03,4.6020E+03,1.9978E+02,2.6034E+02,2.1089E+02
2,9.1742E+05,0.0000E+00,0.0000E+00,0.0000E+00,9.1742E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8477E+04,1.6802E+04,7.8248E+04,1.1333E+05,1.6838E+05,1.7541E+05,2.2109E+05,7.0520E+03,6.7505E+03,2.2728E+04,2.4683E+04,3.5497E+04,9.7525E+03,1.2055E+04,1.6238E+03,1.3287E+03,3.6811E+03,1.6343E+02,2.0483E+02,1.6726E+02
3,3.7621E+05,0.0000E+00,0.0000E+00,0.0000E+00,3.7621E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1375E+04,1.2910E+04,4.2918E+04,5.6736E+04,8.0117E+04,5.0902E+04,6.3324E+04,3.8064E+03,4.1244E+03,1.1542E+04,1.1708E+04,1.6220E+04,3.0753E+03,3.7475E+03,8.4388E+02,7.7297E+02,1.8382E+03,7.6961E+01,9.3034E+01,8.2212E+01
