Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,,,,,,
10.2,,,,,,,,,,5.100E-03,9.416E+00,,,,,,,
16.7,,,,,,,,,,6.900E-02,7.346E+00,,,,,,,
21.2,,,,,,,,,,7.400E-02,4.644E+00,,,,,,,
26.8,,,,,,,,,,8.100E-02,2.633E+00,,,,,,,
40.8,,,,,,,,,4.584E+00,6.400E-02,8.333E-01,2.601E+00,,,,,,
80,,,,,,1.921E-01,,,5.527E-01,2.800E-02,8.900E-02,1.966E+01,,,,,,
132.3,,,,,,1.356E-01,,,2.318E-01,1.400E-02,1.300E-02,1.249E+01,,,,,,
151.4,,,,,,1.187E-01,,,1.973E-01,1.200E-02,9.200E-03,6.794E+00,,,,,,
200,,,,,,8.400E-02,,9.339E-01,1.430E-01,9.500E-03,4.700E-03,9.497E-01,,,,,,
300,,,,,3.643E-01,4.900E-02,,2.970E-01,9.000E-02,4.800E-03,3.500E-03,1.598E-01,,,,,,
600,,,7.900E-02,,2.087E-01,1.700E-02,,3.029E-01,3.800E-02,1.700E-03,2.400E-03,4.105E-01,,,,,,
800,,,5.300E-02,,1.498E-01,1.100E-02,3.833E+00,2.472E-01,2.600E-02,8.400E-04,1.800E-03,3.007E-01,,,,,,
1041,,,3.500E-02,,1.051E-01,7.100E-03,2.546E+00,1.872E-01,1.700E-02,7.900E-04,1.400E-03,1.948E-01,,,,,,
1253.6,,,2.600E-02,5.623E-01,8.000E-02,5.200E-03,1.716E+00,1.474E-01,1.300E-02,5.100E-04,1.000E-03,1.345E-01,,,,,,
1486.6,5.700E-02,1.929E-01,2.000E-02,4.733E-01,6.200E-02,3.900E-03,1.136E+00,1.145E-01,9.900E-03,2.800E-04,8.800E-04,9.200E-02,,,,,,
8047.8,3.300E-03,1.100E-02,9.700E-04,1.400E-02,2.900E-03,1.700E-04,4.700E-03,3.200E-03,4.500E-04,1.200E-05,3.000E-05,5.900E-04,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,2.000E+00,1.000E+00,1.100E+01,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
