Photon Energy / eV,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,,,,,,,
10.2,,,,,,,,,1.800E-03,8.811E+00,,,,,,,,
16.7,,,,,,,,,6.300E-02,7.209E+00,,,,,,,,
21.2,,,,,,,,,6.900E-02,4.705E+00,,,,,,,,
26.8,,,,,,,,,7.800E-02,2.732E+00,,,,,,,,
40.8,,,,,,,,5.289E+00,6.300E-02,8.836E-01,2.382E+00,,,,,,,
80,,,,,1.828E-01,,,5.850E-01,2.800E-02,9.700E-02,1.688E+01,,,,,,,
132.3,,,,,1.357E-01,,,2.343E-01,1.400E-02,1.500E-02,2.104E+01,,,,,,,
151.4,,,,,1.195E-01,,,1.984E-01,1.200E-02,9.200E-03,1.352E+01,,,,,,,
200,,,,,8.600E-02,,1.133E+00,1.447E-01,9.200E-03,4.600E-03,2.440E+00,,,,,,,
300,,,,3.678E-01,5.000E-02,,3.033E-01,9.200E-02,4.400E-03,3.400E-03,1.396E-01,,,,,,,
600,,8.400E-02,,2.197E-01,1.800E-02,,3.116E-01,3.900E-02,1.700E-03,2.400E-03,5.488E-01,,,,,,,
800,,5.600E-02,,1.590E+03,1.100E-02,6.392E-01,2.609E-01,2.700E-02,1.000E-03,1.800E-03,4.252E-01,,,,,,,
1041,,3.800E-02,,1.135E-01,7.500E-03,2.900E+00,2.013E-01,1.800E-02,6.700E-04,1.300E-03,2.868E-01,,,,,,,
1253.6,,2.800E-02,5.744E-01,8.600E-02,5.500E-03,1.963E+00,1.598E-01,1.300E-02,3.800E-04,1.100E-03,2.016E-01,,,,,,,
1486.6,2.013E-01,2.100E-02,4.944E-01,6.700E-02,4.200E-03,1.320E+00,1.254E-01,1.000E-02,3.300E-04,8.300E-04,1.399E-01,,,,,,,
8047.8,1.200E-02,1.000E-03,1.600E-02,3.200E-03,1.900E-04,6.000E-03,3.700E-03,5.200E-04,1.400E-05,3.200E-05,9.900E-04,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,2.000E+00,1.000E+00,1.400E+01,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
