Photon Energy / eV,2s,2p,3s,3p,4s,3d,,,,,,,,,,,,
10.2,,,,,6.800E-02,,,,,,,,,,,,,
16.7,,,,,1.999E-01,3.025E+00,,,,,,,,,,,,
21.2,,,,,1.998E-01,3.134E+00,,,,,,,,,,,,
26.8,,,,,1.871E-01,2.894E+00,,,,,,,,,,,,
40.8,,,,,1.382E-01,1.922E+00,,,,,,,,,,,,
80,,,4.427E-01,1.256E+00,6.100E-02,5.846E-01,,,,,,,,,,,,
132.3,,,3.124E-01,1.176E+00,3.000E-02,1.707E-01,,,,,,,,,,,,
151.4,,,2.691E-01,1.042E+00,2.400E-02,1.195E-01,,,,,,,,,,,,
200,,,1.894E-01,7.394E-01,1.600E-02,5.300E-02,,,,,,,,,,,,
300,,,1.043E-01,3.824E-01,8.800E-03,1.500E-02,,,,,,,,,,,,
600,1.828E-01,1.019E+00,3.200E-02,9.000E-02,2.400E-03,1.600E-03,,,,,,,,,,,,
800,1.195E-01,4.913E-01,1.800E-02,4.500E-02,1.400E-03,5.800E-04,,,,,,,,,,,,
1041,7.600E-02,2.396E-01,1.100E-02,2.300E-02,8.400E-04,2.200E-04,,,,,,,,,,,,
1253.6,5.400E-02,1.419E-01,7.800E-03,1.400E-02,6.300E-04,1.000E-04,,,,,,,,,,,,
1486.6,3.900E-02,8.600E-02,5.500E-03,8.900E-03,4.600E-04,5.300E-05,,,,,,,,,,,,
8047.8,8.500E-04,3.500E-04,1.200E-04,5.000E-05,1.400E-05,1.600E-07,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,2.000E+00,1.000E+00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
