Photon Energy / eV,2s,2p,3s,3p,4s,3d,,,,,,,,,,,,
10.2,,,,,3.200E-02,,,,,,,,,,,,,
16.7,,,,,1.816E-01,4.377E+00,,,,,,,,,,,,
21.2,,,,,1.951E-01,5.074E+00,,,,,,,,,,,,
26.8,,,,,1.851E-01,5.221E+00,,,,,,,,,,,,
40.8,,,,,1.427E-01,4.012E+00,,,,,,,,,,,,
80,,,4.308E-01,1.090E+00,6.700E-02,1.472E+00,,,,,,,,,,,,
132.3,,,3.282E-01,1.190E+00,3.300E-02,4.662E-01,,,,,,,,,,,,
151.4,,,2.845E-01,1.083E+00,2.600E-02,3.318E-01,,,,,,,,,,,,
200,,,2.046E-01,8.011E-01,1.800E-02,1.552E-01,,,,,,,,,,,,
300,,,1.146E-01,4.332E-01,9.000E-03,4.700E-02,,,,,,,,,,,,
600,1.953E-01,1.202E+00,3.600E-02,1.074E-01,2.600E-03,4.900E-03,,,,,,,,,,,,
800,1.289E-01,5.931E-01,2.100E-02,5.400E-02,1.400E-03,1.700E-03,,,,,,,,,,,,
1041,8.400E-02,2.930E-01,1.300E-02,2.800E-02,9.400E-04,7.200E-04,,,,,,,,,,,,
1253.6,6.000E-02,1.746E-01,9.100E-03,1.700E-02,6.900E-04,3.400E-04,,,,,,,,,,,,
1486.6,4.400E-02,1.069E-01,6.400E-03,1.100E-02,5.000E-04,1.700E-04,,,,,,,,,,,,
8047.8,1.000E-03,4.700E-04,1.500E-04,6.100E-05,6.200E-06,2.700E-07,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,2.000E+00,2.000E+00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
