Photon Energy / eV,2s,2p,3s,3p,4s,3d,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,8.000E-02,3.576E+00,,,,,,,,,,,,
21.2,,,,,1.349E-01,4.833E+00,,,,,,,,,,,,
26.8,,,,,1.495E-01,6.497E+00,,,,,,,,,,,,
40.8,,,,,1.350E-01,8.751E+00,,,,,,,,,,,,
80,,,,6.409E-01,7.400E-02,6.181E+00,,,,,,,,,,,,
132.3,,,3.289E-01,9.655E-01,3.700E-02,2.904E+00,,,,,,,,,,,,
151.4,,,3.082E-01,9.979E-01,3.200E-02,2.219E+00,,,,,,,,,,,,
200,,,2.425E-01,8.951E-01,2.000E-02,1.201E+00,,,,,,,,,,,,
300,,,1.495E-01,5.869E-01,1.100E-02,4.247E-01,,,,,,,,,,,,
600,,,5.200E-02,1.829E-01,3.500E-03,5.400E-02,,,,,,,,,,,,
800,,1.107E+00,3.200E-02,9.900E-02,2.100E-03,2.000E-02,,,,,,,,,,,,
1041,1.115E-01,5.723E-01,1.900E-02,5.400E-02,1.300E-03,8.200E-03,,,,,,,,,,,,
1253.6,8.300E-02,3.529E-01,1.300E-02,3.400E-02,9.100E-04,4.500E-03,,,,,,,,,,,,
1486.6,6.200E-02,2.216E-01,1.000E-02,2.200E-02,7.000E-04,2.200E-03,,,,,,,,,,,,
8047.8,1.700E-03,1.100E-03,2.600E-04,1.600E-04,1.400E-05,1.100E-06,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,2.000E+00,6.000E+00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
