Photon Energy / eV,2s,2p,3s,3p,4s,3d,4p,,,,,,,,,,,
10.2,,,,,,,1.561E+01,,,,,,,,,,,
16.7,,,,,,,3.633E+00,,,,,,,,,,,
21.2,,,,,2.200E-02,,1.528E+00,,,,,,,,,,,
26.8,,,,,1.135E-01,,6.325E-01,,,,,,,,,,,
40.8,,,,,1.989E-01,,1.323E-01,,,,,,,,,,,
80,,,,,1.365E-01,6.999E+00,3.900E-02,,,,,,,,,,,
132.3,,,,4.328E-01,7.100E-02,7.064E+00,3.000E-02,,,,,,,,,,,
151.4,,,,5.334E-01,6.000E-02,6.263E+00,2.700E-02,,,,,,,,,,,
200,,,2.584E-01,7.263E-01,4.000E-02,4.343E+00,2.100E-02,,,,,,,,,,,
300,,,1.871E-01,6.846E-01,2.200E-02,2.006E+00,1.400E-02,,,,,,,,,,,
600,,,7.600E-02,2.958E-01,7.700E-03,3.438E-01,4.900E-03,,,,,,,,,,,
800,,,4.800E-02,1.795E-01,4.700E-03,1.465E-01,2.800E-03,,,,,,,,,,,
1041,,,3.100E-02,1.070E-01,2.900E-03,6.400E-02,1.600E-03,,,,,,,,,,,
1253.6,,7.071E-01,2.200E-02,7.100E-02,1.900E-03,3.400E-02,1.100E-03,,,,,,,,,,,
1486.6,8.800E-02,4.966E-01,1.600E-02,4.800E-02,1.500E-03,1.900E-02,7.400E-04,,,,,,,,,,,
8047.8,3.300E-03,3.400E-03,5.000E-04,4.400E-04,4.600E-05,2.800E-05,6.900E-06,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,6.000E+00,2.000E+00,1.000E+01,2.000E+00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
