Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,,,,,,,,,,,
10.2,,,,,,6.500E-04,9.527E+00,,,,,,,,,,,
16.7,,,,,,9.400E-02,1.421E+01,,,,,,,,,,,
21.2,,,,,,1.139E-01,1.218E+01,,,,,,,,,,,
26.8,,,,,,1.219E-01,7.616E+00,,,,,,,,,,,
40.8,,,,,5.183E+00,1.024E-01,1.739E+00,,,,,,,,,,,
80,,,2.794E-01,,5.182E-01,4.800E-02,3.800E-02,,,,,,,,,,,
132.3,,,2.072E-01,,3.864E-01,2.400E-02,9.700E-02,,,,,,,,,,,
151.4,,,1.804E-01,,3.610E-01,2.000E-02,1.027E-01,,,,,,,,,,,
200,,,1.294E-01,3.690E-01,2.981E-01,1.400E-02,9.100E-02,,,,,,,,,,,
300,,,7.300E-02,4.525E+00,1.974E-01,7.300E-03,5.400E-02,,,,,,,,,,,
600,1.174E-01,4.727E-01,2.400E-02,1.259E+00,7.500E-02,2.300E-03,1.400E-02,,,,,,,,,,,
800,7.800E-02,3.183E-01,1.500E-02,5.960E-01,4.600E-02,1.300E-03,6.600E-03,,,,,,,,,,,
1041,5.200E-02,2.068E-01,9.500E-03,2.849E-01,2.800E-02,9.500E-04,3.300E-03,,,,,,,,,,,
1253.6,3.800E-02,1.464E-01,6.800E-03,1.633E-01,1.900E-02,6.500E-04,1.900E-03,,,,,,,,,,,
1486.6,2.800E-02,1.049E-01,5.000E-03,9.600E-02,1.400E-02,4.600E-04,1.100E-03,,,,,,,,,,,
8047.8,1.000E-03,1.400E-03,1.800E-04,2.300E-04,2.200E-04,1.800E-05,3.500E-06,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,2.000E+00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
