Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,,,,,,,,,,,
10.2,,,,,,3.000E-02,,,,,,,,,,,,
16.7,,,,,,6.400E-02,1.381E+01,,,,,,,,,,,
21.2,,,,,,1.024E-01,2.215E+01,,,,,,,,,,,
26.8,,,,,,1.162E-01,2.777E+01,,,,,,,,,,,
40.8,,,,,,1.084E-01,1.314E+01,,,,,,,,,,,
80,,,2.871E-01,,6.891E-01,5.900E-02,2.629E-01,,,,,,,,,,,
132.3,,,2.377E-01,,4.352E-01,3.000E-02,2.450E-01,,,,,,,,,,,
151.4,,,2.116E-01,,4.187E-01,2.400E-02,2.930E-01,,,,,,,,,,,
200,,,1.579E-01,,3.632E-01,1.700E-02,3.088E-01,,,,,,,,,,,
300,,,9.300E-02,2.827E+00,2.541E-01,9.000E-03,2.133E-01,,,,,,,,,,,
600,1.314E-01,5.220E-01,3.200E-02,1.766E+00,1.009E-01,2.900E-03,6.000E-02,,,,,,,,,,,
800,9.000E-02,3.698E-01,1.900E-02,8.718E-01,6.200E-02,1.700E-03,3.000E-02,,,,,,,,,,,
1041,6.100E-02,2.471E-01,1.200E-02,4.263E-01,3.900E-02,1.000E-03,1.500E-02,,,,,,,,,,,
1253.6,4.500E-02,1.792E-01,8.900E-03,2.500E-01,2.700E-02,8.500E-04,9.800E-03,,,,,,,,,,,
1486.6,3.400E-02,1.298E-01,6.600E-03,1.502E-01,2.000E-02,5.800E-04,6.000E-03,,,,,,,,,,,
8047.8,1.300E-03,2.100E-03,2.500E-04,4.000E-04,3.500E-04,2.200E-05,2.000E-05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,5.000E+00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
