Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,,,,,,5.994E+00,,,,,,,,,,
21.2,,,,,,4.300E-02,,2.585E+00,,,,,,,,,,
26.8,,,,,,1.350E-01,,1.124E+00,,,,,,,,,,
40.8,,,,,,2.011E-01,,2.875E-01,,,,,,,,,,
80,,,,,,1.265E-01,1.588E+01,7.000E-02,,,,,,,,,,
132.3,,,,,5.194E-01,6.600E-02,3.523E-01,4.100E-02,,,,,,,,,,
151.4,,,2.359E-01,,4.816E-01,5.600E-02,3.795E-01,3.600E-02,,,,,,,,,,
200,,,2.115E-01,,4.624E-01,3.800E-02,7.085E-01,2.800E-02,,,,,,,,,,
300,,,1.419E-01,,3.752E-01,2.100E-02,7.867E-01,1.900E-02,,,,,,,,,,
600,,,5.400E-02,4.016E+00,1.754E-01,7.300E-03,3.327E-01,7.700E-03,,,,,,,,,,
800,,4.638E-01,3.400E-02,1.866E+00,1.148E-01,4.500E-03,1.894E-01,4.600E-03,,,,,,,,,,
1041,8.300E-02,3.456E-01,2.200E-02,9.981E-01,7.400E-02,2.800E-03,1.054E-01,2.800E-03,,,,,,,,,,
1253.6,6.400E-02,2.652E-01,1.600E-02,6.116E-01,5.300E-02,1.900E-03,6.600E-02,2.100E-03,,,,,,,,,,
1486.6,4.900E-02,2.010E-01,1.100E-02,3.810E-01,3.900E-02,1.400E-03,4.300E-02,1.600E-03,,,,,,,,,,
8047.8,2.100E-03,4.500E-03,4.700E-04,1.400E-03,8.400E-04,5.300E-05,2.300E-04,4.100E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.000E+01,3.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
