Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,,,,,,,,,,
10.2,,,,,,6.400E-02,,,,,,,,,,,,
16.7,,,,,,3.300E-02,,2.101E+01,,,,,,,,,,
21.2,,,,,,6.500E-02,,2.483E+01,,,,,,,,,,
26.8,,,,,,8.100E-02,,2.070E+01,,,,,,,,,,
40.8,,,,,,8.100E-02,,7.999E+00,,,,,,,,,,
80,,,1.869E-01,,8.496E-01,4.500E-02,9.524E-01,7.662E-01,,,,,,,,,,
132.3,,,1.745E-01,,2.977E-01,2.300E-02,4.119E+00,7.700E-02,,,,,,,,,,
151.4,,,1.565E-01,,2.616E-01,1.900E-02,5.113E+00,4.500E-02,,,,,,,,,,
200,,,1.192E-01,,2.070E-01,1.300E-02,6.258E+00,2.900E-02,,,,,,,,,,
300,,,7.100E-02,2.933E-01,1.436E-01,7.100E-03,5.397E+00,3.400E-02,,,,,,,,,,
600,1.082E-01,3.153E-01,2.500E-02,6.877E-01,6.300E-02,2.400E-03,1.778E+00,2.500E-02,,,,,,,,,,
800,7.500E-02,2.407E-01,1.600E-02,5.650E-01,4.300E-02,1.400E-03,8.859E-01,1.800E-02,,,,,,,,,,
1041,5.200E-02,1.755E-01,1.000E-02,4.068E-01,2.900E-02,9.500E-04,4.294E-01,1.200E-02,,,,,,,,,,
1253.6,3.900E-02,1.363E-01,7.800E-03,3.045E-01,2.200E-02,7.400E-04,2.463E-01,8.800E-03,,,,,,,,,,
1486.6,3.000E-02,1.057E-01,5.900E-03,2.243E-01,1.600E-02,5.400E-04,1.449E-01,6.500E-03,,,,,,,,,,
8047.8,1.400E-03,3.900E-03,2.500E-04,2.800E-03,6.000E-04,2.700E-05,2.400E-04,9.100E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,4.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
