Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,,,,,,,,,,
10.2,,,,,,1.034E-01,,,,,,,,,,,,
16.7,,,,,,2.600E-02,,1.963E+01,,,,,,,,,,
21.2,,,,,,6.200E-02,,2.808E+01,,,,,,,,,,
26.8,,,,,,8.000E-02,,2.828E+01,,,,,,,,,,
40.8,,,,,,8.300E-02,,1.210E+01,,,,,,,,,,
80,,,1.946E-01,,9.508E-01,4.800E-02,7.257E-01,1.166E+00,,,,,,,,,,
132.3,,,1.796E-01,,3.136E-01,2.400E-02,2.855E+00,1.189E-01,,,,,,,,,,
151.4,,,1.629E-01,,2.755E-01,2.000E-02,4.036E+00,6.600E-02,,,,,,,,,,
200,,,1.242E-01,,2.195E-01,1.400E-02,5.797E+00,4.000E-02,,,,,,,,,,
300,,,7.500E-02,2.889E-01,1.542E-01,7.600E-03,5.542E+00,4.800E-02,,,,,,,,,,
600,1.102E-01,3.196E-01,2.700E-02,6.908E-01,6.900E-02,2.600E-03,1.935E+00,3.500E-02,,,,,,,,,,
800,7.700E-02,2.460E-01,1.700E-02,5.754E-01,4.600E-02,1.600E-03,9.763E-01,2.500E-02,,,,,,,,,,
1041,5.300E-02,1.796E-01,1.100E-02,4.207E-01,3.100E-02,9.900E-04,4.781E-01,1.700E-02,,,,,,,,,,
1253.6,4.000E-02,1.401E-01,8.300E-03,3.151E-01,2.300E-02,8.200E-04,2.776E-01,1.200E-02,,,,,,,,,,
1486.6,3.100E-02,1.090E-01,6.300E-03,2.346E-01,1.700E-02,5.400E-04,1.631E-01,9.100E-03,,,,,,,,,,
8047.8,1.500E-03,4.100E-03,2.600E-04,3.100E-03,6.300E-04,3.500E-05,2.900E-04,1.600E-04,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,5.000E+00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
