Photon Energy / eV,1s,2s,2p,,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,
16.7,,,1.043E+01,,,,,,,,,,,,,,,
21.2,,,1.067E+01,,,,,,,,,,,,,,,
26.8,,,9.772E+00,,,,,,,,,,,,,,,
40.8,,8.342E-01,6.816E+00,,,,,,,,,,,,,,,
80,,6.901E-01,2.064E+00,,,,,,,,,,,,,,,
132.3,,3.677E-01,5.772E-01,,,,,,,,,,,,,,,
151.4,,2.984E-01,4.037E-01,,,,,,,,,,,,,,,
200,,1.831E-01,1.836E-01,,,,,,,,,,,,,,,
300,,8.300E-02,5.300E-02,,,,,,,,,,,,,,,
600,4.119E-01,1.800E-02,6.100E-03,,,,,,,,,,,,,,,
800,2.044E-01,9.200E-03,2.200E-03,,,,,,,,,,,,,,,
1041,1.042E-01,4.700E-03,8.900E-04,,,,,,,,,,,,,,,
1253.6,6.300E-02,2.900E-03,5.000E-04,,,,,,,,,,,,,,,
1486.6,4.000E-02,1.900E-03,2.400E-04,,,,,,,,,,,,,,,
8047.8,2.700E-04,1.600E-05,3.800E-07,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,2.000E+00,4.000E+00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
