Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,,,,,,
10.2,,,,,,,,,,1.000E-02,1.049E+01,,,,,,,
16.7,,,,,,,,,,7.200E-02,7.336E+00,,,,,,,
21.2,,,,,,,,,,8.500E-02,4.427E+00,,,,,,,
26.8,,,,,,,,,,8.200E-02,2.462E+00,1.269E+00,,,,,,
40.8,,,,,,,,,3.761E+00,6.500E-02,7.636E-01,4.626E+00,,,,,,
80,,,,,,2.016E-01,,,5.138E-01,3.000E-02,8.000E-02,1.617E+01,,,,,,
132.3,,,,,,1.345E-01,,,2.268E-01,1.500E-02,1.200E-02,4.295E+00,,,,,,
151.4,,,,,,1.155E-01,,2.293E+00,1.930E-01,1.200E-02,8.500E-03,1.996E+00,,,,,,
200,,,,,,8.100E-02,,6.633E-01,1.391E-01,8.600E-03,4.600E-03,1.912E-01,,,,,,
300,,,1.605E-01,,3.524E-01,4.600E-02,,2.904E-01,8.700E-02,4.500E-03,3.700E-03,1.501E-01,,,,,,
600,,,7.200E-02,,1.915E-01,1.600E-02,1.251E+00,2.823E-01,3.500E-02,1.500E-03,2.600E-03,2.295E-01,,,,,,
800,,,4.700E-02,,1.353E-01,1.000E-02,3.428E+00,2.255E-01,2.400E-02,9.900E-04,1.900E-03,1.588E-01,,,,,,
1041,,,3.100E-02,6.215E-01,9.300E-02,6.600E-03,2.143E+00,1.666E-01,1.600E-02,6.600E-04,1.300E-03,9.700E-02,,,,,,
1253.6,,2.208E-01,2.300E-02,5.352E-01,7.100E-02,4.800E-03,1.405E+00,1.292E-01,1.100E-02,4.500E-04,1.100E-03,6.500E-02,,,,,,
1486.6,5.300E-02,1.805E-01,1.700E-02,4.420E-01,5.400E-02,3.500E-03,9.125E-01,9.900E-02,9.100E-03,3.100E-04,8.000E-04,4.400E-02,,,,,,
8047.8,3.000E-03,9.800E-03,8.300E-04,1.200E-02,2.400E-03,1.700E-04,3.300E-03,2.500E-03,4.200E-04,2.500E-05,2.500E-05,2.200E-04,,,,,,
,,,,,,,,,,,,,,,,,,
#electrons,2.000E+00,6.000E+00,2.000E+00,1.000E+01,6.000E+00,2.000E+00,1.400E+01,1.000E+01,6.000E+00,2.000E+00,1.000E+00,7.000E+00,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
