Shell,Mg,k / eV,,,,,,,,,,,,,
,,1500,2000,3000,4000,5000,6000,7000,8000,9000,10000,,,,
1s1/2,?,1.419E+02,6.917E+01,2.359E+01,1.066E+01,5.665E+00,3.353E+00,2.141E+00,1.445E+00,1.019E+00,7.434E-01,,,,
Eb=,?,1.998E+00,1.994E+00,1.984E+00,1.973E+00,1.963E+00,1.953E+00,1.943E+00,1.933E+00,1.923E+00,1.913E+00,,,,
1305.0 eV,?,7.970E-02,4.160E-01,8.060E-01,1.080E+00,1.290E+00,1.480E+00,1.650E+00,1.790E+00,1.930E+00,2.050E+00,,,,
,?,-3.880E-06,-4.040E-06,-3.550E-06,-2.710E-06,-1.690E-06,-4.770E-07,8.370E-07,2.440E-06,4.200E-06,6.290E-06,,,,
2s1/2,?,7.384E+00,3.667E+00,1.299E+00,6.023E-01,3.266E-01,1.961E-01,1.265E-01,8.613E-02,6.115E-02,4.489E-02,,,,
Eb=,?,1.993E+00,1.989E+00,1.979E+00,1.969E+00,1.959E+00,1.949E+00,1.939E+00,1.929E+00,1.919E+00,1.909E+00,,,,
89.4 eV,?,5.100E-01,6.860E-01,9.660E-01,1.190E+00,1.390E+00,1.560E+00,1.710E+00,1.850E+00,1.980E+00,2.100E+00,,,,
,?,-3.010E-07,-2.140E-07,7.800E-09,3.600E-07,8.780E-07,1.550E-06,2.440E-06,3.510E-06,4.780E-06,6.260E-06,,,,
2p1/2,?,1.263E+00,4.736E-01,1.136E-01,4.006E-02,1.758E-02,8.893E-03,4.967E-03,2.986E-03,1.900E-03,1.265E-03,,,,
Eb=,?,8.350E-01,6.840E-01,4.990E-01,3.770E-01,2.980E-01,2.420E-01,1.970E-01,1.600E-01,1.280E-01,1.010E-01,,,,
51.5 eV,?,5.540E-01,6.050E-01,6.680E-01,7.110E-01,7.500E-01,7.840E-01,8.140E-01,8.410E-01,8.670E-01,8.920E-01,,,,
,?,7.430E-02,9.780E-02,1.400E-01,1.760E-01,2.070E-01,2.360E-01,2.610E-01,2.850E-01,3.060E-01,3.260E-01,,,,
2p3/2,?,2.481E+00,9.291E-01,2.223E-01,7.824E-02,3.426E-02,1.729E-02,9.637E-03,5.782E-03,3.672E-03,2.440E-03,,,,
Eb=,?,8.390E-01,6.890E-01,5.060E-01,3.860E-01,3.100E-01,2.560E-01,2.150E-01,1.800E-01,1.510E-01,1.270E-01,,,,
51.3 eV,?,5.550E-01,6.050E-01,6.680E-01,7.090E-01,7.470E-01,7.800E-01,8.080E-01,8.340E-01,8.580E-01,8.800E-01,,,,
,?,7.420E-02,9.770E-02,1.400E-01,1.760E-01,2.070E-01,2.350E-01,2.610E-01,2.840E-01,3.060E-01,3.250E-01,,,,
3s1/2,?,2.787E-01,1.377E-01,4.854E-02,2.246E-02,1.216E-02,7.292E-03,4.703E-03,3.201E-03,2.273E-03,1.668E-03,,,,
Eb=,?,1.993E+00,1.988E+00,1.979E+00,1.969E+00,1.959E+00,1.949E+00,1.938E+00,1.928E+00,1.918E+00,1.908E+00,,,,
2.1 eV,?,5.250E-01,6.990E-01,9.780E-01,1.210E+00,1.400E+00,1.570E+00,1.720E+00,1.860E+00,1.990E+00,2.110E+00,,,,
,?,-1.920E-07,-9.960E-08,7.740E-08,4.520E-07,9.270E-07,1.590E-06,2.440E-06,3.400E-06,4.550E-06,6.130E-06,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
