Shell,P,k / eV,,,,,,,,,,,,,
,,1500,2000,3000,4000,5000,6000,7000,8000,9000,10000,,,,
2s1/2,?,1.545E+01,8.069E+00,3.050E+00,1.474E+00,8.224E-01,5.048E-01,3.316E-01,2.292E-01,1.648E-01,1.224E-01,,,,
Eb=,?,1.996E+00,1.992E+00,1.984E+00,1.974E+00,1.964E+00,1.954E+00,1.944E+00,1.934E+00,1.924E+00,1.914E+00,,,,
189.3 eV,?,3.470E-01,5.250E-01,8.200E-01,1.060E+00,1.270E+00,1.450E+00,1.610E+00,1.760E+00,1.890E+00,2.020E+00,,,,
,?,-1.150E-06,-8.890E-07,-4.950E-07,-3.590E-08,5.790E-07,1.430E-06,2.470E-06,3.740E-06,5.250E-06,7.000E-06,,,,
2p1/2,?,4.801E+00,1.892E+00,4.826E-01,1.770E-01,7.988E-02,4.128E-02,2.346E-02,1.432E-02,9.228E-03,6.214E-03,,,,
Eb=,?,1.071E+00,9.230E-01,7.120E-01,5.700E-01,4.670E-01,3.890E-01,3.280E-01,2.780E-01,2.370E-01,2.020E-01,,,,
136.2 eV,?,5.790E-01,6.590E-01,7.570E-01,8.160E-01,8.580E-01,8.920E-01,9.220E-01,9.480E-01,9.720E-01,9.940E-01,,,,
,?,5.720E-02,7.750E-02,1.160E-01,1.510E-01,1.820E-01,2.100E-01,2.360E-01,2.590E-01,2.810E-01,3.010E-01,,,,
2p3/2,?,9.311E+00,3.665E+00,9.327E-01,3.412E-01,1.536E-01,7.920E-02,4.491E-02,2.735E-02,1.759E-02,1.182E-02,,,,
Eb=,?,1.077E+00,9.300E-01,7.200E-01,5.790E-01,4.780E-01,4.020E-01,3.440E-01,2.960E-01,2.580E-01,2.250E-01,,,,
135.3 eV,?,5.820E-01,6.610E-01,7.580E-01,8.160E-01,8.570E-01,8.890E-01,9.160E-01,9.410E-01,9.630E-01,9.830E-01,,,,
,?,5.720E-02,7.730E-02,1.160E-01,1.500E-01,1.810E-01,2.090E-01,2.350E-01,2.580E-01,2.800E-01,3.000E-01,,,,
3s1/2,?,1.197E+00,6.206E-01,2.331E-01,1.123E-01,6.255E-02,3.836E-02,2.518E-02,1.740E-02,1.251E-02,9.288E-03,,,,
Eb=,?,1.996E+00,1.992E+00,1.983E+00,1.973E+00,1.963E+00,1.953E+00,1.943E+00,1.933E+00,1.924E+00,1.914E+00,,,,
16.2 eV,?,3.850E-01,5.550E-01,8.430E-01,1.080E+00,1.280E+00,1.460E+00,1.620E+00,1.760E+00,1.900E+00,2.020E+00,,,,
,?,-5.850E-07,-5.120E-07,-2.590E-07,1.700E-07,8.070E-07,1.610E-06,2.660E-06,3.910E-06,5.390E-06,7.070E-06,,,,
3p1/2,?,2.517E-01,1.004E-01,2.584E-02,9.504E-03,4.296E-03,2.221E-03,1.263E-03,7.711E-04,4.971E-04,3.348E-04,,,,
Eb=,?,1.044E+00,9.020E-01,6.990E-01,5.600E-01,4.590E-01,3.820E-01,3.200E-01,2.700E-01,2.280E-01,1.930E-01,,,,
9.6 eV,?,5.760E-01,6.550E-01,7.540E-01,8.130E-01,8.550E-01,8.890E-01,9.170E-01,9.430E-01,9.660E-01,9.890E-01,,,,
,?,5.760E-02,7.830E-02,1.170E-01,1.520E-01,1.830E-01,2.120E-01,2.370E-01,2.610E-01,2.820E-01,3.020E-01,,,,
3p3/2,?,5.038E-01,2.004E-01,5.139E-02,1.884E-02,8.492E-03,4.380E-03,2.484E-03,1.513E-03,9.732E-04,6.540E-04,,,,
Eb=,?,1.050E+00,9.100E-01,7.070E-01,5.700E-01,4.710E-01,3.960E-01,3.360E-01,2.890E-01,2.490E-01,2.160E-01,,,,
10.1 eV,?,5.780E-01,6.570E-01,7.550E-01,8.130E-01,8.530E-01,8.850E-01,9.110E-01,9.350E-01,9.570E-01,9.770E-01,,,,
,?,5.720E-02,7.790E-02,1.170E-01,1.510E-01,1.830E-01,2.110E-01,2.360E-01,2.600E-01,2.810E-01,3.010E-01,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
