Shell,Ag,k / eV,,,,,,,,,,,,,
,,1500,2000,3000,4000,5000,6000,7000,8000,9000,10000,,,,
3s1/2,?,3.871E+01,2.437E+01,1.204E+01,7.071E+00,4.598E+00,3.198E+00,2.335E+00,1.768E+00,1.377E+00,1.098E+00,,,,
Eb=,?,1.979E+00,1.983E+00,1.989E+00,1.992E+00,1.994E+00,1.994E+00,1.992E+00,1.989E+00,1.985E+00,1.981E+00,,,,
717.5 eV,?,2.130E-01,3.910E-02,-9.610E-02,-9.280E-02,-2.500E-02,7.460E-02,1.890E-01,3.110E-01,4.370E-01,5.620E-01,,,,
,?,-1.180E-04,-1.600E-04,-2.020E-04,-2.230E-04,-2.370E-04,-2.450E-04,-2.510E-04,-2.550E-04,-2.560E-04,-2.550E-04,,,,
3p1/2,?,5.352E+01,3.162E+01,1.364E+01,7.063E+00,4.103E+00,2.582E+00,1.723E+00,1.202E+00,8.694E-01,6.471E-01,,,,
Eb=,?,1.586E+00,1.613E+00,1.578E+00,1.517E+00,1.452E+00,1.389E+00,1.331E+00,1.276E+00,1.223E+00,1.172E+00,,,,
602.4 eV,?,-2.010E-02,1.490E-02,2.360E-01,4.730E-01,6.820E-01,8.620E-01,1.020E+00,1.150E+00,1.270E+00,1.380E+00,,,,
,?,1.570E-03,2.410E-03,8.410E-03,1.670E-02,2.650E-02,3.720E-02,4.900E-02,6.130E-02,7.410E-02,8.670E-02,,,,
3p3/2,?,1.070E+02,6.159E+01,2.574E+01,1.305E+01,7.467E+00,4.639E+00,3.062E+00,2.117E+00,1.518E+00,1.121E+00,,,,
Eb=,?,1.613E+00,1.649E+00,1.625E+00,1.571E+00,1.510E+00,1.450E+00,1.394E+00,1.340E+00,1.288E+00,1.237E+00,,,,
571.4 eV,?,-3.020E-02,2.060E-02,2.580E-01,5.070E-01,7.260E-01,9.140E-01,1.080E+00,1.220E+00,1.340E+00,1.450E+00,,,,
