Shell,Gd,k / eV,,,,,,,,,,,,,
,,1500,2000,3000,4000,5000,6000,7000,8000,9000,10000,,,,
3d3/2,?,4.036E+02,1.965E+02,6.200E+01,2.588E+01,1.277E+01,7.043E+00,4.205E+00,2.665E+00,1.770E+00,1.221E+00,,,,
Eb=,?,6.520E-01,1.053E+00,1.231E+00,1.227E+00,1.178E+00,1.117E+00,1.054E+00,9.930E-01,9.350E-01,8.810E-01,,,,
1217.2 eV,?,-1.450E-01,-8.770E-02,2.620E-01,5.760E-01,8.230E-01,1.020E+00,1.180E+00,1.310E+00,1.420E+00,1.510E+00,,,,
,?,-8.740E-03,2.910E-02,6.730E-02,9.160E-02,1.130E-01,1.340E-01,1.540E-01,1.750E-01,1.950E-01,2.160E-01,,,,
3d5/2,?,5.990E+02,2.822E+02,8.734E+01,3.608E+01,1.767E+01,9.674E+00,5.740E+00,3.618E+00,2.391E+00,1.642E+00,,,,
Eb=,?,7.540E-01,1.098E+00,1.220E+00,1.190E+00,1.129E+00,1.061E+00,9.960E-01,9.350E-01,8.800E-01,8.280E-01,,,,
1185.2 eV,?,-1.510E-01,-6.660E-02,2.970E-01,6.030E-01,8.380E-01,1.020E+00,1.170E+00,1.290E+00,1.390E+00,1.480E+00,,,,
,?,-7.630E-03,2.790E-02,6.650E-02,9.350E-02,1.180E-01,1.420E-01,1.650E-01,1.880E-01,2.110E-01,2.330E-01,,,,
4s1/2,?,1.944E+01,1.221E+01,6.072E+00,3.607E+00,2.380E+00,1.682E+00,1.248E+00,9.596E-01,7.590E-01,6.138E-01,,,,
Eb=,?,1.946E+00,1.949E+00,1.956E+00,1.962E+00,1.967E+00,1.971E+00,1.974E+00,1.976E+00,1.977E+00,1.977E+00,,,,
375.8 eV,?,3.130E-01,1.920E-01,1.450E-02,-8.520E-02,-1.300E-01,-1.370E-01,-1.180E-01,-7.910E-02,-2.680E-02,3.520E-02,,,,
,?,-3.770E-04,-5.460E-04,-7.650E-04,-9.040E-04,-1.000E-03,-1.080E-03,-1.140E-03,-1.190E-03,-1.230E-03,-1.260E-03,,,,
4p1/2,?,2.325E+01,1.476E+01,7.182E+00,4.093E+00,2.576E+00,1.735E+00,1.227E+00,9.017E-01,6.824E-01,5.291E-01,,,,
Eb=,?,1.648E+00,1.685E+00,1.687E+00,1.658E+00,1.620E+00,1.580E+00,1.539E+00,1.498E+00,1.460E+00,1.422E+00,,,,
288.5 eV,?,8.490E-02,-4.180E-03,6.970E-03,1.260E-01,2.790E-01,4.380E-01,5.910E-01,7.360E-01,8.710E-01,9.970E-01,,,,
,?,-7.330E-04,-2.220E-03,-2.230E-03,-5.300E-04,2.620E-03,6.960E-03,1.220E-02,1.810E-02,2.460E-02,3.150E-02,,,,
4p3/2,?,5.061E+01,3.070E+01,1.409E+01,7.725E+00,4.722E+00,3.107E+00,2.156E+00,1.557E+00,1.161E+00,8.883E-01,,,,
Eb=,?,1.649E+00,1.706E+00,1.737E+00,1.726E+00,1.701E+00,1.669E+00,1.635E+00,1.599E+00,1.564E+00,1.529E+00,,,,
270.9 eV,?,4.010E-02,-3.110E-02,6.770E-03,1.480E-01,3.190E-01,4.940E-01,6.630E-01,8.220E-01,9.700E-01,1.110E+00,,,,
,?,7.600E-04,1.620E-03,4.820E-03,7.790E-03,1.090E-02,1.440E-02,1.830E-02,2.260E-02,2.720E-02,3.220E-02,,,,
4d3/2,?,5.391E+01,2.766E+01,9.699E+00,4.315E+00,2.224E+00,1.267E+00,7.756E-01,5.016E-01,3.387E-01,2.368E-01,,,,
Eb=,?,1.347E+00,1.371E+00,1.329E+00,1.254E+00,1.175E+00,1.100E+00,1.032E+00,9.690E-01,9.100E-01,8.560E-01,,,,
149.5 eV,?,2.930E-02,1.680E-01,4.610E-01,7.090E-01,9.090E-01,1.070E+00,1.210E+00,1.330E+00,1.430E+00,1.510E+00,,,,
,?,2.260E-02,3.580E-02,5.880E-02,8.080E-02,1.030E-01,1.250E-01,1.460E-01,1.680E-01,1.900E-01,2.110E-01,,,,
4d5/2,?,7.630E+01,3.874E+01,1.340E+01,5.901E+00,3.017E+00,1.706E+00,1.038E+00,6.675E-01,4.483E-01,3.119E-01,,,,
Eb=,?,1.355E+00,1.353E+00,1.283E+00,1.195E+00,1.111E+00,1.035E+00,9.670E-01,9.060E-01,8.510E-01,8.010E-01,,,,
134.5 eV,?,4.520E-02,1.910E-01,4.820E-01,7.210E-01,9.100E-01,1.060E+00,1.190E+00,1.300E+00,1.400E+00,1.480E+00,,,,
,?,2.170E-02,3.490E-02,6.010E-02,8.530E-02,1.100E-01,1.350E-01,1.590E-01,1.830E-01,2.070E-01,2.300E-01,,,,
4f5/2,?,1.435E+01,5.105E+00,1.100E+00,3.531E-01,1.426E-01,6.671E-02,3.461E-02,1.938E-02,1.152E-02,7.185E-03,,,,
Eb=,?,1.053E+00,9.890E-01,8.560E-01,7.490E-01,6.660E-01,5.980E-01,5.400E-01,4.870E-01,4.390E-01,3.930E-01,,,,
2.0 eV,?,4.480E-01,5.960E-01,7.990E-01,9.310E-01,1.030E+00,1.110E+00,1.170E+00,1.220E+00,1.260E+00,1.300E+00,,,,
,?,1.080E-01,1.350E-01,1.870E-01,2.370E-01,2.840E-01,3.280E-01,3.690E-01,4.070E-01,4.420E-01,4.750E-01,,,,
4f7/2,?,1.829E+01,6.453E+00,1.376E+00,4.387E-01,1.761E-01,8.205E-02,4.241E-02,2.368E-02,1.404E-02,8.733E-03,,,,
Eb=,?,1.044E+00,9.790E-01,8.490E-01,7.460E-01,6.670E-01,6.040E-01,5.490E-01,5.000E-01,4.560E-01,4.140E-01,,,,
1.3 eV,?,4.520E-01,6.010E-01,8.060E-01,9.370E-01,1.030E+00,1.110E+00,1.170E+00,1.220E+00,1.260E+00,1.290E+00,,,,
,?,1.080E-01,1.350E-01,1.890E-01,2.390E-01,2.870E-01,3.320E-01,3.730E-01,4.110E-01,4.470E-01,4.800E-01,,,,
5s1/2,?,3.296E+00,2.030E+00,9.915E-01,5.833E-01,3.823E-01,2.690E-01,1.989E-01,1.527E-01,1.205E-01,9.735E-02,,,,
Eb=,?,1.950E+00,1.953E+00,1.959E+00,1.964E+00,1.969E+00,1.972E+00,1.975E+00,1.976E+00,1.977E+00,1.977E+00,,,,
36.1 eV,?,2.160E-01,1.190E-01,-2.340E-02,-1.020E-01,-1.340E-01,-1.330E-01,-1.070E-01,-6.490E-02,-1.010E-02,5.370E-02,,,,
,?,-4.370E-04,-5.780E-04,-7.730E-04,-8.970E-04,-9.930E-04,-1.060E-03,-1.120E-03,-1.170E-03,-1.210E-03,-1.240E-03,,,,
5p1/2,?,3.268E+00,2.037E+00,9.749E-01,5.512E-01,3.453E-01,2.319E-01,1.638E-01,1.202E-01,9.092E-02,7.046E-02,,,,
Eb=,?,1.702E+00,1.717E+00,1.702E+00,1.665E+00,1.624E+00,1.581E+00,1.538E+00,1.497E+00,1.457E+00,1.419E+00,,,,
24.3 eV,?,3.660E-02,-1.910E-02,2.110E-02,1.490E-01,3.040E-01,4.610E-01,6.140E-01,7.570E-01,8.910E-01,1.020E+00,,,,
,?,-2.860E-03,-3.090E-03,-2.740E-03,-1.030E-03,2.150E-03,6.580E-03,1.190E-02,1.800E-02,2.450E-02,3.150E-02,,,,
5p3/2,?,6.527E+00,3.907E+00,1.774E+00,9.673E-01,5.896E-01,3.873E-01,2.685E-01,1.939E-01,1.446E-01,1.106E-01,,,,
Eb=,?,1.702E+00,1.738E+00,1.751E+00,1.733E+00,1.704E+00,1.670E+00,1.635E+00,1.598E+00,1.562E+00,1.526E+00,,,,
18.3 eV,?,2.850E-03,-3.810E-02,2.500E-02,1.720E-01,3.440E-01,5.180E-01,6.850E-01,8.430E-01,9.890E-01,1.120E+00,,,,
,?,-3.810E-04,1.350E-03,4.480E-03,7.270E-03,1.030E-02,1.390E-02,1.790E-02,2.220E-02,2.700E-02,3.210E-02,,,,
5d3/2,?,2.780E+00,1.430E+00,5.033E-01,2.244E-01,1.159E-01,6.610E-02,4.052E-02,2.623E-02,1.773E-02,1.240E-02,,,,
Eb=,?,1.386E+00,1.393E+00,1.338E+00,1.258E+00,1.178E+00,1.102E+00,1.031E+00,9.660E-01,9.050E-01,8.490E-01,,,,
6.0 eV,?,4.920E-02,1.880E-01,4.760E-01,7.210E-01,9.210E-01,1.080E+00,1.220E+00,1.330E+00,1.430E+00,1.510E+00,,,,
,?,2.210E-02,3.460E-02,5.700E-02,7.920E-02,1.020E-01,1.250E-01,1.470E-01,1.690E-01,1.900E-01,2.110E-01,,,,
6s1/2,?,2.444E-01,1.497E-01,7.273E-02,4.266E-02,2.790E-02,1.960E-02,1.448E-02,1.110E-02,8.763E-03,7.074E-03,,,,
Eb=,?,1.950E+00,1.953E+00,1.958E+00,1.964E+00,1.968E+00,1.972E+00,1.975E+00,1.977E+00,1.977E+00,1.978E+00,,,,
6.0 eV,?,2.140E-01,1.170E-01,-2.520E-02,-1.040E-01,-1.360E-01,-1.330E-01,-1.070E-01,-6.400E-02,-9.460E-03,5.400E-02,,,,
,?,-4.400E-04,-5.830E-04,-7.750E-04,-9.050E-04,-9.990E-04,-1.060E-03,-1.120E-03,-1.160E-03,-1.200E-03,-1.230E-03,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
