Shell,U,k / eV,,,,,,,,,,
,,1500,2000,3000,4000,5000,6000,7000,8000,9000,10000,
4s1/2,?,2.438E+01,1.869E+01,1.115E+01,7.335E+00,5.179E+00,3.847E+00,2.967E+00,2.356E+00,1.914E+00,1.584E+00,
Eb=,?,1.444E+00,1.572E+00,1.666E+00,1.707E+00,1.732E+00,1.751E+00,1.767E+00,1.780E+00,1.791E+00,1.801E+00,
1440.8 eV,?,9.570E-01,9.650E-01,8.010E-01,6.150E-01,4.470E-01,3.020E-01,1.810E-01,8.150E-02,1.090E-03,-6.330E-02,
,?,1.050E-02,3.730E-03,-7.350E-04,-2.970E-03,-4.450E-03,-5.530E-03,-6.380E-03,-7.060E-03,-7.640E-03,-8.160E-03,
4p1/2,?,2.287E+01,1.976E+01,1.348E+01,9.367E+00,6.771E+00,5.070E+00,3.909E+00,3.087E+00,2.486E+00,2.037E+00,
Eb=,?,3.320E-01,1.075E+00,1.469E+00,1.592E+00,1.644E+00,1.667E+00,1.675E+00,1.674E+00,1.667E+00,1.657E+00,
1271.8 eV,?,1.260E-01,7.040E-01,4.880E-01,2.190E-01,6.890E-02,9.210E-03,7.440E-03,4.230E-02,1.010E-01,1.740E-01,
,?,1.840E-01,5.040E-02,-3.050E-03,-1.110E-02,-1.210E-02,-1.160E-02,-1.070E-02,-9.530E-03,-8.070E-03,-6.310E-03,
4p3/2,?,1.021E+02,7.052E+01,3.807E+01,2.323E+01,1.538E+01,1.078E+01,7.882E+00,5.956E+00,4.621E+00,3.662E+00,
Eb=,?,7.510E-01,1.159E+00,1.460E+00,1.595E+00,1.670E+00,1.715E+00,1.743E+00,1.758E+00,1.766E+00,1.768E+00,
1044.9 eV,?,3.280E-01,3.970E-01,1.800E-01,1.710E-02,-5.120E-02,-5.130E-02,-7.090E-03,6.570E-02,1.570E-01,2.600E-01,
,?,8.550E-02,2.740E-02,6.250E-04,7.230E-04,5.710E-03,1.110E-02,1.590E-02,1.990E-02,2.340E-02,2.630E-02,
4d3/2,?,1.507E+02,1.005E+02,4.763E+01,2.547E+01,1.496E+01,9.426E+00,6.266E+00,4.345E+00,3.117E+00,2.299E+00,
Eb=,?,6.210E-01,9.680E-01,1.252E+00,1.354E+00,1.389E+00,1.392E+00,1.379E+00,1.356E+00,1.327E+00,1.296E+00,
780.2 eV,?,1.710E-01,2.790E-02,-6.160E-02,4.300E-02,2.170E-01,4.100E-01,6.030E-01,7.880E-01,9.600E-01,1.120E+00,
,?,4.520E-02,8.790E-03,1.930E-02,3.920E-02,5.590E-02,7.010E-02,8.290E-02,9.500E-02,1.060E-01,1.170E-01,
