Shell,F,k / eV,,,,,,,,,,,,,
,,1500,2000,3000,4000,5000,6000,7000,8000,9000,10000,,,,
1s1/2,?,5.476E+01,2.509E+01,8.044E+00,3.505E+00,1.818E+00,1.056E+00,6.637E-01,4.423E-01,3.084E-01,2.230E-01,,,,
Eb=,?,1.993E+00,1.988E+00,1.977E+00,1.967E+00,1.957E+00,1.947E+00,1.937E+00,1.927E+00,1.917E+00,1.906E+00,,,,
685.4 eV,?,5.350E-01,7.290E-01,1.030E+00,1.250E+00,1.450E+00,1.620E+00,1.770E+00,1.910E+00,2.030E+00,2.150E+00,,,,
,?,-1.840E-06,-1.490E-06,-8.510E-07,-8.730E-08,7.660E-07,1.720E-06,2.830E-06,4.140E-06,5.570E-06,7.200E-06,,,,
2s1/2,?,2.572E+00,1.207E+00,3.985E-01,1.769E-01,9.286E-02,5.438E-02,3.438E-02,2.302E-02,1.611E-02,1.168E-02,,,,
Eb=,?,1.990E+00,1.985E+00,1.975E+00,1.965E+00,1.955E+00,1.945E+00,1.934E+00,1.924E+00,1.914E+00,1.904E+00,,,,
34.0 eV,?,6.630E-01,8.270E-01,1.090E+00,1.300E+00,1.490E+00,1.650E+00,1.800E+00,1.940E+00,2.070E+00,2.180E+00,,,,
,?,6.000E-09,3.690E-08,1.900E-07,4.600E-07,8.270E-07,1.370E-06,2.060E-06,2.890E-06,3.920E-06,5.160E-06,,,,
2p1/2,?,1.965E-01,7.019E-02,1.583E-02,5.358E-03,2.280E-03,1.124E-03,6.146E-04,3.628E-04,2.273E-04,1.492E-04,,,,
Eb=,?,5.230E-01,4.100E-01,2.770E-01,2.020E-01,1.530E-01,1.160E-01,8.700E-02,6.300E-02,4.200E-02,2.300E-02,,,,
8.4 eV,?,4.710E-01,5.030E-01,5.560E-01,6.040E-01,6.480E-01,6.890E-01,7.260E-01,7.600E-01,7.910E-01,8.200E-01,,,,
,?,9.630E-02,1.220E-01,1.660E-01,2.020E-01,2.330E-01,2.600E-01,2.840E-01,3.070E-01,3.280E-01,3.470E-01,,,,
2p3/2,?,3.908E-01,1.394E-01,3.135E-02,1.059E-02,4.498E-03,2.214E-03,1.208E-03,7.121E-04,4.453E-04,2.919E-04,,,,
Eb=,?,5.270E-01,4.150E-01,2.850E-01,2.130E-01,1.660E-01,1.330E-01,1.070E-01,8.600E-02,6.700E-02,5.100E-02,,,,
8.7 eV,?,4.700E-01,5.030E-01,5.540E-01,6.010E-01,6.440E-01,6.840E-01,7.200E-01,7.530E-01,7.830E-01,8.090E-01,,,,
,?,9.630E-02,1.220E-01,1.660E-01,2.010E-01,2.320E-01,2.590E-01,2.840E-01,3.060E-01,3.270E-01,3.460E-01,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
