Shell,ca_beta,da_beta,dm_beta,gm_beta,db_beta,gb_beta,dq_beta,n_beta,cs_beta,ds_beta,cr_beta,dr_beta
2p1,1.48E+00,-6.67E-03,3.98E+01,-8.14E-01,2.24E-01,4.57E-01,1.11E-02,1.10E+00,5.01E-01,2.31E-01,5.76E+01,1.75E+01
2p3,1.55E+00,0.00E+00,3.49E+01,-7.85E-01,2.37E-01,4.57E-01,1.07E-02,1.31E+00,5.25E-01,3.31E-03,6.09E+01,2.51E+01
3p1,1.64E+00,-4.40E-03,9.59E+00,-5.60E-01,3.56E-01,3.89E-01,0.00E+00,1.40E+00,6.96E-01,1.35E-01,2.23E+01,7.56E+01
3p3,2.21E+00,0.00E+00,5.04E+00,-2.87E-01,4.91E-01,2.88E-01,0.00E+00,2.90E+00,3.72E-01,9.16E-02,7.58E+01,1.37E+02
4p1,1.74E+00,-1.07E-03,3.57E+00,-3.56E-01,4.76E-01,3.48E-01,0.00E+00,2.01E+00,9.81E-01,0.00E+00,0.00E+00,2.23E+02
4p3,1.75E+00,0.00E+00,5.75E+00,-3.87E-01,4.56E-01,3.16E-01,3.03E-04,8.94E-01,1.41E+00,0.00E+00,0.00E+00,2.27E+02
5p1,1.72E+00,-2.35E-03,3.52E+00,-3.54E-01,5.20E-01,3.12E-01,3.06E-04,7.87E-01,8.11E+00,0.00E+00,0.00E+00,7.37E+02
5p3,1.77E+00,0.00E+00,3.25E+00,-1.86E-01,4.57E-01,3.28E-01,3.05E-04,7.83E-01,8.20E+00,0.00E+00,0.00E+00,7.12E+02
3d3,1.32E+00,0.00E+00,6.86E+00,-2.70E-01,4.67E-01,3.40E-01,5.21E-02,9.45E-01,1.02E+00,5.28E-01,2.06E+02,2.13E+02
3d5,1.24E+00,0.00E+00,8.76E+00,-5.74E-01,4.22E-01,4.17E-01,4.06E-02,7.36E-01,1.03E+00,4.45E-01,2.12E+02,1.34E+02
4d3,1.53E+00,0.00E+00,5.81E+00,-3.17E-01,5.28E-01,3.38E-01,5.01E-02,2.34E+00,2.90E-01,6.14E-01,3.44E+02,0.00E+00
4d5,1.41E+00,0.00E+00,4.88E+00,-6.01E-01,5.36E-01,4.09E-01,1.92E-02,2.93E+00,3.96E-01,3.12E-01,1.39E+02,0.00E+00
5d3,1.44E+00,-2.50E-05,4.55E+00,-1.82E-01,6.06E-01,2.73E-01,3.96E-02,3.25E+00,5.67E-01,1.36E-02,1.76E+02,1.35E-03
5d5,1.46E+00,-2.49E-05,2.51E+00,-4.04E-01,6.60E-01,3.50E-01,1.60E-10,2.92E+00,4.81E-01,0.00E+00,1.30E+02,4.44E-09
4f5,1.06E+00,0.00E+00,4.41E+00,-6.23E-01,6.20E-01,3.95E-01,6.37E-02,5.52E+00,3.54E-01,1.46E+00,2.44E+02,0.00E+00
4f7,1.05E+00,-4.43E-06,4.10E+00,-6.43E-01,6.31E-01,3.99E-01,7.21E-02,5.60E+00,3.26E-01,1.34E+00,2.06E+02,0.00E+00
