Shell,da_gamma,ga_gamma,dm_gamma,gm_gamma,du_gamma,gu_gamma,cw_gamma,dw_gamma,n_gamma,cr_gamma,dr_gamma,p_gamma,cs_gamma,ds_gamma
2p1,1.42E-03,-1.28E+00,6.23E-02,3.60E-01,3.41E+01,-2.34E-01,4.29E-01,-2.82E-05,-8.11E-01,8.98E+02,3.15E-01,-2.06E-01,-3.60E+03,2.40E+00
2p3,1.42E-03,-1.28E+00,5.35E-02,3.82E-01,3.12E+01,-2.27E-01,4.41E-01,-3.20E-05,-8.89E-01,6.79E+02,3.90E-01,-2.08E-01,-3.55E+03,2.37E+00
3p1,2.79E-03,5.93E-01,1.24E-02,4.53E-01,1.76E+02,-3.91E-01,-2.29E-01,1.11E-06,2.40E+00,6.75E+01,1.45E-01,-2.90E+00,1.18E+02,3.73E-02
3p3,5.94E-03,5.09E-01,7.02E-03,5.21E-01,2.07E+02,-4.13E-01,-1.33E-01,-1.46E-05,9.20E-01,8.18E+01,1.70E-01,-1.63E+00,7.67E+01,3.73E-02
4p1,1.71E-03,6.35E-01,3.64E-03,5.83E-01,1.62E+02,-3.96E-01,-6.99E-02,9.50E-06,5.45E+00,-1.12E+02,2.71E-01,-7.62E+00,-3.01E+01,1.74E-01
4p3,1.81E-03,6.34E-01,3.19E-03,6.10E-01,1.22E+02,-3.82E-01,4.91E-01,-1.60E-05,4.38E+00,1.52E+01,2.71E-01,-5.61E+00,7.64E+01,1.91E-01
5p1,1.94E-01,1.66E-01,3.52E-01,9.49E-02,2.26E+01,-1.92E-01,1.36E+00,-8.81E-05,9.22E-01,1.51E+03,-1.51E-01,-2.96E+01,1.30E+02,1.09E-01
5p3,2.76E-01,1.61E-01,1.42E-01,1.91E-01,2.81E+01,-2.24E-01,1.47E+00,-9.26E-05,6.96E-01,1.33E+03,-1.33E-01,-3.85E+01,2.82E+01,2.08E-01
3d3,4.45E-01,-5.08E-01,1.35E-02,5.14E-01,9.48E+01,-3.70E-01,6.04E+00,-7.39E-06,8.41E-01,2.48E+02,4.21E-02,-2.50E-01,3.45E+02,-3.00E-02
3d5,3.63E-01,-8.37E-01,1.63E-02,4.91E-01,9.61E+01,-3.83E-01,6.22E+00,-6.97E-06,5.72E-01,2.49E+02,7.04E-03,-8.86E-03,1.01E+02,-1.01E-02
4d3,8.61E+05,-2.10E+00,2.40E-03,6.67E-01,1.18E+02,-3.90E-01,5.81E+00,-2.18E-06,2.97E+00,-5.22E+02,6.04E-01,-7.01E+00,-1.34E+02,2.42E-01
4d5,8.61E+05,-2.13E+00,2.56E-03,6.59E-01,1.12E+02,-3.97E-01,6.11E+00,-1.26E-05,2.80E+00,-4.92E+02,5.85E-01,-6.82E+00,-1.43E+02,2.31E-01
5d3,7.98E-04,8.64E-01,1.23E-03,8.14E-01,6.32E+01,-4.01E-01,1.91E+00,2.52E-02,2.20E-01,1.23E+03,-1.19E-01,-1.07E-01,-3.36E+01,4.08E-01
5d5,8.98E-04,7.79E-01,1.38E-03,7.36E-01,8.99E+01,-4.33E-01,1.42E+00,2.51E-02,2.32E-01,1.22E+03,-1.22E-01,-1.05E-01,-3.36E+01,3.98E-01
4f5,8.38E+05,-2.18E+00,3.19E-03,6.31E-01,8.40E+01,-3.91E-01,5.89E+00,-1.17E-05,2.55E+00,-4.94E+02,7.87E-01,-7.43E+00,-1.22E+02,3.14E-01
4f7,8.62E+05,-2.10E+00,3.91E-03,6.09E-01,8.54E+01,-3.95E-01,5.88E+00,-9.40E-06,3.10E+00,-4.66E+02,7.21E-01,-5.67E+00,-1.22E+02,3.60E-01
