PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,2.02179715753048,2.00086625147118,1.99829380320022,1.99241142043843,1.98111585281559,1.42174521624198,1.41172869885886,1.36976786546497,1.37328123381636,1.42118893760665,1.34308386409067,1.33451130288057,1.53842800447897,0.817042181123072,0.793094837158554,0.749542061371618,0.792734180811738,0.493234884736945,0.702904003404585,0.326432462748271,0.342600023288437
1050,2.02140288757851,2.00097132864735,1.99825466958456,1.99189781644791,1.98115679598656,1.40989548766378,1.40233727991965,1.35504849744484,1.35982345328995,1.4095725310604,1.32916069812897,1.32254047445974,1.52767859693984,0.799367165585231,0.77475560398711,0.734959658793715,0.776093946128102,0.488653687777413,0.699548461771235,0.311868714505899,0.329663735201577
1100,2.02100326379535,2.0010326166704,1.99819960822402,1.9914389071954,1.98121652970833,1.39742748499786,1.39200754363616,1.34072396503506,1.34666057505271,1.39824791488514,1.31566909729494,1.31093448553765,1.51710681207136,0.782130828022074,0.757046354145093,0.720290458132472,0.760119477841484,0.48338820035507,0.695644236784394,0.298224441175574,0.31762027402404
1150,2.02059875049857,2.00105505261097,1.99812953321195,1.99102873970668,1.98129243576836,1.38451467731767,1.38096460459956,1.32677509109128,1.33378308091363,1.38719731014806,1.30257954848345,1.29966779244749,1.50670431066042,0.765334003074525,0.739944273165737,0.705654368438072,0.744769018801131,0.477554194935585,0.691270390341911,0.285426333344743,0.306396794155783
1200,2.02018975368746,2.00104282697975,1.99804526454279,1.99066211903159,1.98138222214743,1.37129209770851,1.36938542492736,1.31318353289288,1.32118078871512,1.37640458174024,1.28986556248273,1.28871756593594,1.49646334016998,0.748972786277649,0.723425344649439,0.691137729658376,0.730003739471036,0.471249325440404,0.686493985287489,0.273409465148554,0.295928851793952
1250,2.01977663045163,2.00099952278875,1.99794754163821,1.99033448351534,1.98148386995569,1.35786560796815,1.35741009173752,1.29993186973595,1.30884326658772,1.36585504234976,1.27750327147352,1.27806331240263,1.48637668791326,0.733040188391975,0.707465301404828,0.676802674713299,0.71578769719888,0.464556344902849,0.681372195325933,0.262116047066655,0.286159142723133
1300,2.01935969655181,2.00092822423785,1.99783703443232,1.99004180474513,1.98159559079417,1.3443186548159,1.34515015531337,1.28700363480158,1.29676010374696,1.35553528394543,1.2654710910828,1.26768655955854,1.47643763666785,0.717527251180527,0.692040214335047,0.662693686658441,0.702087708344998,0.457545666557676,0.675953987443537,0.251494403419546,0.277036470139469
1350,2.0189392325835,2.00083160256191,1.99771435253775,1.98978050654133,1.98171579217516,1.33071727855294,1.33269487438316,1.27438331173948,1.28492108510708,1.34543303254749,1.25374943509951,1.25757059374077,1.46663992332569,0.702423806649621,0.677126848816945,0.648842256531983,0.688873176910466,0.450277420325742,0.670281474908627,0.241498127835509,0.268514894166263
1400,2.01851548903045,2.00071198449715,1.99758005288703,1.98954739880603,1.98184304923893,1.31711387902016,1.32011594848303,1.26205630939446,1.27331630099381,1.33553702270835,1.24232047339006,1.24770023897783,1.45697770079268,0.687718996810554,0.66270287081957,0.635270234814888,0.676115905412527,0.442803117400111,0.664391013881819,0.232085380835452,0.26055302609922
1450,2.01808869043984,2.00057140737514,1.99743464615083,1.98933962307701,1.98197608143857,1.30355008214263,1.30747114168698,1.25000892352528,1.26193621290051,1.32583688869557,1.23116792544667,1.23806167005013,1.4474455031297,0.673401630534827,0.648746955619144,0.621992271208976,0.663789903016016,0.435167007536208,0.658314098636385,0.223218301784802,0.253113438842021
1500,2.01765903889656,2.00041166382289,1.99727860216629,1.98915460738851,1.9821137331801,1.2900589454883,1.29480708390784,1.23822829134834,1.25077168945192,1.31632306985551,1.22027688348523,1.22864225342303,1.43803821380222,0.659460428372184,0.635238833476009,0.609017609592213,0.651871199431797,0.427407193256554,0.652078097245889,0.214862513550338,0.246162171297066
1550,2.01722671693327,2.00023433830832,1.99711235455765,1.98899002859405,1.98225495763859,1.27666667150633,1.28216145523278,1.2267023427335,1.23981402223532,1.30698672804667,1.20963366017548,1.2194304111822,1.42875103684124,0.6458841896007,0.62215929482765,0.596351421210841,0.640337669149239,0.419556550200166,0.645706859902673,0.20698670281699,0.239668309244858
1600,2.01679188998303,2.00004083723171,1.99693630469275,1.98884378071954,1.98239880314415,1.26339394969505,1.26956470268095,1.21541975053987,1.22905492813132,1.29781967537449,1.19922565700764,1.21041550406803,1.41957947068937,0.632661904887671,0.609490169905603,0.583995803394837,0.629168868181116,0.411643491715964,0.639221224804188,0.19956226255136,0.233603628887816
1650,2.01635470845817,1.99983241386747,1.99675082508969,1.9887139482252,1.98254440166269,1.25025701611039,1.25704139926868,1.20436988167995,1.21848654272072,1.2888143107442,1.18904125003135,1.20158773045979,1.41051928449911,0.619782830691608,0.597214292675591,0.5719505334271,0.618345884066886,0.403692607441679,0.632639441102573,0.192562985822968,0.227942292041453
1700,2.01591530952189,1.99961018916594,1.99655626236521,1.98859878329069,1.98269095899575,1.23726849550139,1.24461132707783,1.19354274989606,1.20810140793559,1.27996356398555,1.17906969028669,1.19293803875207,1.40156649665559,0.607236536646998,0.585315455686013,0.56021364142798,0.607851199038831,0.395725199272639,0.625977524277191,0.185964802311987,0.222660584137014
1750,2.01547381860558,1.99937516920305,1.99635293979864,1.98849668641882,1.98283774640003,1.2244380748342,1.23229034566486,1.182928970827,1.19789245614963,1.27126084649899,1.16930101671558,1.18445805103338,1.39271735530872,0.595012933836198,0.573778360197856,0.548781848258535,0.597668565780436,0.387759733276079,0.619249556119327,0.179745550490893,0.217736687906968
1800,2.0150303507145,1.99912825989792,1.99614115957185,1.98840618979282,1.98298409338653,1.21177304499909,1.2200910922839,1.17251971967103,1.18785299222717,1.26270000753649,1.15972597971964,1.17613999634954,1.38396832071514,0.583102289549221,0.56258856448249,0.537650901922035,0.587782894957689,0.379812222365259,0.612467939067892,0.173884779775451,0.213150486970219
1850,2.01458501155635,1.99887027948967,1.99592120473423,1.98832594293157,1.98312938150514,1.19927873872533,1.20802354943309,1.16230669157142,1.1779766745772,1.25427529536536,1.15033597383698,1.16797665213248,1.37531604920774,0.571495232525881,0.551732432169428,0.526815837062212,0.578180153594281,0.371896551637992,0.605643612726742,0.168363577978587,0.208883394600642
1900,2.0141378985208,1.9986019691657,1.99569334093346,1.98825470027233,1.98327303895687,1.18695888623213,1.19609550706967,1.15228206473239,1.16825749592749,1.24598132267666,1.14112297825966,1.15996129261541,1.36675737862751,0.560182751544472,0.541197081845392,0.516271175792718,0.568847273335938,0.364024756004472,0.59878623889762,0.163164420229713,0.204918203813044
1950,2.01368910153309,1.99832400215653,1.99545781794564,1.98819131037872,1.98341453590485,1.17481590528308,1.18431294070742,1.14243846619866,1.15868976430009,1.23781303569415,1.13207950411787,1.1520876432503,1.35828931506884,0.549156189419095,0.530970338644103,0.506011083487027,0.559772067672433,0.356207257930836,0.591904360280998,0.158271036187794,0.201238955582274
2000,2.01323870380061,1.99803699155185,1.99521487103291,1.98813470652525,1.98355338037769,1.1628511386419,1.17268032196543,1.13276894018503,1.1492680845052,1.22976568651858,1.12319854762439,1.14434984030223,1.34990902080482,0.538407233894391,0.521040688253227,0.496029489794627,0.550943157236731,0.348453071696778,0.585005537058133,0.15366829291392,0.197830822560023
2050,2.0127867824682,1.99774149704507,1.99496472215195,1.98808389845318,1.98368911467767,1.15106504913374,1.16120087459323,1.12326691881634,1.13998734035436,1.22183480830874,1.11447354831189,1.13674239492531,1.34161380327323,0.52792790651393,0.511397233553932,0.486320182671647,0.542349902365169,0.340769979424629,0.578096464817067,0.149342091205304,0.194680006097897
