PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,2.06642006799351,1.96979080247784,1.99464966045693,1.9916735896194,1.98008910921694,0.00155423537617327+2.95843533454456i,0.790613843296913+1.33430619104098i,1.6126824590709,1.63164993995517,1.61473758262672,1.62720267699183,1.56246817369512,1.69979576042468,1.13805669562294,1.12834962418851,1.09992916132601,1.11490525271012,0.849936153891391,0.949888003314874,0.666652281950851,0.661731823454476
1050,2.06628346407883,1.97249410392745,1.99490317033749,1.991172553391,1.98013985714306,-0.230101344852806+1.77655320278141i,0.471297371399886+1.06675206158322i,1.60671033946465,1.62448606150418,1.60665460319772,1.61754467571546,1.55320469026955,1.69327828180361,1.12600717587811,1.11580998038206,1.08873539891921,1.10000120156587,0.848462259694692,0.948425783663982,0.649682314905153,0.645789746665256
1100,2.06613072266443,1.97494431742524,1.99513623213824,1.99072883092465,1.98021249169672,-0.168487512307434+0.811102053081629i,0.17369896202139+0.52281546373986i,1.60038714521859,1.61713161840169,1.59863971526819,1.608013633876,1.54412350377728,1.68674216722757,1.1138742240039,1.1031758627442,1.07705658619067,1.08545723854339,0.846013633435934,0.946275903261315,0.633452551874671,0.630594327520428
1150,2.06596321875898,1.97717234916977,1.99535021960014,1.99033651848647,1.98030440247889,0.391825739537683+0i,0.732876611801999+0i,1.59378369092605,1.60963949459466,1.59069850799203,1.59861351620543,1.53521858904803,1.6801966799478,1.10171181811539,1.09051370215427,1.0650511244403,1.07127158291735,0.842731051152547,0.943532899442808,0.617918094767552,0.61609826755433
1200,2.06578215658993,1.9792041377811,1.99554634803086,1.98999046701077,1.98041330607772,0.831660040347726+0i,0.967648528075093+0i,1.58695757767803,1.60205106440322,1.58283489037277,1.5893464000685,1.52648382084445,1.67364939920811,1.08956114194465,1.07787441005319,1.05283863013241,1.05743885684623,0.838734014151489,0.940277022576314,0.603037553622771,0.602258179482562
1250,2.06558859693496,1.98106162640392,1.99572569904996,1.98968615786354,1.98053719281627,1.02536769782732+0i,1.09819825820154+0i,1.57995594269387,1.59439892645238,1.57505148356766,1.58021296110209,1.51791309783922,1.66710654782432,1.07745385031671,1.06529714423319,1.04051019606972,1.04395131728985,0.834124483605273,0.936576761946899,0.58877278185414,0.589034242587901
1300,2.06538347917649,1.98276351351405,1.99588924057851,1.98941960316679,1.98067428395462,1.14045580172217+0i,1.18574314920091+0i,1.57281756579376,1.58670891506548,1.56734991770769,1.57121283471728,1.50950042520516,1.66057324811891,1.06541440311089,1.05281206334994,1.02813566296986,1.03079971438061,0.828989856538165,0.932490855412431,0.575088609794809,0.57638987460716
1350,2.06516763925931,1.98432583931088,1.9960378431411,1.98918726508328,1.98082299697519,1.21678908111818+0i,1.24941350489295+0i,1.56557449986115,1.5790015995739,1.55973105837158,1.56234488719425,1.50123996844442,1.65405372372201,1.05346176091037,1.04044237029785,1.01576885055364,1.01797389239115,0.823405358442475,0.928069902428312,0.561952588168801,0.564291427222699
1400,2.06494182443409,1.9857624484119,1.99617229327688,1.98898598989574,1.98098191718478,1.2708426015541+0i,1.29787740233968+0i,1.55825334480804,1.57129341527032,1.55219518068091,1.55360742025616,1.49312608715193,1.64755146002864,1.0416106353299,1.02820584725936,1.00345137312406,1.00546321129074,0.817435982539378,0.923357669188648,0.549334747452064,0.552707907835528
1450,2.06470670545467,1.98708535840126,1.99629330466121,1.98881295374407,1.98114977430157,1.31084054702239+0i,1.33582877158222+0i,1.55087625163629,1.56359752578129,1.54474210401663,1.54499832624299,1.48515335475882,1.64106933276725,1.02987242349376,1.01611602197836,0.991215458241177,0.993256842041931,0.811138073312969,0.918392152509194,0.537207375734153,0.541610727797068
1500,2.06446288674078,1.98830505595673,1.99640152739729,1.98866561763297,1.98132542301165,1.34136334060701+0i,1.36610235949087+0i,1.54346172010307,1.55592448716754,1.53737129686907,1.53651520629381,1.47731656849329,1.63460971174843,1.01825591506977,1.00418306288209,0.979086053382451,0.981343972336708,0.804560628441592,0.913206453008481,0.525544815734677,0.530973475923775
