PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,2.07545115473536,1.95531342679088,1.99321847484874,1.99137262437252,1.9797258590471,7.24478434254215+6.38357016007411i,1.90973630145303+1.42145095348575i,1.6258058676902,1.64999185290834,1.63682604464304,1.65846193234202,1.59061565327068,1.71759840041636,1.17262323692546,1.16093399948484,1.14483975713869,1.15588771683275,0.898808926837975,0.984024003305743,0.714394295672258,0.707063419267965
1050,2.07537192354846,1.95891719626802,1.99352452696832,1.99087108985324,1.97977476568758,4.37057152980806+5.47025478513493i,1.674428428764+1.49193791907417i,1.62205196380238,1.64480882973314,1.62951242231382,1.64981709784349,1.58197277181641,1.71186898797926,1.16220639136415,1.15032878790314,1.13462007333369,1.14171630162594,0.898095414187223,0.983014511441103,0.697546562233387,0.69113429217446
1100,2.07527419388979,1.96219040758132,1.99380881447602,1.99042715228453,1.97984598657649,2.52150814091605+4.52125165641851i,1.41157629814117+1.50960222297833i,1.61776586224372,1.63925141933184,1.62221807635534,1.64122916512273,1.57347122325123,1.70608372164489,1.1515593999885,1.13942795590406,1.12383439076907,1.12782503704395,0.896353504822171,0.981285319186708,0.681380200608286,0.675898903706322
1150,2.07515953865602,1.96517398162952,1.99407284643295,1.99003492316364,1.97993691207218,1.3244692525052+3.59409046983165i,1.12635860066453+1.46312318612343i,1.61304014275875,1.63339962448045,1.61495370994859,1.63270970952962,1.56510933033782,1.70025523538523,1.1407562374682,1.12832543635381,1.11264900069265,1.11422210956694,0.893728668703854,0.978934483435512,0.665858210419293,0.661317312556551
1200,2.07502933564111,1.96790219454721,1.99431795451875,1.98968926663464,1.98004525946979,0.569741996485065+2.7094899581916i,0.82531032948541+1.3349178220038i,1.60795073677582,1.62731669176261,1.60772761663428,1.62426730992035,1.55688469151942,1.69439404166056,1.12985410798641,1.11709456107755,1.10119032792539,1.10091052050458,0.89034449945485,0.976045257691436,0.650945805558154,0.64735226694444
1250,2.07488479873041,1.97040398867892,1.99454532108402,1.98938567564869,1.98016901977611,0.13816539613244+1.87058953596322i,0.518160202073826+1.09108123636651i,1.60256034205843,1.62105306865219,1.60054620207791,1.61590823398995,1.54879441608009,1.68850893145933,1.11889769995775,1.10579299393613,1.08955537945469,1.08788962295148,0.886306548272221,0.972688711381346,0.636610402957436,0.6339691015397
1300,2.07472700307666,1.97270398307733,1.99475600176395,1.98912017259144,1.98030641492851,-0.0294876708387011+1.0672566341909i,0.22640347095224+0.626093840403455i,1.59692104282309,1.61464931016359,1.59341438321821,1.60763695717597,1.5408352945683,1.68260728830587,1.1079222242021,1.09446633766148,1.07781916482257,1.0751562172783,0.881705379527231,0.968925813078646,0.622821552357336,0.621135595925484
1350,2.07455690560259,1.97482326121137,1.99495094388274,1.98888922880197,1.98045586308993,0.0967749144264658+0.232237489652282i,0.67518291149383+0i,1.59107634183196,1.60813824366013,1.58633589642936,1.5994565590638,1.53300392270351,1.67669533704114,1.09695561997301,1.0831508105885,1.06604004653116,1.06270533835856,0.876619027802772,0.964809102041153,0.609550833257136,0.608821815744908
1400,2.07437536183659,1.9767799913785,1.995131001564,1.98868969883476,1.98061595025595,0.746375466872696+0i,0.935976347184739+0i,1.58506275188255,1.60154660154627,1.57931353742433,1.59136902864137,1.52529679156113,1.67077834261346,1.08602018143281,1.07187525993806,1.05426365215321,1.05053082484387,0.871114989733789,0.960384040321416,0.596771735493537,0.596999949295326
1450,2.07418313984321,1.97858992002166,1.99529694823743,1.98851876634103,1.9807854068435,0.971122569290648+0i,1.07348022478731+0i,1.57891105341523,1.59489626682874,1.57234934943367,1.58337550105207,1.51771035312526,1.66486077017465,1.07513377371216,1.06066269449715,1.04252577175359,1.03862573265553,0.865251850798883,0.955690114673437,0.584459533698656,0.585644147090997
1500,2.07398093183141,1.98026676744938,1.99544948706786,1.98837389919098,1.9809630882472,1.09847355610033+0i,1.16425939420796+0i,1.57264729648289,1.58820523335084,1.56544477182674,1.57547644239733,1.5102410677321,1.65894641494912,1.06431075381907,1.04953146422306,1.03085452928229,1.02698263607034,0.859080623102773,0.950761740758391,0.572591161932235,0.574730368630114
1550,2.0737693638915,1.98182254786256,1.99558925971221,1.98825281200739,1.98114795858211,1.18168726224227+0i,1.2299224397902+0i,1.56629360512159,1.58148835321324,1.55860075822332,1.56767179481213,1.50288543812882,1.6530385082901,1.0535626762462,1.03849617711536,1.01927202761939,1.01559384703481,0.852645852474413,0.945629009867248,0.561145092241698,0.564236238552382
1600,2.07354900421213,1.98326783013269,1.99571685371982,1.98815343468995,1.9813390770056,1.24032711465433+0i,1.27988667283411+0i,1.55986882763702,1.57475792371516,1.55181787088978,1.55996109092818,1.49564003359909,1.64713980482766,1.0428988394423,1.02756841828167,1.00779560735622,1.00445157457936,0.845986540039638,0.940318309252669,0.550101219272721,0.554140913107182
1650,2.0733203700544,1.98461195180382,1.99583280882386,1.98807388581729,1.98153558614196,1.28371722644923+0i,1.31913570666418+0i,1.55338906575697,1.56802415204844,1.54509635656764,1.55234354458276,1.48850150669427,1.64125265449359,1.03232671321975,1.01675731847674,0.996438818887055,0.993548040098959,0.839136913538674,0.934852840313933,0.539440752010649,0.544424957085165
1700,2.07308393370239,1.98586319586888,1.99593762232002,1.98801245004765,1.98173670223289,1.31693611289465+0i,1.35063045695469+0i,1.54686810783064,1.56129552599062,1.53843620766802,1.54481812297562,1.4814666044515,1.63537906236718,1.0218522760701,1.00607000696438,0.985212179466731,0.982875559966059,0.832127076158999,0.929253053689612,0.529146113073591,0.535070230916528
1750,2.07284012756595,1.98702893769853,1.99603175368895,1.98796755881831,1.98194170671384,1.34299886710132+0i,1.37627335833296+0i,1.54031778548307,1.55457911168475,1.53183721186066,1.53738360425187,1.47453217549988,1.62952073865094,1.01148028359328,0.995511974678708,0.974123767394263,0.972426603878057,0.824983554913879,0.92353701634603,0.519200845568472,0.526059787391068
1800,2.07258934857685,1.98811576787019,1.99611562858838,1.98793777378283,1.98214993897502,1.36381127985807+0i,1.39735849715412+0i,1.53374826880382,1.54788079440292,1.52529899240677,1.53003862357332,1.46769517410431,1.62367914059917,1.00121448374242,0.985087367249257,0.963179691702739,0.962193835139724,0.817729766166389,0.917720722691934,0.509589527274665,0.517377777333294
1850,2.07233196199294,1.98912959540961,1.99618964231678,1.98792177253321,1.98236079011235,1.38063837406569+0i,1.41480540475434+0i,1.52716831187266,1.54120547438648,1.51882104107031,1.52278171005235,1.46095266193621,1.61785550784947,0.991057790635927,0.974799222765983,0.952384465882008,0.952170137483617,0.810386412451704,0.911818359374623,0.500297691779301,0.509009363522167
1900,2.07206830470375,1.9900757350138,1.99625416283152,1.98791833623918,1.98257369751018,1.39435412763459+0i,1.42929044164093+0i,1.52058545792596,1.53455722704082,1.51240274504929,1.51561131639989,1.45430180816672,1.61205089231706,0.981012425820914,0.964649665696837,0.941741307038069,0.942348631863867,0.802971822048843,0.90584253155408,0.491311756116274,0.500940642148103
1950,2.07179868811404,1.99095898109718,1.99630953338974,1.98792633890397,1.98278814012586,1.4055830764366+0i,1.44132527338294+0i,1.51400621154516,1.52793943465888,1.50604340906679,1.5085258427401,1.44773988833338,1.60626618358598,0.971080033767675,0.954640065785296,0.931252376691723,0.932722685798843,0.795502240620775,0.899804456987257,0.482618954432567,0.493158571129876
2000,2.07152340066862,1.99178367093891,1.99635607486795,1.98794473798953,1.98300363436999,1.41478465555765+0i,1.4513060892134+0i,1.50743618376041,1.52135489526281,1.49974227352776,1.50152365573721,1.44126428232202,1.60050213055339,0.961261776814407,0.944771168808357,0.920918975583902,0.92328591720076,0.78799208254789,0.893714133093269,0.474207277204428,0.485650904658086
2050,2.0712427100708,1.99255373876851,1.99639408780688,1.98797256620709,1.98321973049379,1.42230550990857+0i,1.45954573402652+0i,1.50088021480158,1.5148059129487,1.49349852946537,1.49460310394262,1.4348724717233,1.59475935994234,0.951558413613385,0.935043204596281,0.910741702001755,0.914032194154969,0.780454148225893,0.887580481243702,0.466065415541282,0.478406133382245
2100,2.07095686523811,1.99327276227988,1.9964238542205,1.98800892430361,1.98343600941062,1.42841307003348+0i,1.46629540272589+0i,1.49434247831731,1.50829437319735,1.48731133085845,1.48776253008535,1.42856203676106,1.58903839218658,0.941970364247479,0.925455976582471,0.900720580998273,0.904955631755279,0.772899812510632,0.881411471778613,0.458182710140008,0.471413429710143
2150,2.07066609803191,1.99394400278936,1.9964456392015,1.98805297470263,1.98365207989023,1.43331775180017+0i,1.47175971316661+0i,1.48782657016345,1.50182180590271,1.48117980478877,1.48100028088424,1.42233065294151,1.58333965510136,0.932497764513735,0.916008936277655,0.890855170258504,0.896050586833191,0.765339188612388,0.875214232648838,0.450549104481755,0.464662597738425
2200,2.07037062479162,1.99457044003436,1.99645969235076,1.98810393588095,1.98386757607442,1.43718802289008+0i,1.47610744100983+0i,1.48133558429044,1.49538943831739,1.47510305981816,1.47431471484637,1.41617608753642,1.57766349568185,0.923140511354611,0.906701245383069,0.881144647130602,0.887311651215756,0.757781271027105,0.868995144098593,0.443155101894833,0.458144027380513
2250,2.07007064769952,1.99515480243391,1.99646624905373,1.98816107738147,1.98408215527088,1.44016086938648+0i,1.47947933204449+0i,1.47487217780241,1.48899823968297,1.4690801928946,1.46770420842605,1.41009619598509,1.5720101903128,0.91389830101806,0.897531827725839,0.871587880391998,0.878733643992529,0.75023406050811,0.86275992140568,0.435991726138592,0.451848652301444
2300,2.06976635599819,1.99569959349096,1.99646553162347,1.98822371537766,1.98429549598859,1.44234922150098+0i,1.48199389698489+0i,1.46843862689443,1.48264895897328,1.46311029503948,1.46116716084728,1.40408891827891,1.56637995362526,0.904770661216407,0.888499412781248,0.862183489588126,0.870311603154555,0.742704673602805,0.856513687371867,0.429050485193459,0.445767911308732
2350,2.06945792707923,1.99620711490202,1.9964577503269,1.9882912087182,1.98450729618349,1.44384732381666+0i,1.48375178315193+0i,1.46203687507835,1.47634215691027,1.45719245602299,1.4547019978354,1.39815227537542,1.56077294619783,0.895756978309829,0.879602572215206,0.852929894210987,0.862040776878534,0.735199438884042,0.8502610359888,0.422323337970862,0.439893712883828
