PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,2.1506234560852,1.65875701065545,1.97200908805011,1.98562671337579,1.97384054744229,6368.1858627753-2312.05396299842i,-2.17323431770953-1.16601800122884i,1.45417394888989,1.48073142131884,1.70517082623138,1.74835897547625,1.70884658419928,1.76945080472529,1.17388942895582,1.15622069051393,1.34003355537924,1.33720423819933,1.14884424708053,1.1667520032682,0.965420767111405,0.949345052533726
1050,2.15106249107952,1.67935262105558,1.9728150943335,1.9851436784487,1.97386676364373,2914.54861646893-127.939503307578i,-1.85887467879394-1.34486293453037i,1.48119226385686,1.51211608158217,1.70496966875162,1.74923101011116,1.70590087608043,1.76989795139898,1.19189286636209,1.17341514240617,1.33953740387492,1.33158950748805,1.15497350622437,1.17000899888628,0.953156755085721,0.937150566404269
1100,2.15146203822669,1.69800248480813,1.97358031522233,1.984715468849,1.97391667120829,1366.88094512572+357.586088834611i,-1.54683766956739-1.50114726427193i,1.50348707867506,1.53788723276523,1.70432343618477,1.74951404134851,1.70272541879548,1.76999262806548,1.20587742091877,1.18675812807069,1.3377710115325,1.32545902057762,1.15965518123301,1.17225100274259,0.940937237882553,0.925059062544654
1150,2.15182541734642,1.71497031921488,1.9743082221513,1.98433689851933,1.97398782818901,643.05469567443+392.396120809294i,-1.23773420385446-1.63467412063626i,1.52215038928846,1.55924221694558,1.7032929722104,1.7492893721689,1.69935772970817,1.7697745601606,1.21664100417188,1.19700264408596,1.33497221199577,1.31891797616985,1.16307201708894,1.17360823116796,0.928805751384066,0.913106813330437
1200,2.15215553939466,1.73047401864216,1.97500183335797,1.98400341450605,1.97407809113403,293.344835976359+321.054261277735i,-0.932384601461642-1.74545368096178i,1.53793600722509,1.57706122067948,1.70192932886154,1.74862517662347,1.69582899070524,1.76927781658266,1.22480145004135,1.20472911991067,1.33132865548345,1.31205109424096,1.16538005293019,1.17419140134176,0.91679514212768,0.901320448333943
1250,2.1524549714997,1.74469519825555,1.97566379027101,1.98371099800733,1.97418556770015,121.03341824633+239.403200993408i,-0.631747801061018-1.83368442218315i,1.55138513452689,1.59200615961092,1.70027564207921,1.74757900726978,1.69216528078714,1.76853179743661,1.23084002809184,1.21038951635943,1.32699015270157,1.30492707551835,1.16671325784382,1.17409519737754,0.904930048174087,0.88971924980426
1300,2.15272598950095,1.75778644938065,1.9762964184372,1.98345608390617,1.97430857833903,35.8783773008349+171.218935951108i,-0.336866728065635-1.89973462291366i,1.56289958185419,1.60458458943221,1.69836859114774,1.74619975034825,1.68838853475212,1.76756201871353,1.23513442719303,1.21433951124242,1.32207757297962,1.29760196994765,1.16718722866048,1.17340102075295,0.893228763454835,0.878316870194204
1350,2.15297062077412,1.76987692142859,1.97690177659288,1.98323549482433,1.97444562504714,-5.29050417057542+119.436486222464i,-0.0488260487539324-1.9441244324597i,1.57278630202224,1.61519232732295,1.69623954635433,1.74452916574654,1.68451729624571,1.76639074156909,1.23798349362179,1.21686199992204,1.31668936099368,1.29012175057857,1.166902166162,1.17217919284596,0.881704652376503,0.867122629510972
1400,2.15319067942774,1.7810766636419,1.97748169654243,1.98304638668289,1.97459536567089,-23.8753982794502+81.5808458590531i,0.23128047112752-1.96750872654169i,1.58128552850152,1.6241426495543,1.69391548021099,1.74260311118268,1.68056731467215,1.765037481377,1.23962572254174,1.2181843296332,1.31090637963494,1.28252430096747,1.16594529027908,1.17049073354107,0.870367232531917,0.856142503673272
1450,2.15338779545067,1.79148003641255,1.97803781583486,1.98288620345545,1.97475659262163,-30.8020069200379+54.3781434479928i,0.502375089386092-1.9706608969046i,1.58858917746264,1.63168676555263,1.69141969737566,1.74045252367655,1.67655202230897,1.76351942283596,1.24025309404209,1.21849102441181,1.304795557711,1.27484096441017,1.16439281487252,1.1683888086094,0.859223009888201,0.845379883230953
1500,2.15356343902056,1.80116841662859,1.97857160474458,1.98275263932235,1.97492821512147,-31.7758448201744+35.0009602443806i,0.763415279342195-1.95445766776304i,1.59485326295217,1.63802847229391,1.68877242412963,1.73810421264479,1.67248291861994,1.76185176098341,1.24002146423681,1.21793325804816,1.29841267170647,1.26709776217086,1.162311573672,1.16591991595845,0.848276127577931,0.834836159757622
1550,2.15371894090933,1.81021236173189,1.97908438870758,1.982643606826,1.97510924429885,-29.8231678357367+21.2791631821693i,1.01340821459225-1.91986499152595i,1.60020651204951,1.64333483574614,1.68599128803447,1.73558150546498,1.66836988203607,1.76004798327219,1.2390584113631,1.21663597008398,1.2918044915577,1.25931635911646,1.15976036762296,1.16312486429523,0.837528873069134,0.824511181759548
1600,2.15385550971668,1.8186733547126,1.97957736710207,1.98255720992586,1.97529878060144,-26.5608687028775+11.6214738662708i,1.2514215015624-1.86792504617644i,1.60475649698722,1.64774410404414,1.68309171096502,1.7329047765271,1.66422142457734,1.7581201043916,1.23746919843852,1.2147032618821,1.28501045339619,1.25151483478785,1.15679108804453,1.16003958549001,0.826982076848088,0.81440361096327
1650,2.15397424650731,1.82660522172917,1.98005162906601,1.98249172107904,1.97549600310632,-22.8498544825925+4.88249525126887i,1.47659091306895-1.79974433463526i,1.60859410105274,1.65137165620172,1.68008723326153,1.73009188354842,1.66004490108217,1.7560788629181,1.23534133663621,1.21222252767673,1.27806397630812,1.243708303313,1.15344965809804,1.15669581275769,0.816635427366539,0.804511201962636
