PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,2.16301421582087,1.56702501584823,1.96665378110558,1.98385257479528,1.97220432285112,1366.85988302705-18872.2353614254i,-2.93178876352928-0.21355179526192i,1.35081762889753,1.36685341225291,1.70170254417027,1.7427180465567,1.71447680744538,1.76646144821446,1.10987277657147,1.1028033647319,1.34530881957629,1.34604497293154,1.17100261384426,1.18482400326554,0.988768322968034,0.972564723190255
1050,2.16354401031337,1.59294375192574,1.96756422133412,1.98338702454452,1.97223034135838,2940.40423577912-6795.16576477114i,-2.69303587382394-0.4547792463239i,1.39555152370176,1.41543531662616,1.70283370666061,1.74530170843278,1.71253817433211,1.76788516004803,1.13873368960674,1.12947280787614,1.34707695330833,1.34228144716438,1.17830403291213,1.18884726752094,0.977667311396966,0.961399318169925
1100,2.16403068571617,1.61638066679347,1.96842891373139,1.9829740816852,1.97227966021689,2223.63236731159-2446.66668060294i,-2.44905489120473-0.680905574060159i,1.43086371001134,1.45485294259048,1.70342693043315,1.74718102269781,1.71030473023172,1.76890887121783,1.16190973984401,1.15076373091336,1.34737887565075,1.33783581641146,1.18409168617263,1.19180321068911,0.966487992008114,0.950221430422975
1150,2.16447786245997,1.63767622454856,1.96925184361742,1.9826089101525,1.97234993202473,1432.04825866824-808.082097361213i,-2.20004350242167-0.890609420732638i,1.45950108452559,1.48729952913136,1.70355383294886,1.74844976851687,1.70782084330813,1.76957667688332,1.18049471529769,1.16773822793177,1.3464802824835,1.33283434289096,1.18855428382188,1.19382771795472,0.955289008701042,0.939081744362197
1200,2.16488871545108,1.65711119169236,1.97003647059876,1.98228724524026,1.97243909207142,874.95235330838-182.69713627901i,-1.94652670784151-1.08283088229821i,1.48320334858618,1.51431398370203,1.70327452947343,1.74918677224326,1.70512356726642,1.76992644316175,1.1953548162737,1.18121994594194,1.34459113958597,1.32737930560487,1.19185305137707,1.19503635012543,0.944115923644988,0.928019000308446
1250,2.1652660448976,1.67491916151572,1.97078581771133,1.98200530773165,1.97254531412074,521.106725558331+46.979979543389i,-1.68927165413425-1.25675278545073i,1.50312482147241,1.53701049447136,1.70263984744663,1.74945874586212,1.70224404775005,1.76999089032754,1.20717463253407,1.19185068032843,1.34187938443848,1.32155417526749,1.19412649531992,1.19552795822636,0.933004156558523,0.917062733633836
1300,2.16561233353158,1.69129605708143,1.97150254244893,1.98175973332642,1.97266697453391,303.496399270519+118.904503251214i,-1.42922022384292-1.41178212627331i,1.5200632984078,1.5562168965099,1.70169304540514,1.74932250223192,1.699208618416,1.76979845389642,1.21649617564507,1.20013401909201,1.33848080001036,1.31542752664764,1.19549420481196,1.19538755099226,0.921981205501125,0.906235336793125
1350,2.16592979325676,1.70640742897619,1.97218899391378,1.98154751427041,1.97280262291412,171.093464103378+128.654777214578i,-1.1674353780665-1.54753185221437i,1.53459022848646,1.57256181789534,1.70047116199798,1.74882670154937,1.69603966366753,1.76937397563804,1.22375034221621,1.20646835508297,1.33450624392258,1.30905603164342,1.19605991185883,1.19468859060444,0.91106834155505,0.895553627012471
1400,2.16622040349037,1.72039412176315,1.97284725921529,1.98136595078266,1.97295095789957,90.9193736698172+115.574444086831i,-0.905058294155568-1.66380314471722i,1.54712792529878,1.58653160161213,1.69900608532208,1.74801324109189,1.69275630392743,1.76873926294233,1.22928160328127,1.21117164614875,1.33004701955423,1.3024867737973,1.19591397492558,1.19349484618381,0.900281913739032,0.885030048847332
1450,2.16648594291846,1.7333767187106,1.97347920145262,1.98121261039915,1.97311080705791,42.6660076102517+95.9094083946785i,-0.643274075111928-1.76056833160603i,1.55799710961319,1.59850864263557,1.69732540835009,1.74691837060407,1.68937494453586,1.76791354525937,1.23336711259687,1.21449994858251,1.32517892106134,1.29575905565904,1.19513540991925,1.19186190185383,0.889634362055993,0.874673604143835
