PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,2.22368444800202,0.827176637775924,1.93034734878652,1.9690990734213,1.9598744413713,1930358.89687063-1981669.91881478i,-1.43000863047626+2.50671971978976i,-2.8049550727854+9.79190061485902i,0.616471305108578+2.09177953541734i,1.63332715629219,1.65898143658844,1.70494201685811,1.72083817689837,0.385463123549531,0.42428133526371,1.29220112142287,1.33037144457915,1.22751193362654,1.24129900325866,1.05317109495868,1.03973704984346
1050,2.22467451761634,0.898180731704394,1.93192727724661,1.96889774980108,1.95995895026826,637420.335777087-181257.859900798i,-1.45727638776755+2.57872829202404i,-2.65358537827549+5.99275587326281i,0.341661042653506+1.86751995230701i,1.64264476938435,1.67052044784703,1.70813553945313,1.72694763331176,0.472604952178853,0.528657695297718,1.30759948946555,1.33718247107634,1.24062205800953,1.24925548488576,1.04880252493549,1.03466034267829
1100,2.22560319029528,0.961922544412297,1.93342603830529,1.96871881251664,1.96005886782608,190626.806827585+43552.6401559529i,-1.5057759210593+2.61591422536069i,-2.1847531326724+3.57382468028104i,0.0482005894183382+1.57262837891286i,1.65073481013857,1.68073294412003,1.71070371846763,1.73242723126281,0.560383601857568,0.62569988478009,1.32019425655073,1.34233837460849,1.25190088438379,1.2558777778508,1.04370554687943,1.0289565905284
1150,2.22647559466314,1.01945127245778,1.93485130356077,1.96856194687888,1.96017305406556,52107.1943875753+44190.7964205924i,-1.56914356722019+2.62080320976116i,-1.60605773084879+2.00049585402574i,-0.293397497876844+1.11294533838036i,1.65776662894951,1.68978413283005,1.71272572082186,1.73734227788809,0.643675172237682,0.712534786268798,1.33046800366234,1.3460965725572,1.26156597071561,1.26133060187399,1.03801791843017,1.02275221267752
1200,2.22729623026563,1.07162480492103,1.93620969636439,1.96842658650415,1.96030045007946,10996.3435628332+25118.1777333637i,-1.64198778997814+2.59597016381683i,-1.00526981195408+0.963676560567268i,0.0102899986199199+0i,1.66387922970737,1.69781284097659,1.71426842054676,1.74174906544851,0.719967908760214,0.788485055743961,1.33880049116254,1.3486669400658,1.26980360903659,1.26575416110206,1.03185185337462,1.01614966175953
1250,2.22806906734297,1.1191511449273,1.93750697321493,1.96831200624624,1.96044007431782,-224.926195366973+12339.4085472844i,-1.71974996401232+2.54401139403365i,-0.399224514422089+0.269692601510613i,0.522308091028458+0i,1.66918795592851,1.70493669320686,1.71538869101902,1.74569641986333,0.788336216428158,0.854014216908181,1.34549451801306,1.35022221967939,1.27677422287278,1.26926851219648,1.0252993402281,1.00923247149813
1300,2.22879762747375,1.16261957105851,1.93874816778882,1.96821738587626,1.96059101781289,-2525.90279935366+5567.05483779188i,-1.79859114535288+2.46751899689205i,0.315508264501079+0i,0.76274088799995+0i,1.67378944713816,1.71125608580584,1.71613520065507,1.74922693411822,0.848764331731743,0.910105520775454,1.35079442916781,1.35090579820514,1.28261667440358,1.27197702588673,1.01843621447633,1.00206911285948
1350,2.22948504934295,1.20252437390962,1.93993770643149,1.96814185381803,1.96075243897846,-2381.16425989162+2259.63156138623i,-1.87529826703239+2.3690579195131i,0.66535457763086+0i,0.919435866266759+0i,1.67776537369703,1.71685727921321,1.7165498337744,1.75237796000373,0.901716720057122,0.957913999166918,1.35489956437683,1.35083760229543,1.28745173282376,1.27396915576746,1.01132530911872,0.994715970770313
1400,2.23013414282106,1.23928314461336,1.94107950160445,1.96808451714913,1.96092355835794,-1742.62923165981+725.399236869366i,-1.94720515110521+2.25114584937545i,0.874719984564559+0i,1.03332929018136+0i,1.68118529277715,1.72181483421424,1.71666882525091,1.75518241249091,0.947877192125472,0.998584568072729,1.35797417300009,1.35011862670067,1.29138489048911,1.27532267196741,1.00401891544245,0.987219664011076
1450,2.23074743377031,1.27325101466171,1.94217702812768,1.96804448206609,1.96110365353616,-1149.28403813354+56.6796202364546i,-2.01212505201549+2.11623594246864i,1.01587482638142+0i,1.12108428122293+0i,1.68410886137065,1.72619355211039,1.71652367430802,1.75766942738637,0.987997970928189,1.03316659865398,1.36015482342262,1.34883445347752,1.2945086669615,1.27610547733623,0.996560721926125,0.979618869132885
1500,2.23132720142924,1.30473185145232,1.94323338586568,1.9680208676856,1.9612920543312,-709.270177082151-202.11626731543i,-2.06829235550447+1.96670229550667i,1.11735596529336+0i,1.19125658935818+0i,1.68658757172354,1.73005003503458,1.71614188622731,1.75986490302638,1.02281745892174,1.06258188567511,1.361556011171,1.34705801626542,1.29690450734882,1.27637709494219,0.988987354303718,0.971945766037717
1550,2.23187550980879,1.33398713985623,1.94425135163709,1.96801281516663,1.96148813832224,-410.789221491956-273.570762928315i,-2.11431168896262+1.80482800333266i,1.19365552704118+0i,1.24884662711113+0i,1.6886661271284,1.73343395191438,1.71554757876161,1.76179194953359,1.05301936569452,1.08762047960906,1.36227445455993,1.3448517926881,1.29864435656085,1.27618989459283,0.98132960795955,0.964227192230229
1600,2.2323942342192,1.36124308714232,1.94523342248706,1.96801949353804,1.96169132673298,-217.990505131774-264.650222204031i,-2.14911314281966+1.63279560518992i,1.25302272998061+0i,1.29703294969272+0i,1.69038354346916,1.73638907389958,1.71476198128779,1.76347126380006,1.07921582526503,1.10894982336935,1.36239242188933,1.34226955862485,1.29979197269056,1.27559011051021,0.973613440921785,0.956485570770257
1650,2.23288508380991,1.38669635100827,1.94618185198388,1.96804010320485,1.96190108066815,-97.8876537321307-225.767793607004i,-2.17191261743031+1.45267970469305i,1.30049878155028+0i,1.33795959350766+0i,1.69177403922213,1.73895412748515,1.71380384826264,1.76492144434786,1.10194382118747,1.12712921966738,1.3619803354718,1.33935780333364,1.30040402890324,1.27461869065551,0.965860779069576,0.948739661004432
1700,2.23334962082311,1.41051869118431,1.94709868084118,1.96807387782207,1.96211689768852,-25.7722323339186-179.882443037149i,-2.18217653563776+1.26644154223601i,1.339325918992+0i,1.37313845221479+0i,1.6928677605544,1.74116350219596,1.71268980371319,1.76615925718488,1.12166853402378,1.14262547453453,1.36109882955115,1.33615687954733,1.30053104272877,1.27331200941976,0.958090172932744,0.941005169457148
1750,2.23378927712172,1.43286077262789,1.94798576289364,1.96812008502612,1.96233830870281,15.4579610060788-136.749310432917i,-2.17959032469009+1.07592530108917i,1.37167430784523+0i,1.40367320698528+0i,1.69369137662514,1.74304784130491,1.71143462984882,1.76719986145852,1.13878990117049,1.15582771052039,1.35980039144132,1.33270194465041,1.30021816362596,1.27170246871457,0.950317336382234,0.933295249596484
