PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,2.25317679464153,0.222432566158528,1.90526024431035,1.95652776945553,1.95033544708616,-27466009.6929102+7563042.06602382i,-0.697502120824377+0.817715483398805i,25.8048572006644+42.9599841846345i,1.61028138223397+2.4260157251586i,1.58455529708471,1.59141054359374,1.68241100720246,1.68366258875043,0.241554310459778-0.109064968526998i,0.165398831297643-0.0855139107322379i,1.24632423651111,1.30225079596525,1.22964701861581,1.25334700325756,1.05998463427911,1.04951114472355
1050,2.25439868310587,0.332434782027064,1.90729326817941,1.95665349426573,1.9505147319323,-5036236.98296727-1852233.79113006i,-0.524871373416753+1.12812499259451i,11.7799864759321+29.8015920679047i,1.38159519610826+2.34749812412693i,1.59803249056639,1.60757880105456,1.68819850340192,1.69200741413218,0.23995481090757-0.0421841519123762i,0.202125324497402-0.0205211556722576i,1.26765142902042,1.31418432413691,1.24560381743675,1.26330633343564,1.05937899269902,1.04788925868636
1100,2.25555003982419,0.430844789875971,1.90921920954381,1.95676513017822,1.95069931407483,-756482.051420769-1049310.77495771i,-0.409609988406282+1.40824203913285i,4.60065051850099+20.8633503399204i,1.15837848345349+2.25541166725762i,1.60990515861315,1.62208768718277,1.69319425945488,1.69961184526143,0.251802686704514-0.00150326474620977i,0.249770541219464+0i,1.28565167913115,1.32402009287273,1.25957778723065,1.27179638176954,1.05770497331541,1.04531755397297
1150,2.25663674465027,0.519374161120965,1.91104845292899,1.95686784250719,1.95088945136201,-23260.4469718192-379982.258339835i,-0.343166894350684+1.65737219726866i,0.946621131963519+14.6606378901421i,0.936653738250182+2.14692392700881i,1.62040104260471,1.63514340703692,1.69749492680101,1.70655142739482,0.295812072233659+0i,0.335321167655497+0i,1.30088762067243,1.33207227569332,1.27180036439128,1.27899642963226,1.05514133872656,1.0419618187093
1200,2.25766395712322,0.599417170796789,1.91278994818178,1.95696552021899,1.95108524748742,59904.2643143861-117497.202787976i,-0.317937933317985+1.87525299814595i,-0.828340878511555+10.2803831038357i,0.712168215503167+2.01722322212636i,1.62970525060007,1.646918518807,1.70118236633408,1.71289134338138,0.367060259775569+0i,0.43074628980526+0i,1.31380226746189,1.33859777617903,1.28246989333127,1.28505912916562,1.05183487719969,1.03795765624084
1250,2.25863623060701,0.672120426117493,1.91445146035592,1.9570610964761,1.95128669592891,43236.398984302-29385.742347623i,-0.327139782009791+2.06199863947866i,-1.57875698528023+7.14353487543322i,0.479644947457171+1.85794203929349i,1.63797009966052,1.6575587931856,1.70432638445085,1.7186881876044,0.446382696212381+0i,0.524772217150582+0i,1.32474911131823,1.34380871011972,1.29175732965795,1.29011525100879,1.04790694549444,1.03341672274191
1300,2.25955760456172,0.738435052371689,1.91603976789524,1.95715678210804,1.9514937116701,23005.3772691965-2855.43607337215i,-0.364711234042416+2.21804867923513i,-1.76450821812881+4.87289849921245i,0.231196115723072+1.65302513644117i,1.6453222940978,1.66718839478666,1.70698687938718,1.72399137970016,0.526227949666685+0i,0.612442326968461+0i,1.33401366478215,1.3478817312902,1.29981079184905,1.29427744521781,1.04345849423821,1.02843150874876
1350,2.26043167980618,0.799156303322877,1.91756082136739,1.95725423769253,1.95170615427606,10712.8371792295+3582.64315647014i,-0.425234007654149+2.34412062572234i,-1.63972579543804+3.21677869034882i,-0.0484562318451891+1.36465354685516i,1.65186825586706,1.67591386278463,1.70921554190106,1.72884430189847,0.602616476042438+0i,0.691704250275071+0i,1.34182911177054,1.35096510399525,1.3067592270179,1.29764324849541,1.03857396835915,1.02307904315451
1400,2.2612616804137,0.854953977013226,1.91901987175613,1.95735470175531,1.95192384478257,4388.29732956243+4035.64488429433i,-0.50386766432107+2.44116635157061i,-1.34669878363662+2.00335858038117i,-0.40962805338739+0.841365070392389i,1.65769814720354,1.68382721424476,1.71105721528652,1.73328522199542,0.673547696600204+0i,0.762051044388484+0i,1.34838784074542,1.35318413889611,1.3127153878145,1.30029750951008,1.03332436355441,1.01742379022522
1450,2.26205050500226,0.906396021716673,1.92042157501884,1.95745908720808,1.95214657811479,1404.17449675212+3061.89089071392i,-0.596294868146691+2.51033224625084i,-0.963447923113942+1.11226676785235i,0.207730256990671+0i,1.66288895078897,1.69100839478649,1.71255099221268,1.73734804838358,0.73819144392423+0i,0.823785425954781+0i,1.35385005916326,1.35464542129451,1.31777826843281,1.30231436043732,1.02776964261602,1.01151993557917
