PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,2.27629653728153,-0.41045549543641,1.88135127958543,1.9429864119458,1.94061728335725,119532603.243698+130260964.417521i,-1.45345874911661-1.14583876092666i,157.252022973797+55.0152195846991i,2.20188421972565+2.40457659992556i,1.53349817015144,1.52784341450892,1.6581149817152,1.64895566666714,0.334930093272403-0.430522988462644i,0.150180227762593-0.42590726025898i,1.19985831182491,1.26924565222064,1.22186229031826,1.25711200325727,1.05612359514223,1.04855540809031
1050,2.27770329706478,-0.258166318989999,1.88381727009216,1.94352929450943,1.94092316819426,1069966.6201184+27466897.2186348i,-1.01338261208717-0.774562641512324i,87.6767756055447+49.501244689378i,1.98837796264242+2.38027743736497i,1.55102226978845,1.54784956888508,1.66597541737065,1.65903875328829,0.260110635124574-0.334787489181332i,0.120256373483011-0.308650486412954i,1.22586149931733,1.28550804842172,1.24005549570409,1.26867635044026,1.05864558711586,1.04982079200997
1100,2.27903226818466,-0.122284911414769,1.88615063414804,1.94401138110949,1.94122153110519,-3326494.77860434+4555785.06543638i,-0.651702824861018-0.412322444941909i,49.6213767838146+40.8900012180178i,1.78462854474047+2.34547497613909i,1.56651218408485,1.56590075939408,1.67291125569872,1.66829515201479,0.221250237783234-0.234321234307116i,0.127116436965254-0.1967991227887i,1.24812846864185,1.29928927353539,1.25614800360794,1.27866343833878,1.05982374303018,1.04987431122489
1150,2.28028992629876,-0.000349977294965331,1.88836444016344,1.94444495089338,1.9415143748817,-1380689.01572355+437584.23915491i,-0.360263823636812-0.06292917050131i,28.0266563726641+32.5610071571145i,1.58768060730005+2.30045085487693i,1.58027100217572,1.58224387925501,1.67903311823548,1.67680841611334,0.210963296809779-0.142214399885431i,0.158467057887299-0.102556016672272i,1.26728456794241,1.31095484161693,1.27038208762371,1.28726417480342,1.05986993112535,1.04891358285641
1200,2.28148195446532,0.10963792827981,1.8904699384726,1.94483965429963,1.94180325223501,-427908.776611964-127526.36113919i,-0.131608961553487+0.27043442551944i,15.4603689283329+25.4544952525977i,1.39492891453438+2.24484921495795i,1.59254181760155,1.59708395534917,1.68443483675135,1.68465068104549,0.219875542047805-0.0665633616723598i,0.201559672976058-0.032463277302997i,1.28382235542246,1.32080372861551,1.28296550099524,1.29464115188387,1.05895886459318,1.04710102275434
1250,2.28261336865661,0.209318752936368,1.89247687932783,1.94520313822358,1.94208937012542,-105551.023394943-120312.043251316i,0.0411183516843892+0.585158500991287i,8.04411220780792+19.679427977183i,1.2039248780616+2.1776443368339i,1.60352234024217,1.61059316081851,1.68919654561391,1.69188461515282,0.238419923401583-0.0134449194610106i,0.244736979204562+0i,1.29813501553333,1.32908294170188,1.29407741918641,1.30093369636136,1.05723562891665,1.04457104165448
1300,2.28368861923667,0.300049446154131,1.89439376490668,1.94554150578557,1.94237366763873,-12466.8612481167-63830.4774320456i,0.164246547304964+0.879154141022379i,3.65869482781028+15.084960758117i,1.01217851903372+2.09697946011259i,1.61337535770551,1.62291747695553,1.69338710930553,1.69856497471698,0.268085493376465+0i,0.320989199154449+0i,1.31054028208973,1.33599837536947,1.3038731829773,1.30626186946458,1.05482147411748,1.04143557242008
1350,2.28471167374277,0.382961870425509,1.89622805100485,1.94585965880501,1.94265687475222,8752.54233513623-28024.9457194276i,0.243629192766913+1.15080417867794i,1.10099930723778+11.4637818712518i,0.816907552538638+1.99979949782061i,1.62223637297814,1.63418171918339,1.69706604728665,1.70473985540529,0.330630249918003+0i,0.409431667527126+0i,1.32129781731512,1.34172302707494,1.3124881187414,1.31072966430575,1.05181831879409,1.03778836028029
1400,2.28568608497193,0.459007157719486,1.89798630993003,1.94616155589088,1.94293955712007,10073.3655931982-10411.4127179917i,0.284685474877842+1.39891658623942i,-0.334157334542915+8.62071399040467i,0.614641382572611+1.88107150873646i,1.63021927930138,1.64449339643384,1.70028507442637,1.71045170816456,0.403506693490197+0i,0.497792664275561+0i,1.33062201584544,1.34640330114409,1.32004064115368,1.31442758409779,1.04831228626557,1.03370832518772
1450,2.28661504740691,0.528990052142978,1.89967436316432,1.94645040902283,1.94322215051216,7208.30860084805-2736.94605260091i,0.292431893762658+1.62268035610185i,-1.07117429514855+6.39169839425792i,0.400451390648685+1.73201106868654i,1.63742064397696,1.65394572058912,1.70308934429142,1.71573817052957,0.478411905207793+0i,0.581190327530816+0i,1.33869156543814,1.35016390608058,1.32663479245511,1.31743473764649,1.04437650547629,1.02926222046803
