PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,2.35943810657256,-4.45137778038788,1.75503092835921,1.85045200389879,1.8815430159788,130395924845.488-48702538202.2485i,-10.7902703905671-2.09952708399247i,-8230.61705598544-10469.3232024535i,3.43243586082891+1.56931687145706i,1.23215214021573,1.2269108190465,1.53117950715777,1.49100999879069,1.29753642581924+0.196834720723978i,0.988881037145301+0.740899585220663i,0.919848238598193,1.07599373443057,1.13597011019158,1.23638049033361,0.986783529865758,0.993112786810961
1050,2.36152922282488,-4.00771888963791,1.75983925225948,1.8547894145286,1.88300507337399,8215557287.18505+6551522254.17288i,-9.90611913173957-2.45804034028775i,-2717.49994611208-5607.82834397614i,3.26958932248558+1.67642201626008i,1.27635033298911,1.26397590275111,1.54676443153347,1.50726975715686,1.57111548240925-0.0543978236330108i,1.54283661990142+0.371186871068164i,0.968942412991286,1.1110191093787,1.16233495161538,1.25398710281875,1.00158925718266,1.00580205832737
1100,2.36351586497474,-3.61537829800421,1.76437036468386,1.85862647744361,1.88434662321739,-84201322.405484+1175558703.91448i,-9.04398961592545-2.75530365918109i,-749.389944147553-3099.6040136047i,3.11568708686616+1.76402325280695i,1.31449901656969,1.2972983708667,1.56092630688155,1.52239407377223,1.69386877983581-0.42334565324161i,1.80654033740862-0.206084410049755i,1.01173529934705,1.14170316478392,1.186165993062,1.26960912706179,1.01400566579158,1.01628262732664
1150,2.36540669331882,-3.26626048687599,1.76865264730594,1.86204515931871,1.8855851057138,-150692634.119+101413829.268202i,-8.20641969424654-2.99291957759954i,-46.2759083102417-1757.44124497528i,2.96943312977676+1.83586714476499i,1.34779349994999,1.32747473405591,1.57382911204276,1.5364952668148,1.63393526931261-0.802297779095915i,1.7534496192866-0.777014378841615i,1.049318267259,1.16870114495561,1.20774630952274,1.28348146579058,1.02436967664193,1.0248724447836
1200,2.36720931098191,-2.95384910720871,1.77271046292328,1.86511104605408,1.88673483609048,-35070223.5824785-9117718.79380232i,-7.39600404148869-3.17316310197218i,184.858650854254-1015.12001533283i,2.82968009730063+1.89474095821924i,1.3771256582463,1.35496558923734,1.58561215360524,1.54967043118931,1.42805611620987-1.10221125780969i,1.47758837873589-1.19705803488506i,1.08254265402824,1.19254052341621,1.22731898078411,1.29580430714042,1.032961517222,1.03183535533389
1250,2.36893043100655,-2.67284576144031,1.77656486627056,1.86787716467889,1.88780766529722,-4490251.78688972-7723327.72389178i,-6.61524572660789-3.29884392628969i,237.698938773609-592.699305534159i,2.69541951033821+1.94274273480571i,1.40317472315967,1.38013470739075,1.59639463367868,1.56200402964353,1.14329363055961-1.28049908828884i,1.10406516415097-1.41836293629024i,1.11208126921201,1.21365154107786,1.24509396486099,1.30674932643735,1.04001596558953,1.03739189917844
1300,2.3705760114927,-2.41890249875516,1.78023416613953,1.8703867952027,1.88881348085931,547709.366884908-2567116.50176931i,-5.86645270955324-3.37318449515467i,225.644496162873-346.591027888647i,2.56576487018193+1.98146491883696i,1.42646750242726,1.40327506741743,1.60627921973533,1.57356995907202,0.843396896557743-1.33643335857791i,0.732843205357121-1.46121119354004i,1.13847247188487,1.23238919163122,1.26125358314405,1.31646459339623,1.04573103433736,1.04172764546419
1350,2.37215136587626,-2.18842107046703,1.78373437434359,1.872675568175,1.8897605911027,698460.112416429-556429.105406152i,-5.1516686682365-3.39971265784356i,193.303339206746-200.533029985184i,2.43993300906998+2.01212128215255i,1.44741930295231,1.42462665555201,1.61535486646138,1.58443321412281,0.572694419522797-1.29363997393968i,0.422085854873946-1.37559712965671i,1.1621520964063,1.24904936669028,1.27595693792712,1.32507849206911,1.05027474925749,1.0449996893776
1400,2.37366125366101,-1.97840044504841,1.78707956759014,1.8747730493184,1.89065602314216,343586.73371504-10219.8389916285i,-4.47263006242427-3.38216781120535i,157.98886635913-112.706169840568i,2.3172259790321+2.03563575846262i,1.4663623566807,1.44438893820159,1.6236990692798,1.59465123836847,0.354156975605361-1.18378596097954i,0.19408165145288-1.21427046654244i,1.18347684190214,1.26388092365356,1.28934350008287,1.33270287961257,1.05379049250424,1.04734176683134
1450,2.37510995563492,-1.78631968068091,1.79028218161749,1.87670395063482,1.89150575631753,123537.481868087+79547.0891219328i,-3.83074318153972-3.32441949690196i,125.946700728813-59.5093819169512i,2.19701429939383+2.05270505736554i,1.48356596196537,1.46272980497387,1.6313796807608,1.60427503059943,0.194281291249197-1.03643819720335i,0.0480471344560477-1.01986455047669i,1.20274160869421,1.27709484963949,1.30153604533924,1.33943565222735,1.05640125206927,1.04886831692091
1500,2.37650133666201,-1.61004702494775,1.79335325214183,1.87848906597196,1.89231490676196,28916.9475550375+62309.3607698728i,-3.22707630273928-3.23039745061979i,98.9365528873866-27.2779532216528i,2.07872167085322+2.06384273045934i,1.49925101554798,1.47979211818293,1.63845638712637,1.61335005738889,0.08940617368267-0.874674777689441i,-0.0283549789573715-0.8216594513413i,1.22019249779699,1.28887131955284,1.31264307459239,1.34536284507368,1.05821302941047,1.04967773528402
1550,2.37783889844322,-1.44776869269319,1.79630261366173,1.88014600090335,1.89308787458761,-3301.34541395453+34529.1622790705i,-2.66236313726524-3.10403212239009i,76.9645935774897-7.91983494475443i,1.9618109147364+2.06940966629988i,1.51360067230498,1.49569860370745,1.64498191778615,1.62191701106629,0.0309221058374827-0.714357386950702i,-0.0512428297628457-0.637110381024371i,1.23603666925123,1.29936520191577,1.32276082210599,1.35056036267665,1.05931759293372,1.04985499942881
1600,2.37912582411725,-1.29793256565618,1.79913906459588,1.88168974736943,1.89382846219706,-10474.0241120427+15519.2404290371i,-2.13701455657329-2.94920471005872i,59.4257235602495+3.45201873608495i,1.84577070993627+2.0696341888695i,1.52676828412117,1.51055556876985,1.65100304326948,1.63001244333885,0.00873243860017348-0.565160408459123i,-0.0362236655500828-0.47492570624418i,1.25044990037415,1.30871040352384,1.33197493198832,1.35509541399843,1.05979471870937,1.04947380229309
1650,2.38036501617644,-1.15920331915815,1.80187050531658,1.88313313995387,1.89453997009106,-9359.57844833429+5205.87608606744i,-1.65113622667927-2.76970577723573i,45.5732608690485+9.83925264291344i,1.73010256994009+2.06462365284661i,1.53888339547245,1.52445577409502,1.65656140402416,1.63766929813853,0.0131903382048522-0.432142369045369i,0.00347784099637805-0.338088792776836i,1.26358244148771,1.31702333373809,1.34036186573057,1.35902770970308,1.05971402596619,1.04859829758347
1700,2.38155912886977,-1.03042638030269,1.80450405420491,1.88448722105041,1.89522527499005,-6431.44034337611+416.005053240478i,-1.2045502827782-2.56920156401238i,34.7008827785219+13.1117936428129i,1.61430736144982+2.05436841989245i,1.55005633003479,1.537480685598,1.66169420297825,1.6449173622326,0.0359719079760978-0.317250580726429i,0.0574709490298336-0.226245061322508i,1.2755635980609,1.32440569311579,1.34799009024198,1.3624104666027,1.05913648991449,1.04728453630326
1750,2.38271059603157,-0.910598770485327,1.80704614576358,1.8857615352768,1.89588689394684,-3803.14864420405-1405.60143934151i,-0.796819577407364-2.35120714276799i,26.2021038818631+14.4479825118105i,1.49787045793566+2.03873816911933i,1.5603817413996,1.5497022632628,1.66643478757265,1.65178364828897,0.0703023521734012-0.220535531951637i,0.117916199910599-0.137400317109074i,1.28650535034446,1.33094673767252,1.35492108560687,1.36529125474596,1.05811569580727,1.04558165588619
