PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,2.39526585720207,-7.47950116426248,1.67513870067949,1.77657782096264,1.83899737763102,-2323288537462.93+1397062735550.21i,-13.0320213990713+1.24597255599036i,-100120.714325939+31885.399056716i,3.63195877541582+1.04216185066781i,0.974418220614174,1.04621031299252,1.45987513708656,1.40960195141798,0.291240123134884+0.23895937098852i,-1.14204493914498-0.00296826639060023i,0.738323243847623,0.955382748569462,1.07680454035467,1.21447521023913,0.934353240898522,0.948056436805688
1050,2.39766004278098,-6.80266634963063,1.68147639554223,1.78459556217022,1.84154308209005,-117446519797.628-88472764346.7763i,-12.4924628630109+0.678967353867206i,-43023.7878879099+2996.9933281311i,3.50382410975322+1.19540876593536i,1.04972132913134,1.09679611314603,1.47904405314617,1.42850302105449,0.458448558682645+0.628389505839484i,-1.08719172001782+1.10197689753086i,0.80232853551159,1.00104372387057,1.10662105733432,1.23473541980682,0.95486549478048,0.966078460457841
1100,2.39993801182996,-6.20626695905867,1.68743951038408,1.79167010635319,1.84386214299294,2319669319.5498-12303604209.7349i,-11.9317390535913+0.13430062375248i,-19423.1504958329-3287.58713802791i,3.37991574354608+1.32443672968942i,1.11273176956998,1.1413054751847,1.49653236382684,1.44613443996912,0.941514111208193+0.912502914059067i,-0.168432180745764+2.00958449689786i,0.85799603629665,1.04108632041202,1.1337266532625,1.25283457061645,0.972514223556524,0.981439862897398
1150,2.40210938331521,-5.67736870487754,1.69306681738311,1.79795611489271,1.84598674013926,1438350105.20445-521652692.699705i,-11.351214587338-0.381124055881624i,-9054.79373023226-3837.13474000673i,3.2601960010441+1.4339038570278i,1.16627858551319,1.18094053330519,1.51253771287384,1.46262142407229,1.58728461585817+0.876253041289616i,1.16821443659357+2.17353313426746i,0.906826189438918,1.07640755814964,1.15842079579672,1.26902644868533,0.987693159591518,0.994512913263103
1200,2.4041826031297,-5.20559817691709,1.6983915682082,1.80357709703715,1.84794332433354,204407915.532981+144940339.145031i,-10.753286305818-0.861859979213657i,-4278.98945388134-3109.4216507635i,3.1444343547258+1.52733577699379i,1.21238731818244,1.2165822542696,1.52722652804241,1.47807214951836,2.14952749557677+0.492002532139769i,2.32503070793773+1.58606480814331i,0.949982249108043,1.10771660517615,1.18096079623234,1.28352739764094,1.00073036706431,1.0056072536862
1250,2.40616512937367,-4.78254988527192,1.70344247401716,1.80863275013968,1.84975382876131,2951496.1950518+52079141.4317339i,-10.1410582755563-1.30375813742594i,-2000.92578462709-2275.64387223917i,3.03230758466541+1.60743738823175i,1.25254228252629,1.24889156714648,1.54074025322299,1.49258068504134,2.45466217833838-0.107933946776245i,2.95671201863117+0.584863889650545i,0.988376804462605,1.13558307029219,1.20156904467353,1.29652300874801,1.01190123948675,1.01498232787667
1300,2.40806358222578,-4.4013487346002,1.70824447988697,1.81320434061436,1.85143658657644,-9297863.8093205+9427629.940864i,-9.51808527038384-1.70381960349383i,-889.410906630662-1601.50340790201i,2.92345506439158+1.67630862249971i,1.2878539615019,1.2783754064607,1.55320007630673,1.50622931816751,2.46113841362049-0.74471438157227i,3.03041669094291-0.454091582394698i,1.02273428842387,1.16047082803319,1.22043878455081,1.30817341338778,1.02143852690612,1.02285697909941
1350,2.40988386625774,-4.05632282392313,1.71281938291521,1.81735870481263,1.85300703440259,-3965914.34310777+57495.1816654724i,-8.88817079229795-2.06005813294518i,-342.336312756578-1108.17353511116i,2.81750877890772+1.7355963442045i,1.31916875328473,1.30543062024672,1.56471057659207,1.51909042104738,2.22677570333573-1.28052289916297i,2.69746148078972-1.285430760892i,1.05363639118088,1.18276224255828,1.23773876381308,1.31861751007861,1.02954016084694,1.02941694119089
1400,2.41163127108058,-3.7427557235448,1.71718633007961,1.82115126250109,1.85447825770442,-1034771.02800972-891152.359174608i,-8.25520899535515-2.3713723250194i,-75.6923057488949-760.53899407536i,2.71410895060998+1.78660294390043i,1.34714267815263,1.33037371675605,1.5753625802153,1.53122796174117,1.84920331952492-1.64750813672969i,2.15407177407725-1.81665673989893i,1.08155531893843,1.20277586630999,1.25361701292183,1.32797637023076,1.03637542338672,1.03482074219959
1450,2.41331055478938,-3.4566967896597,1.7213622226407,1.82462831371811,1.85586141789971,-95850.1803095951-520330.657195475i,-7.62306221907305-2.63742702678831i,49.2026282392499-519.16363483768i,2.61291141418308+1.83036503574699i,1.37229196860163,1.35346140449528,1.58523542454399,1.54269873914098,1.4211366167716-1.83690034994729i,1.56147010473014-2.0610611322597i,1.10687837911468,1.22077960627016,1.26820393738015,1.3363560044277,1.0420898559119,1.039204398781
1500,2.41492601363171,-3.19481439450367,1.72536204720172,1.82782880865171,1.85716609001384,99001.4308535022-203947.914305761i,-6.99546754149855-2.85854380032677i,101.97320826396-352.391132841959i,2.51359025407898+1.86771116160798i,1.39502848505302,1.37490504417209,1.59439877442257,1.55355340014629,1.00989113330893-1.87491085799851i,1.02161045775943-2.08205500236795i,1.1299263360878,1.23700067880121,1.28161486727796,1.34384962611931,1.04680919812597,1.04268517995317
1550,2.4164815405526,-2.95428125933928,1.72919914869455,1.83078572527242,1.85840053194445,91679.6462436155-53041.7701253269i,-6.37596703448723-3.03560029999734i,118.318084187734-237.23993968924i,2.41583773027967+1.89930450632294i,1.41568495917619,1.39488100458702,1.6029140937859,1.56383728361432,0.65450224748317-1.80131022517234i,0.583494261390964-1.95391428844292i,1.15096725657019,1.25163324741205,1.29395217310897,1.35053951688697,1.05064257350766,1.04536464783631
1600,2.41798067469003,-2.73268406076782,1.73288545699822,1.83352715171674,1.85957190092848,53294.5991861115+1795.2959945926i,-5.76785737773861-3.16993837727101i,116.798152166602-157.665273623495i,2.31936265991667+1.92567472979068i,1.43453328589167,1.41353821494537,1.61083584889326,1.57359112529313,0.371285372461452-1.65576576496104i,0.25958550183682-1.74146833688647i,1.17022705982068,1.26484436084186,1.30530703243747,1.35649857331361,1.05368508391959,1.0473311317384
1650,2.41942664345574,-2.52795157423787,1.73643167624996,1.83607714410946,1.860686428876,24290.0883236223+15189.1269527238i,-5.17415525060683-3.2632806762142i,107.119027561463-102.633837982385i,2.22388791852748+1.94724175375211i,1.45179798083213,1.43100376563554,1.61821250019901,1.5828516502943,0.161487946166266-1.47127266603705i,0.041589932397704-1.49313289045629i,1.187897637693,1.27677862538488,1.31576091347041,1.36179159751208,1.05601993707656,1.04866175450103
1700,2.42082239850106,-2.33829710625865,1.73984744392083,1.83845641192975,1.86174956538562,8051.3480301299+14161.1483469606i,-4.59757552945008-3.31765542233018i,94.3303963010671-64.5899936969052i,2.12914742290144+1.96433347774448i,1.46766622051722,1.44738712817144,1.62508732606979,1.59165207391738,0.0179529425692949-1.27227513718259i,-0.0880725972624599-1.24113448419489i,1.20414316520737,1.28756192151114,1.32538682754859,1.36647637983132,1.05772020182809,1.0494241023672
1750,2.42217064660828,-2.16217203650966,1.74314146522176,1.84068286973664,1.8627660951654,482.939301670919+9724.6533293702i,-4.04051981247701-3.33532905107326i,81.004908290336-38.352851938351i,2.03488277127677+1.97719879682412i,1.4822954305869,1.46278338257703,1.63149911149482,1.60002252727673,-0.070137239091542-1.07525631027145i,-0.149238204180726-1.00464391230289i,1.21910505089887,1.29730438972749,1.33425039182973,1.37060461197738,1.05885026477732,1.04967760901071
1800,2.42347387634655,-1.99822806868705,1.74632162725302,1.84277208445709,1.86374023503328,-2325.26250235759+5619.66588423437i,-3.50507320078256-3.31874627521207i,68.3903998197567-20.3554486053946i,1.940839595773+1.98601686104301i,1.49581909015495,1.47727572044416,1.63748272749659,1.60799042083717,-0.114328289739424-0.89030291331989i,-0.160322381314786-0.793467089001419i,1.232905855037,1.30610285118178,1.34241073514767,1.37422266090547,1.05946704562676,1.04947470884177
1850,2.42473438117369,-1.84528636011099,1.74939509642201,1.84473764041163,1.86467571451161,-2863.10912182117+2721.18768337078i,-2.99300760267343-3.27047715439524i,57.0282892746966-8.12880574634603i,1.8467635957597+1.99090319145215i,1.50835122147656,1.49093741172658,1.64306962137941,1.61558075637729,-0.125318555905185-0.722820874530809i,-0.136791910457142-0.611261082954902i,1.24565241750158,1.31404278636481,1.3499212735859,1.37737222774951,1.05962101638885,1.04886180291373
1900,2.42595427953987,-1.70231212371897,1.75236840196284,1.84659143906289,1.86557584315465,-2482.5903970077+943.624641753869i,-2.50579011228822-3.19317070605416i,47.0889030142816+0.0460145962711481i,1.75239614922288+1.99191300550162i,1.51998989900437,1.50383336902337,1.64828823373445,1.6228163958802,-0.112272126696365-0.575031692992644i,-0.090849801048662-0.45797347168014i,1.25743837509997,1.32119996495642,1.35683037725177,1.38009091131395,1.05935706021512,1.04788007172884
1950,2.42713553245042,-1.56839361307844,1.75524750785052,1.84834394660311,1.866443567081,-1841.44185803079-24.6208399427475i,-2.04459525313891-3.08951458343408i,38.5542312483975+5.37268380907004i,1.65746932675729+1.98904187116385i,1.53082001876295,1.51602140579477,1.65316435488961,1.62971829426363,-0.0826546329508078-0.447136394340213i,-0.03171833214458-0.331539847649647i,1.26834620319303,1.32764179778068,1.36318194575115,1.38241269193357,1.05871519835316,1.04656616227447
