PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,2.5319315860191,-33.6879247865165,1.14487519534236,1.06245749367825,1.49172145059844,-18.349868091611,-15.2315510209575,-674577374.374816-545030343.997296i,2.95190368461341-0.858995635618514i,-7.58643242408186+0.749390983534501i,-0.473121416914773-0.232214960421888i,0.771055409590231,0.974957133248471,-0.192331691629125-0.0187492751612503i,-1.62018194651418-3.57214485846395i,-0.731863865251239,-0.0512731429491774,0.713392765559014,1.04545354145708,0.59688199729059,0.669715282344185
1050,2.53551830179045,-30.7746354094593,1.16199289683475,1.11648128318943,1.50641370365222,-17.3060744749778,-14.3518573954641,-95989590.4236137-166770730.280005i,3.0281551165473-0.618413237109947i,-5.48390581840959+0.460940095740637i,-0.3895708162779-0.0608643056801004i,0.846772316095209,1.01931180301119,-0.0879399139897822+0.271694638453362i,-9.34873997453172+6.26840025477369i,-0.497515326778293,0.136251690125683,0.760229380868287,1.07878862850188,0.654945544228464,0.714617370733708
1100,2.53894294328603,-28.2396285739411,1.17802631472974,1.16356229872688,1.51963839894459,-16.3549372183777,-13.5493970389236,-8158838.20081169-50931158.0100682i,3.07779477653702-0.404308120582182i,-3.99896358721493+0.281763602418725i,-0.30165260884248+0i,0.915803872433433,1.05823884323662,0.926211045439766-0.0949373292054014i,16.4369983478219+14.6392433095223i,-0.301431685654459,0.28497884985342,0.803209668945887,1.10896880893645,0.702478911135691,0.753092066731541
1150,2.54221886132765,-26.0180950120487,1.19309087870426,1.20490578720246,1.53160750644165,-15.484718209127,-12.8144672608292,3138354.02547932-15860436.1785263i,3.1075947568928-0.213052398990863i,-2.92020540795593+0.167851593013718i,-0.148766253829088+0i,0.978404982659342,1.09276737723501,-0.087335671275521-2.37844496466898i,23.8332266474109-29.761749557152i,-0.13640210994829,0.406104799786189,0.842766784620221,1.13636593940844,0.742670570873875,0.786597401486701
1200,2.54535778339385,-24.0587097894462,1.20728532193322,1.24146084370416,1.5424943046641,-14.6855865284374,-12.1389316994762,2960439.47726562-4959059.05381756i,3.12240133993044-0.0415131367013581i,-2.11643825688322+0.0940583759234614i,0.0125381390468259+0i,1.03496804249663,1.12371496615144,-4.55659474953887-0.74039706570819i,-36.9318337203445-41.8238878810512i,0.00363590548192216,0.506905504469419,0.879270659298989,1.16129591556615,0.777393700901624,0.816078113998664
1250,2.54837006946955,-22.3203799350088,1.22069467812936,1.27398375742638,1.55244178289432,-13.9492452161457,-11.5159153864185,1758494.34516625-1487808.33609492i,3.12573615378026+0.112976286094308i,-1.50343018483725+0.0455384558954597i,0.162293271456015+0i,1.08596401764735,1.1517250614385,-3.71804857529968+6.73967402520596i,-65.3295182934996+26.6789567843249i,0.123558881807093,0.592291194640963,0.913039308361434,1.18402890824062,0.807825154382361,0.842195748656449
1300,2.5512649190805,-20.7698747166734,1.23339264450081,1.30308370354053,1.56156895314279,-13.2686425677386,-10.9395685751354,935136.096155873-378610.590764523i,3.12019400504181+0.252671017266755i,-1.02474424796595+0.0132360712535061i,0.29547089752645+0i,1.131897382231,1.17730213455612,6.05057013991677+9.48036098323398i,-6.35450269784205+80.3364889755344i,0.22721556406003,0.665685088196323,0.944347758376654,1.20479740979173,0.834754713437887,0.865442810558714
1350,2.55405054032413,-19.3800745810034,1.24544346356859,1.32925620571801,1.56997565249963,-12.6377464034097,-10.4048818601883,477224.015439035-38305.7599542574i,3.10771099260721+0.379474461836965i,-0.638375837180799+0i,0.411863679115183+0i,1.17327402831704,1.20084180871907,14.5661674194935+0.874858824844524i,67.616437811576+52.6596541233157i,0.317623591682132,0.72954275166994,0.973435166659344,1.22380262316512,0.85874492362759,0.88620313909652
1400,2.55673428900625,-18.1286604681681,1.25690343569397,1.35290798500666,1.57774623968726,-12.0513658206132,-9.90754001824063,238011.093386181+51190.9115334284i,3.08974826950179+0.494994121883606i,-0.339416276066944+0i,0.513003052749626+0i,1.21058002895291,1.22265542282703,12.228230489146-12.1214773515125i,84.3140836807453-18.9880931652827i,0.397149268849578,0.785670699691915,1.0005105517941,1.24121958207797,0.880217147761661,0.904786026192302
1450,2.55932278403773,-16.9971210632416,1.26782214516409,1.37437564867317,1.58495247103617,-11.5050091531145,-9.44380540888707,115886.153423986+62043.5368923378i,3.06741996806164+0.600590494373779i,-0.100442600301411+0i,0.600919598914754+0i,1.24426882597558,1.24298944277142,0.595892492747118-18.9299910502915i,44.3434163124416-70.8622666550847i,0.467655468512522,0.83542821687371,1.02575744530848,1.25720128933463,0.899500035504497,0.921446797631672
1500,2.56182200381189,-15.9699925992437,1.2782434619276,1.39393991166369,1.59165576022285,-10.9947698237911,-9.0104241737797,54233.3479291146+51496.0883559656i,3.04158354618416+0.697418513736398i,0.0947449324436569+0i,0.677629347361076+0i,1.27475458302035,1.26204050453138,-12.0932351140535-15.7116658470476i,-11.6791440547169-77.3518735312519i,0.530617747846412,0.879858883636578,1.04933769711866,1.27188208788298,0.916858148269298,0.936400010794262
1550,2.56423736722026,-15.0342708195266,1.28820636602355,1.41183653619488,1.59790897009176,-10.5172338931073,-8.60455018702942,23455.5161971414+37873.1399746251i,3.01290444928462+0.786462077249797i,0.256680722773772+0i,0.74493805790652+0i,1.30240981587471,1.27996693278763,-19.2166861879707-5.75292803438003i,-50.6258968808838-50.2968559044912i,0.587213504041374,0.919778497742111,1.07139461116111,1.2853804268667,0.932509692373031,0.949828391965999
1600,2.56657380216655,-14.1789518214047,1.29774563070656,1.42826483148115,1.60375784553447,-10.0694046327035,-8.22368294966543,8385.46552429285+26328.7357569019i,2.981902963971+0.868562553180378i,0.392801808496143+0i,0.804387129226699+0i,1.32756582877902,1.29689750048359,-19.0781461198018+5.37299544896226i,-62.5473725733054-12.9543189688193i,0.63838976178117,0.955835215616635,1.09205554637869,1.29780114659993,0.946638028299544,0.961889177694144
