PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,-0.0972008907893093,-0.000126073890376544,-4.22742078839238e-05,0.000140033652717821,0.000156657769534899,0.0215987951154922,0.0341435890311984,0.0158614469365294,0.0171026461563006,0.0180340291764601,0.0282890974157719,0.0232329362965443,0.0159569082538933,0.0694747247277919,0.0371167515867791,0.0629875000209936,0.0716807259485348,0.112183136699696,0.0785184491936015,0.145573884829215,0.148962021192283
1050,-0.092409366015708,-9.01624251071884e-05,-3.8168078140351e-05,0.000141441344398056,0.000158784161751727,0.0217272005169705,0.0304923906813753,0.0176542156186267,0.018632807901563,0.0191948639374876,0.0295746558905896,0.0244256901190507,0.0171210648567305,0.0739145634037718,0.0432769250004055,0.0663139569985136,0.0744589164174403,0.117378496497666,0.0813250326383893,0.149718535468177,0.153039152069341
1100,-0.0876721349491466,-6.83310402177552e-05,-3.46686719844897e-05,0.000142941101641973,0.000160931881303352,0.0226610364383671,0.0290301685298045,0.0194091690351859,0.0201584078608157,0.0203601623428513,0.0308745779988098,0.0256297741319743,0.018287174383689,0.0782607221171364,0.0492733971707395,0.0695942175883817,0.0772105789760528,0.122526246975301,0.084119007323823,0.153835392255707,0.157090027901858
1150,-0.0830170339845519,-5.4082514480925e-05,-3.16489054496194e-05,0.000144514842059541,0.000163092920809032,0.0239985572390935,0.0287385172037779,0.0211317173230862,0.0216787719260491,0.0215292808050277,0.0321871996618261,0.0268440890676177,0.0194553775313698,0.0825200785103446,0.0551184532108913,0.0728321840557653,0.0799377978856957,0.127626104282575,0.0869012827469126,0.157927068526221,0.161117104618162
1200,-0.0784668348649429,-4.42674141232605e-05,-2.90140292406024e-05,0.000146147702631896,0.000165260730017486,0.025542994834624,0.0291158511133991,0.0228262290405068,0.0231935556341969,0.0227016505066668,0.0335111161551292,0.0280676555785374,0.0206257837784332,0.0866988387692878,0.0608230491252104,0.0760312804158843,0.0826424071905354,0.132678892385374,0.0896726552286391,0.161995834073106,0.165122521857826
1250,-0.0740398750485326,-3.72125968307371e-05,-2.66921082836123e-05,0.000147827373130011,0.00016742991404776,0.0271928953148332,0.0298953935065796,0.0244962929011679,0.0247026227479163,0.0238767644912577,0.034845130045695,0.0292995969401782,0.0217984778063215,0.0908025890704485,0.0663969472911777,0.0791945265568879,0.0853260287516407,0.137686044355525,0.0924338260167199,0.16604367325565,0.169108155200226
1300,-0.0697506218848987,-3.19638859308434e-05,-2.46276432845783e-05,0.000149543586690514,0.000169596001757059,0.0288934400720339,0.0309261500487754,0.0261448984444226,0.0262059688127998,0.0250541675632374,0.0361882116525491,0.0305391246546788,0.0229735243398354,0.0948363555478104,0.0718488539681582,0.0823245987733339,0.0879901034483444,0.14264930837729,0.0951854159093662,0.170072331254415,0.173075658023445
1350,-0.0656101768140606,-2.79454892843246e-05,-2.27771970681104e-05,0.000151287726124407,0.000171755266102236,0.0306139231446087,0.0321182504727867,0.027774564670073,0.0277036721466814,0.0262334482864635,0.0375394685681709,0.0317855264372433,0.0241509718578106,0.0988046643111334,0.0771865477886721,0.0854238795299556,0.0906359169336676,0.147570572421631,0.0979279771717097,0.17408335127579,0.177026495372821
1400,-0.0616267252689218,-2.47935569968852e-05,-2.11063329016192e-05,0.000153052516543299,0.000173904583511741,0.0323367417339344,0.033415975381645,0.0293874341374678,0.0291958619710782,0.0274142325723426,0.0388981218481873,0.0330381561549465,0.0253308554803094,0.102711597688348,0.0824169952017084,0.0884944986354261,0.0932646210235527,0.152451759409572,0.100662003324314,0.178078104760158,0.180961971604273
1450,-0.0578059374703921,-2.22691849014531e-05,-1.9587431083783e-05,0.000154831783118652,0.000176041322847783,0.0340517195958382,0.0347836104456035,0.03098534345041,0.0306826974783571,0.0285961784878197,0.0402634871845243,0.0342964253663306,0.0265131992452773,0.106560845193773,0.0875464521034767,0.0915383675198533,0.0958772515643563,0.157294765060281,0.103387937243694,0.182057816121673,0.184883253128283
1500,-0.0541513248525003,-2.0210347086874e-05,-1.81981055525164e-05,0.000156620258518471,0.000178163257039456,0.0357530366884106,0.0361976353546063,0.0325698771602653,0.0321643539987177,0.0297789720104953,0.0416349598550837,0.0355597961762792,0.0276980179254883,0.110355748879933,0.0925805523488016,0.0945572079398761,0.0984747434425174,0.162101421960347,0.106106177912296,0.186023583170519,0.188791387261944
1550,-0.0506645564390981,-1.85040693111919e-05,-1.69200380369185e-05,0.000158413428610075,0.000180268492246992,0.0374374978697041,0.0376422168733788,0.0341424097450601,0.0336410138449938,0.0309623235270499,0.0430120025718046,0.0368277751749276,0.0288853184944591,0.114099343283782,0.0975243844157285,0.0975525761525893,0.101057943261336,0.166873479892432,0.108817086079336,0.189976394094532,0.192687317962588
1600,-0.0473457391115955,-1.7069666553297e-05,-1.57381076739053e-05,0.000160207407910127,0.000182355410699083,0.03910352113249,0.0391065082821061,0.0357041388294663,0.0351128602771267,0.0321459649208003,0.0443941355790493,0.0380999082733067,0.0300751013208781,0.117794390419679,0.102382557652452,0.100525883382404,0.103627620102337,0.171612596285803,0.111520989036706,0.193917141675392,0.196571899042755
