PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,-44.5909859968996,-0.00278077140781157,-7.14655689224148e-05,0.000124656412248614,0.000145894621102263,0.0151402597265781,0.140760043507717,0.00834071195978411,0.00973154855509167,0.0114017208169221,0.0198317044330633,0.0153747673602252,0.00733400080991651,0.0603835122599911,0.0455289473566816,0.0550178139171453,0.063212150041473,0.0975102832605531,0.0706876026864735,0.137393356948916,0.140284688359902
1050,-42.9552405024848,-0.00318683828029841,-6.50201017576399e-05,0.00012531936107815,0.000147443950656017,0.0222811307620601,0.120134980529686,0.0096769022502616,0.010789064332542,0.01220932972201,0.0206942532682338,0.0161563713528522,0.00799283104986928,0.0644159739488868,0.05032640936898,0.0581742019887984,0.0658785705076754,0.102245021657193,0.0733581990536843,0.141389674536317,0.144223756652162
1100,-41.2955791192449,-0.00113245630794134,-5.97290522481813e-05,0.000126138865336386,0.000149044280969986,0.027104261004273,0.0754230102931762,0.0109731659504193,0.0118599138174637,0.0130277224074022,0.0215758329170423,0.016954542742882,0.00865494784182207,0.0683618545025696,0.0549980016421101,0.0612856449706492,0.0685197039409622,0.106946812999472,0.076016715876166,0.145357116376515,0.148135789453267
1150,-39.6250265366827,-0.000466554410957443,-5.53179769285677e-05,0.000127088313917966,0.000150684445792195,0.0261482566973034,0.0474408948049705,0.0122361596901245,0.0129394692475453,0.013856104645431,0.0224743294420492,0.0177681730555034,0.0093205336540774,0.0722270859949365,0.0595534499398599,0.064355854869721,0.0711374720573903,0.111611577396343,0.078664038640415,0.149298372033764,0.152023269212419
1200,-37.9548695291882,-0.000244788632851183,-5.1590244112913e-05,0.000128145829966967,0.000152355283830146,0.0222613502019615,0.0335710819542008,0.0134710427454245,0.0140246438986071,0.0146937776173093,0.0233879839481841,0.0185962669379482,0.00998973611032591,0.0760172671532674,0.0640019061657246,0.0673881065678845,0.0737335792548948,0.116237570404211,0.0813009440297379,0.153215772200147,0.155888356978032
1250,-36.294831223791,-0.00015145899358303,-4.8401776106257e-05,0.000129293284430304,0.00015404922420617,0.019367954826498,0.0268504501540685,0.01468193332715,0.0151133470696211,0.0155401198455689,0.0243153162837668,0.01943792677234,0.0106626753840251,0.0797375818452648,0.0683517865251879,0.0703853014824682,0.076309542767083,0.120824435897967,0.0839281170607149,0.157111350415477,0.159732945761133
1300,-34.6532303837091,-0.000105110217279043,-4.564490783736e-05,0.000130515544143232,0.000155759968480126,0.0181186101787667,0.0236353302547433,0.0158721969823598,0.0162041479419107,0.0163945733580015,0.0252550682281678,0.0202923395544112,0.0113394496747744,0.0833927814633586,0.072610736981026,0.0733500206589319,0.0788667181362199,0.125372643726989,0.0865461649845974,0.160986891963639,0.163558703239625
1350,-33.0371268589415,-7.93229453280333e-05,-4.32377759412227e-05,0.000131799892077389,0.000157482244173372,0.0179922602885152,0.0222286639217923,0.0170446365134332,0.0172960619671942,0.0172566329420584,0.0262061604878907,0.0211587657498164,0.0120201393417601,0.086987198385223,0.0767856588253994,0.0762845691485737,0.0814063207386467,0.12988314804044,0.0891556286565591,0.164843973036983,0.167367106265205
1400,-31.4524542749036,-6.37574650305182e-05,-4.1117167454154e-05,0.000133135575621707,0.000159211611877719,0.0185137710274482,0.0218123132654483,0.0182016217095477,0.0183884115873715,0.0181258376927822,0.0271676596601569,0.0220365298394613,0.0127048100768285,0.0905247735836482,0.080882760805258,0.0791910132209953,0.0839294440056517,0.134357176103376,0.0917569919047204,0.168683992419008,0.171159468994803
1450,-29.904140954956,-5.37693998401039e-05,-3.92335922394428e-05,0.000134513451219554,0.000160944312969654,0.0193968720575937,0.0219674008363151,0.0193451809085905,0.0194807333831223,0.0190017642876297,0.0281387525126789,0.0229250122910877,0.0133935153775746,0.094009089605004,0.0849076208684412,0.0820712116857638,0.0864370748868099,0.138796096282388,0.0943506893055116,0.172508197347527,0.174936966012048
