PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,-2363447.44693208,-0.000274160324028205,-0.000213774761438036,6.38600189177595e-05,9.43906425818365e-05,-0.0224258684612109,0.00717029202566707,-0.00197458814566715,0.00439999366367989,0.0019242581505151,0.0073827231405062,0.00428897852429081,-0.000765120510717996,0.0404911410522703,0.0411004608720447,0.0369851462848146,0.0437147099492105,0.0632000944119205,0.0520552412478853,0.119744015372618,0.121764644004035
1050,-2330633.29518978,-0.000273778562500582,-0.000186185434821503,6.09781107129447e-05,9.33979263310131e-05,-0.020256981886566,0.00878599115429067,-0.0015854869698429,0.00367836627457002,0.00216905517068106,0.00756592272413748,0.00445628819030265,-0.000549156291985754,0.0437775764910058,0.0445820442165779,0.0396677611016305,0.0460392435905701,0.0666975842707835,0.0543397061318988,0.123410440751636,0.125391186741181
1100,-2293786.92477047,-0.00027317599453221,-0.000166753243295657,5.85274853341073e-05,9.25663330572626e-05,-0.0181870531528305,0.0103027100922504,-0.00110472559117855,0.00333649582636751,0.00243079468007183,0.00778133649231522,0.00464205170664181,-0.000332985991568084,0.046975827140597,0.0480153455071922,0.0423111800635188,0.0483438927602996,0.0702240025111571,0.0566136933190247,0.127044923360343,0.12898878915527
1150,-2253428.29336038,-0.000272259028970625,-0.000152642197968921,5.64440395378056e-05,9.18725748394923e-05,-0.0162085176620551,0.0117055112946785,-0.000564610136986167,0.00323718769821357,0.00270812564692055,0.00802453883037368,0.00484527995231965,-0.000116388801517943,0.0500897976759352,0.0513741851152948,0.0449180896112811,0.0506297366089098,0.0737568601251098,0.0588779773996295,0.130650464664201,0.13256004280029
1200,-2210036.42343859,-0.000270894909552764,-0.000142143762219931,5.46752397157823e-05,9.12974963856192e-05,-0.0143152990662442,0.01296718137995,1.37479655309075e-05,0.00329991863258688,0.00299994042428799,0.00829199903610704,0.00506508433862441,0.000100819807712372,0.0531251701718841,0.054648603029026,0.0474909795110955,0.0528978193505941,0.0772825513975378,0.0611332452519194,0.134229642383904,0.136107196522351
1250,-2164051.99347629,-0.000268892673809051,-0.000134179697691857,5.31776556700856e-05,9.08252188543684e-05,-0.0125027784095077,0.0140413786513649,0.000616359569710085,0.00347495946987299,0.00330531738538547,0.00858085873235795,0.00530066604170032,0.000318796994853339,0.0560879898503478,0.0578365485820711,0.0500321406436641,0.0551491339614021,0.0807928014209001,0.063380108370182,0.137784688074939,0.139632214705935
1300,-2115879.78875309,-0.000265973040006346,-0.000128042756139319,5.19150958191316e-05,9.04424849498461e-05,-0.0107678628591286,0.0148508955482588,0.00123382423910473,0.00373027130999396,0.00362347925418093,0.00888877346967625,0.00555130552626601,0.000537678769202913,0.0589840858995034,0.0609398712313912,0.05254367259039,0.0573846146247163,0.0842826298398919,0.0656191132111466,0.141317547472729,0.143136823580222
1350,-2065891.01840386,-0.000261719508909679,-0.000123253661069306,5.08571797871399e-05,9.01381524399689e-05,-0.00910917690257282,0.0152672284108635,0.00185975344191445,0.0040444679224502,0.00395376229621466,0.00921379778464639,0.00581635291501073,0.000757584450799557,0.0618188542898029,0.0639623058858164,0.0550274959284058,0.0596051343583383,0.0877491393366573,0.0678507498970152,0.144829928056097,0.146622548421726
1400,-2014425.50504098,-0.000255496544211173,-0.000119478438173981,4.99782334938876e-05,8.99027985075908e-05,-0.00752741709728005,0.0150744812434742,0.00248977408144951,0.00440284014227093,0.0042955931745211,0.009554300313478,0.0060952193902927,0.000978619943811831,0.0645971987282978,0.066908427898184,0.0574853664080155,0.0618115056652407,0.0911907719596875,0.0700754595587746,0.148323336982532,0.150090743729767
1450,-1961793.75303562,-0.000246307902782895,-0.000116478679479272,4.92564250593257e-05,8.97284078208918e-05,-0.00602593785072948,0.0139052266218277,0.00312088621877729,0.00479501012757195,0.00464847131322734,0.00990890009839587,0.00638736963852619,0.00120088019006201,0.0673235394528436,0.069783099931175,0.0599188894608893,0.0640044828912366,0.094606840539982,0.072293640554159,0.151799111668543,0.153542617916545
