PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,-6.38601861472403e-11,-6.63393297020543e-06,-9.33326247349329e-06,0.00014486313629663,0.000153800013481813,0.087756404491488,0.0778431072813272,0.0400190148394261,0.0357974364128309,0.0337333464321388,0.0480681426985949,0.040800113352502,0.0430177059054696,0.0865198520897581,0.0709130675641371,0.0781547224482657,0.087573880387534,0.129618154112499,0.0921349089506846,0.165843746450432,0.171059769972062
1050,-5.80136812804584e-11,-5.60824315670109e-06,-7.74390672647875e-06,0.00014690827827479,0.0001563872748226,0.0919457759789674,0.0813564096502552,0.0436380385815502,0.0382160803366379,0.0355956534228554,0.0501744488002136,0.0428101464540268,0.0456660158892619,0.0913383989842521,0.0778871402203146,0.0815558656752414,0.0903518278005045,0.135149667585549,0.0949950839851011,0.170286002038451,0.175407841091086
1100,-5.25855907096217e-11,-4.73028843426425e-06,-6.31145214806428e-06,0.00014896060495374,0.000158954018485153,0.09602390054093,0.0848131126342501,0.0471830171726539,0.0406128772893694,0.0374437477964424,0.0522854779308012,0.0448146557669167,0.0483001345515214,0.0960542827698407,0.0846633948243485,0.0849094187648241,0.0931019338012886,0.140614073361442,0.0978421580127604,0.174702717170286,0.179731457841875
1150,-4.75662697854186e-11,-3.9701148788005e-06,-5.01080285678657e-06,0.000151013533724493,0.000161497006075705,0.0999982372268114,0.0882126924746623,0.0506587038562225,0.0429889962419229,0.0392774959711955,0.05440011302291,0.0468128070748349,0.0509203273097589,0.100675425266253,0.091256536297294,0.0882194929328,0.0958264616887763,0.146015788453275,0.100677066728994,0.179096398058252,0.18403303927054
1200,-4.29418167770244e-11,-3.30526451178088e-06,-3.82202609017876e-06,0.000153061689774202,0.000164013634752613,0.103875488980599,0.0915556616654946,0.0540692429446224,0.0453454730509058,0.0410968103543205,0.056517394126097,0.0488038913592737,0.0535268335780095,0.105208780292303,0.0976794603895882,0.0914896785392323,0.0985273897716638,0.151358937385802,0.103500627775045,0.183469228415599,0.188314695297019
1250,-3.86952598884406e-11,-2.71859768535503e-06,-2.72909222742437e-06,0.00015510065746611,0.000166501804050673,0.107661680465972,0.0948431397433277,0.0574182793057093,0.0476832300440744,0.0429016410159215,0.0586364908526667,0.0507873045499538,0.0561198713586471,0.109660483892444,0.103943542295559,0.09472312947394,0.101206457376722,0.156647329113723,0.106313559908234,0.187823122760792,0.192578277397856
1300,-3.48075230314161e-11,-2.19682567607186e-06,-1.71896543211778e-06,0.000157126789491941,0.0001689598135973,0.111362234548584,0.0980765895110703,0.06070904345614,0.0500030922845684,0.0446919690418789,0.060756680628392,0.052762531113397,0.0586996408255062,0.114035977140275,0.110058870668207,0.0979226311337504,0.103865201934988,0.161884459749932,0.109116498428363,0.192159769126376,0.196825419304534
1350,-3.12582053874149e-11,-1.72949915559474e-06,-7.80936499382189e-07,0.000159137058827126,0.00017138628378633,0.114982043019893,0.101257653064718,0.0639444186524178,0.0523058011193533,0.0464678011789172,0.0628773313338506,0.0547291306476513,0.0612663271557683,0.118340107128238,0.116034438752073,0.101090655672424,0.106504989143173,0.167073528133954,0.111910007705182,0.196480663606802,0.201057569989201
1400,-2.80262047632434e-11,-1.3082966398134e-06,9.38739289494862e-08,0.00016112894278319,0.000173780093709562,0.118525530009356,0.104388049314556,0.0671269944636751,0.0545920255090867,0.048229165485088,0.0649978873099655,0.0566867268521245,0.0638201027940359,0.122577210519312,0.121878301588318,0.104229407276734,0.109127037695186,0.172217457176907,0.114694591437334,0.20078713855025,0.205276020628342
1450,-2.50902103885923e-11,-9.26514763441176e-07,9.12890325327157e-07,0.000163100331397099,0.000176140332198105,0.121996707903578,0.107469510055347,0.0702591100363005,0.0568623715431484,0.049976107770368,0.0671178579718291,0.058634998389464,0.0663611292814658,0.126751183081102,0.127597706178824,0.10734085955216,0.11173243971553,0.177318917143196,0.117470701118783,0.205080385749685,0.209481926817769
1500,-2.24290870344171e-11,-5.78697083689797e-07,1.68236881013054e-06,0.000165049454462485,0.000178466258918968,0.125399226215545,0.110503740532443,0.0733428893900411,0.0591173904660517,0.0517086886638883,0.0692368084665836,0.060573671266414,0.068889558747678,0.130865537886235,0.133199199943443,0.110426786611471,0.114322177760527,0.182380348817822,0.120238743076118,0.209361475662443,0.213676327008725
1550,-2.00221690742747e-11,-2.60359702523637e-07,2.40761861195939e-06,0.000166974822975134,0.000180757273252791,0.128736414096164,0.113492395730515,0.0763802704782563,0.0613575854784996,0.0534269811823569,0.0713543519490378,0.0625025124430915,0.0714055351382982,0.134923454295158,0.138688721631629,0.113488789096698,0.116897139056525,0.187403985510545,0.122999084356939,0.213631373448398,0.217860157911392
1600,-1.78494803010105e-11,3.22143224974229e-08,3.09317503251238e-06,0.000168875181821256,0.000183012889242475,0.132011317243442,0.116437066817323,0.0793730293140431,0.0635834175257605,0.055131068702493,0.0734701431492601,0.064421324442563,0.0739091952331416,0.138927819398813,0.144071677957968,0.11652831609349,0.119458127496893,0.192391873411268,0.125752057687461,0.217890952439096,0.222034267445565
1650,-1.58918928909524e-11,3.02130954498971e-07,3.7429358474749e-06,0.000170749471305867,0.000185232715314399,0.135226729939063,0.11933927416034,0.0823228001529363,0.0657953102455782,0.0568210432615038,0.0755838729806488,0.0663299407802697,0.0764006694970489,0.142881263258351,0.14935300854849,0.119546683691748,0.122005873808182,0.197345890125188,0.128497965670592,0.222141005516877,0.226199425692901
1700,-1.41312368264592e-11,5.52004874956324e-07,4.36026984077458e-06,0.000172596795684447,0.00018741643777805,0.138385222878078,0.122200464585089,0.0852310924950732,0.0679936542155205,0.0584970041257209,0.0776952639924509,0.0682282220695164,0.0788800827958072,0.146786189013905,0.154537241258385,0.122545090789857,0.124541044210795,0.202267761387959,0.131237084360084,0.226382254781826,0.230356334209866
1750,-1.25503693009719e-11,7.84052315022527e-07,4.94810388738962e-06,0.000174416397281625,0.000189563807336569,0.14148916738051,0.125022011344689,0.0880993055006118,0.0701788106138405,0.0601590565798237,0.0798040665125772,0.0701160526876841,0.0813475550024291,0.150644798726726,0.159628539513295,0.12552463261938,0.127064247834034,0.207159076050733,0.133969666318901,0.23061535980699,0.23450563398736
1800,-1.11332120997087e-11,1.00016375676619e-06,5.50899336874025e-06,0.000176207635096275,0.000191674628011213,0.144540756496361,0.12780521578919,0.0909287402851089,0.0723511143872434,0.0618073108985807,0.081910055358497,0.0719933379100389,0.083803201513675,0.154459115655382,0.164630743007096,0.128486312373563,0.129576043094502,0.212021299467481,0.136695943248686,0.234840924722459,0.238647912286434
1850,-9.86476363984071e-12,1.2019613872993e-06,6.04517952491491e-06,0.000177969967031243,0.000193748748012092,0.147542023443821,0.130551310063867,0.0937206104649955,0.0745108770023309,0.0634418814704372,0.0840130270185668,0.073860001435489,0.0862471336925899,0.158231003537156,0.16954740283795,0.131431051249889,0.132076943207073,0.216855785432728,0.139416128260604,0.239059504322387,0.242783708535398
1900,-8.73109123656957e-12,1.39084488752168e-06,6.55863648517346e-06,0.000179702935068337,0.00019578605218641,0.150494857756498,0.133261460391245,0.096476051249141,0.0766583888441024,0.0650628860480783,0.0861127972252194,0.0757159832424793,0.0886794592496603,0.161962183342625,0.174381811965581,0.134359697159272,0.134567420966288,0.221663786818645,0.142130417844734,0.243271609352464,0.246913519438874
