PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,-19923781716.5727,-0.000818454206795174,-0.00410852167094777,-2.02770781918399e-05,-5.79583695957625e-06,-0.0468899095806653,0.00294524029817857,0.0412442534729415,0.0900321376968814,-0.00161400837434255,0.00273758630969191,-0.000410024828184338,-0.00315712347506338,0.0134368422398272,0.0169145706558754,0.0194753232419763,0.0241292275374468,0.0327958087207263,0.0323319319502562,0.101174034462702,0.102491754055645
1050,-20032801543.6336,-0.00081684741932931,-0.00163615524757951,-3.35084406891455e-05,-1.2950827390474e-05,-0.044736746305359,0.00432100167941319,0.0694315270824341,0.103987157048922,-0.00173466206378218,0.00240701328642178,-0.000520448629006064,-0.00300438029502705,0.0149695125043585,0.0192759922891014,0.0215793683199506,0.0259903215772061,0.0346998988287953,0.0341653571205249,0.104518512238271,0.105799245694856
1100,-20104347906.3665,-0.000815173650080946,-0.000756335833723131,-4.54671640719582e-05,-1.96812107510271e-05,-0.0426819683264095,0.00561496845636298,0.0734394890731267,0.0837057056484033,-0.00182311271241956,0.00215244603915169,-0.000613265233906299,-0.00285152749113193,0.0180140735069413,0.0211193514987198,0.0236651117315707,0.0278491914387261,0.0368330153529409,0.0359912037632607,0.10782504666693,0.109074837870167
1150,-20140823042.4036,-0.000813426562000464,-0.000438627577732974,-5.63415753730039e-05,-2.60423631853665e-05,-0.0407170808900872,0.00683137026877971,0.0577417987075917,0.0574642403542652,-0.00188454173535281,0.00195974596899379,-0.000689911720965027,-0.00269867920379398,0.021746395264898,0.0233409074048624,0.0257306948374403,0.0297035301008868,0.039101347973017,0.0378098962872937,0.111097522179681,0.112321432354067
1200,-20144521195.32,-0.00081159907016023,-0.000306738964401788,-6.62845980812415e-05,-3.2079774968146e-05,-0.0388347041641178,0.00797338516836365,0.0403601493488705,0.0387637047345363,-0.00192289941496797,0.00181820312869356,-0.000751616906148832,-0.0025459160881555,0.0255638325878172,0.0260349760192043,0.027775277060678,0.0315518137150427,0.0414490674657021,0.0396218428725664,0.114339204718658,0.115541524938936
1250,-20117632454.0908,-0.000809683247740305,-0.000246502575850847,-7.54216309193452e-05,-3.78311247615636e-05,-0.0370283947506602,0.00904321886752772,0.027422280230482,0.0268974160722245,-0.00194124957327979,0.00171955293726456,-0.00079943616042938,-0.00239329359572672,0.0292001900756935,0.0289718748086342,0.0297986592601955,0.0333930553491659,0.0438416907535058,0.041427430525591,0.117552869658438,0.118737278915402
1300,-20062246483.4867,-0.000807670216771174,-0.000217827445934381,-8.38564213123909e-05,-4.33278573251765e-05,-0.0352925027279817,0.0100421496471411,0.018616414392246,0.0193470842290276,-0.00194200470021648,0.00165731203110094,-0.000834280490448303,-0.00224084825195814,0.0325832538115152,0.0319747962743825,0.0318010458158106,0.0352266401764622,0.0462573073045946,0.0432270229099929,0.12074089776687,0.121910582434316
1350,-19980356147.7623,-0.000805550021128846,-0.000204493438241949,-9.16755033204131e-05,-4.8596397613771e-05,-0.0336220562457813,0.0109705424053856,0.0126673502711804,0.0143953446287296,-0.00192709004328221,0.00162631915947691,-0.00085694039782731,-0.00208860236887866,0.0357199767019438,0.0349539654410406,0.0337828918076839,0.0370522132757564,0.0486817039768674,0.0450209598341537,0.123905348417671,0.125063093860428
1400,-19873861029.9574,-0.000803311478732613,-0.000199166764528605,-9.89515923297916e-05,-5.36590950729275e-05,-0.0320126677441258,0.011827833338697,0.00859078014602677,0.0110417515348269,-0.00189806047245777,0.00162241115007022,-0.00086810533849904,-0.00193656757346768,0.0386414387606516,0.037870143202768,0.0357448036040603,0.0388696021179306,0.0511055340187724,0.0468095577100259,0.127048016296807,0.12819627804353
1450,-19744570849.1025,-0.000800942009239457,-0.000198235595601577,-0.000105746211095488,-5.8534965304453e-05,-0.0304604573387376,0.0126124849981689,0.00574952329265977,0.00870816624212063,-0.00185618524558064,0.00164218987498577,-0.000868379592959419,-0.00178474745170931,0.0413815990636447,0.0407083965030245,0.0376874736295307,0.0406787623367055,0.0535226103263272,0.0485931105595271,0.13017047592275,0.131311435626729
