PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,-500578378191.131,-0.00119864566400317,-0.00103667728699019,-3.5047751532406e-05,-5.82008167368522e-05,-0.0569523124337019,0.00208082994980375,-0.0155306963198644,0.0120950001508773,-0.00138418140120028,0.00320540602118809,-0.00121491883630972,-0.0037161158562681,0.0142362142142177,0.00154238351848343,0.0133186321549908,0.0169759956995752,0.0236939368033504,0.0245650785233795,0.0932981825062031,0.0944003395049122
1050,-506818795660.507,-0.00119715582193856,-0.00121848898416865,-5.75257666921593e-05,-6.99381714280118e-05,-0.054792680674432,0.00345268503458587,-0.00479594304182988,0.0260317913160985,-0.00169682717010844,0.0025665114364165,-0.00139369148790576,-0.00357299587027758,0.0125335383990095,0.00506766218414425,0.0151292384704058,0.0185879107366409,0.024664777755041,0.0262112842034284,0.0965291924696971,0.0975859069492977
1100,-512178623458.893,-0.00119562310957217,-0.00140710550479625,-7.78932018213713e-05,-8.10354604565317e-05,-0.0527309458807061,0.00474783773390961,0.0120600506077913,0.0483848274582237,-0.00195210004108726,0.00205398964672823,-0.00155093776620441,-0.00342720983084287,0.0102241950976475,0.00800936890102862,0.0169459479053852,0.0202164623326764,0.0260791506322655,0.0278520845285887,0.0997176051742829,0.100737536439821
1150,-516700483901.019,-0.00119404509877985,-0.00119762803826326,-9.6470416192218e-05,-9.15764298584786e-05,-0.0507585385213058,0.00597158308518718,0.0381900191301264,0.0810923192827653,-0.0021613369394473,0.00164164847797859,-0.00168925492793669,-0.00327947549164766,0.0084051151656978,0.0101756505851741,0.0187609030305867,0.0218552860314611,0.0277576599132657,0.0294875653655041,0.102868110227075,0.103858414283039
1200,-520425546009.204,-0.00119241915176127,-8.46038767491744e-05,-0.000113515872724647,-0.00010162975381416,-0.0488679946257059,0.00712835963545344,0.0741371876334652,0.114767789141846,-0.00233292887892742,0.00131013137537814,-0.00181072890032985,-0.00313031916987269,0.008270566604611,0.0116766381757935,0.0205690307682615,0.0234998645425123,0.0295971781885739,0.0311178692457511,0.105984592811255,0.106951260383754
1250,-523393563154.531,-0.00119074240623785,0.000437596599496363,-0.000129240283893032,-0.000111252228967246,-0.0470527760766297,0.00822186660915123,0.108703390264115,0.12419017360047,-0.00247321269072297,0.00104483745525933,-0.0019170578834279,-0.00298013191110934,0.0101885394999353,0.0132124571009513,0.022367072783005,0.025146960166401,0.0315355650332085,0.0327431719569837,0.109070311684177,0.110018416825741
1300,-525642909987.188,-0.00118901175844426,0.000394022331408656,-0.000143817065134573,-0.00012049119518252,-0.0453071262550254,0.00925515488064095,0.120114022216033,0.104358353804522,-0.00258705901576677,0.000834551061224423,-0.00200964195159443,-0.00282920750282169,0.0135877562084037,0.015465958716632,0.0241529750237522,0.0267942369452307,0.0335339494658133,0.0343636672190344,0.112128030020091,0.113061916052971
1350,-527210618663.772,-0.00118722384379651,0.000270233733463386,-0.000157390169989385,-0.000129386392255683,-0.0436259530348397,0.0102306971806296,0.105228370621448,0.0771983607428677,-0.00267827015879922,0.000670516094065207,-0.00208964864737681,-0.00267776870134147,0.0176412665888001,0.0184016071089458,0.0259254938322693,0.0284400038437997,0.0355672887298861,0.0359795566351205,0.115160113385666,0.116083534104526
1400,-528132414379.474,-0.00118537501506962,0.000163124437193535,-0.00017008003913314,-0.000137971399729104,-0.0420047331650837,0.01115044149314,0.0812520849760067,0.0555119954648272,-0.00274985554362097,0.000545796627445458,-0.00215806161703801,-0.00252598564952643,0.021765763676699,0.0216345012498799,0.0276839364000706,0.0300830369631096,0.0376190774535855,0.0375910431272931,0.118168604330002,0.119084832714368
1450,-528442750213.006,-0.00118346131786938,7.95266054377508e-05,-0.000181988171002773,-0.000146274764726146,-0.040439433543662,0.012015850523338,0.0599574059357213,0.0404654159116592,-0.00280422638565079,0.00045482626068151,-0.00221571717130342,-0.00237398902114573,0.0256796111389558,0.0248872796915227,0.0294279866616751,0.0317224544477673,0.0396782526667753,0.0391983266957167,0.121155280023194,0.122067192990061
