PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,-1662254623382.37,-0.00137465289521623,-0.000783965719370492,-2.93567196252102e-05,-7.90748686246877e-05,-0.0609706773393211,0.00177341232960709,-0.023878778512879,0.00221493530193092,-0.000919946679773893,0.00389321280219747,-0.00140535864813359,-0.00389913001927061,0.0149693659060165,-0.00415141299380256,0.011173705655097,0.0144140384940638,0.0208795291667761,0.0216038078704237,0.0901238250169443,0.091159976120325
1050,-1687325984918.35,-0.00137328722949122,-0.00081824086760015,-5.70924228910749e-05,-9.31642654688729e-05,-0.0588081994664372,0.00314481249220619,-0.0175701525465735,0.00957462953171079,-0.00134453627980239,0.00307996524986939,-0.00161412720562371,-0.00376316884805318,0.0142710148463374,-0.000545549557410011,0.0128448008257656,0.0159071205808033,0.0213700549159621,0.0231762401505488,0.0933156423882414,0.0943002800398526
1100,-1709590789476.48,-0.00137188495731753,-0.000826978534870597,-8.22095664290794e-05,-0.000106495226972875,-0.0567434799498989,0.00444087210931952,-0.00843532033906408,0.0208206590144222,-0.00169298217795595,0.00242559436077674,-0.00179773433737374,-0.00362258896242403,0.0125104646969255,0.00265211615012714,0.014538157209311,0.0174287020151091,0.0224399437112326,0.0247444512265288,0.096462332807069,0.0974055724357864
1150,-1729169881483.13,-0.00137044440989349,-0.000738674589895721,-0.000105111225039161,-0.000119167623816145,-0.0547679335855674,0.00566710170543069,0.00527069570934846,0.0383722606447484,-0.00198136554190762,0.00189579855527123,-0.00195975767294191,-0.00347858116506894,0.00991104154594291,0.00529017927870213,0.0162417046695579,0.0189697308481846,0.0238527500164748,0.0263083278509324,0.0995690475905078,0.100479203529844
1200,-1746180461439.47,-0.00136896378599801,-0.000308640138678987,-0.000126121570879913,-0.00013126327459521,-0.0528740792695446,0.006828185064846,0.0261332097648529,0.0650778681138227,-0.00222142697127827,0.00146549410265769,-0.0021029881134609,-0.00333201055878368,0.00724658982289623,0.00719404407206266,0.017947460803524,0.0205237367141525,0.025474935457017,0.0278678574871503,0.102640024586269,0.103524021599743
1250,-1760736167149.35,-0.00136744114542867,0.000975177057341226,-0.00014550413129107,-0.000142849791107996,-0.0510553601518706,0.00792810072055607,0.0568248226426794,0.100106990644966,-0.00242192533076252,0.00111594334764191,-0.00222963963899526,-0.00318351632359824,0.00570404124916529,0.00837477842245525,0.0196501042170813,0.022086033353477,0.0272271285334694,0.0294230934691516,0.105678796124346,0.106542470611158
1300,-1772947153715.65,-0.00136587440122526,0.00215780193160164,-0.000163475225134827,-0.000153983487318134,-0.0493059991275295,0.00897021793714309,0.0959688769612489,0.129197381339055,-0.00258951974852301,0.000832881930227647,-0.00234149610937873,-0.00303357766354928,0.00616604079949322,0.00936760929572967,0.0213460836698146,0.023653190837525,0.0290601776804955,0.0309741316071985,0.108688340564244,0.1095366648397
1350,-1782920172312.8,-0.00136426131068812,0.00178559053464545,-0.000180213995515007,-0.000164711606966131,-0.0476208816605195,0.00995737273727402,0.130278615593357,0.13065403161827,-0.00272935795293126,0.00060526607024961,-0.00244001523539499,-0.00288255839892407,0.00860582964952604,0.0110351873678445,0.0230330466055466,0.0252226785096552,0.0309426314970936,0.0325210943367537,0.111671194864251,0.112508446768584
1400,-1790758647743.44,-0.00136259946516968,0.0011701890216987,-0.000195870000709213,-0.000175074048512804,-0.0459954599766254,0.0108919280721159,0.13976919454263,0.107949529274921,-0.00284547835412286,0.000424415169840375,-0.00252640333749969,-0.00273073774814081,0.0123180636590957,0.013690490598709,0.0247094639294418,0.0267926186628635,0.0328538369297207,0.0340641199131531,0.114629539641381,0.115459432617042
1450,-1796562754787.27,-0.00136088627859138,0.000752574695533172,-0.000210569027377012,-0.000185104714549747,-0.0444256741272472,0.0117758211879861,0.123392953120332,0.0810626547155006,-0.00294109085183493,0.000283412673675373,-0.00260166996696655,-0.00257833197691776,0.0165355567671892,0.0169626828479501,0.0263743786295421,0.0283616136345704,0.0347799583549822,0.0356033550248393,0.117565264442881,0.118391048576287
