PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,-1.77109229771481e+15,-0.00277523109295962,-0.000963907629247438,0.000708544922381793,-0.000110414523118097,-0.0890504222548824,-0.000110038876216442,-0.0507041700910824,-0.0149303087444292,0.0219717731929999,0.0270371998401037,0.000792199303103594,-0.00360377345446691,0.00897318653843117,-0.0419684485342431,0.00760517957895802,0.00628181585416462,0.0251990449808267,0.00428261746983628,0.0668791682034571,0.0680984395807905
1050,-1.82495824193305e+15,-0.00277584697175133,-0.000972568878434058,0.00057028536047277,-0.000157472492699228,-0.0868671556910061,0.00125838726698198,-0.0492059861493967,-0.0139930777016745,0.0169389320450714,0.021847353240603,-0.00024443632778795,-0.00383923060150094,0.0108477777602361,-0.0381472513153583,0.00649519773975379,0.00579523910243259,0.0155045820085614,0.00532573551121068,0.06999784765445,0.0710319982842132
1100,-1.87705682295732e+15,-0.00277645032137011,-0.000979391271380532,0.000448202093077275,-0.000201598042696164,-0.0847811445722613,0.00255609796240959,-0.0476580767930356,-0.012985925027691,0.0131903319956669,0.0178363359537289,-0.00109105587150155,-0.00396740035658309,0.0125533405413177,-0.0345106502771549,0.00607065243959689,0.00570267325717235,0.0106306251856805,0.0063868965460994,0.0730265636561426,0.0739119729712683
1150,-1.92741546414961e+15,-0.0027770411114291,-0.000983931658855699,0.000339387455809012,-0.000243217647287386,-0.0827837676793909,0.003789099237395,-0.0460386173435191,-0.011889601501954,0.0103202914669414,0.0146830553396019,-0.00177477244180991,-0.00402187221195629,0.014080897683024,-0.0310481227910665,0.00610034342076179,0.00589553973932784,0.00828378974905073,0.00746157526091607,0.0759797379691139,0.0767451085041836
1200,-1.97606138132327e+15,-0.00277761929492288,-0.000985622803314023,0.000241581919884065,-0.000282676346397706,-0.0808675055386624,0.00496261882430224,-0.0443220432268717,-0.0106802749440745,0.0080696200478014,0.0121655906472665,-0.00233000558881887,-0.00402428077781722,0.0154162504063593,-0.0277523170335833,0.00644023566230032,0.0062994694570498,0.00733849873530525,0.00854642860449963,0.0788685204051489,0.0795368541274778
1250,-2.02302158229333e+15,-0.00277818481010325,-0.000983732048949093,0.000153005659664519,-0.000320256112083393,-0.0790257604290376,0.00608123277751397,-0.0424778076271496,-0.0093280046346864,0.00626786656973647,0.0101284611964194,-0.00278625984131802,-0.00398895260530163,0.0165391092560427,-0.0246191601986084,0.00699725500119481,0.00686227618603054,0.0072145372670224,0.00963895264539251,0.0817016870266787,0.0822916771211904
1300,-2.06832286644546e+15,-0.00277873758201073,-0.000977303603616761,7.22394252373765e-05,-0.000356189482275394,-0.0772527117114133,0.0071489672221675,-0.040468781583362,-0.00779466519695026,0.00479967844333546,0.00846083905177896,-0.00316625481639162,-0.00392564148862878,0.0174219797338239,-0.0216481821253436,0.00770931004755747,0.00754653250067515,0.00759448571184239,0.0107372496995866,0.0844862569600377,0.0850132873218881
1350,-2.11199182432374e+15,-0.00277927752373312,-0.000965076779758991,-1.86116111016614e-06,-0.000390669821765381,-0.0755431984751351,0.00816938086810672,-0.0382491577528353,-0.00603108464677814,0.00358487489690852,0.00708228325298303,-0.00348689681200961,-0.00384116205449785,0.01802882858766,-0.0188431001209094,0.00853382110891985,0.00832486715254471,0.0082949143966905,0.0118398670060364,0.0872279251624743,0.0877048010426483
1400,-2.1540548372373e+15,-0.00277980453744535,-0.000945368369942434,-7.02282311889199e-05,-0.000423859142392584,-0.0738926235366124,0.00914563248716672,-0.035761666030526,-0.00397305365525239,0.00256634883813619,0.00593336735354635,-0.00376068366944483,-0.00374038866063383,0.0183136305567357,-0.0162127350278444,0.00944088587069609,0.00917691165088305,0.00920470160602102,0.012945682900732,0.0899313720710625,0.0903688629001999
1450,-2.19453807688591e+15,-0.00278031851527243,-0.000915900532623734,-0.000133628092739032,-0.000455894131927718,-0.0722968742913481,0.0100805365198559,-0.0329338334793148,-0.00153570459950225,0.0017025240388237,0.00496944933177655,-0.00399690428037334,-0.00362688222805781,0.0182190479474055,-0.0137723538724309,0.0104090690605239,0.0100872712981481,0.0102537966739313,0.0140538251765285,0.092600489165815,0.0930077378312079
1500,-2.23346750500449e+15,-0.00278081934000802,-0.000873544237898451,-0.000192696094587764,-0.00048689085130363,-0.0707522569890935,0.0109766092255738,-0.0296729139694684,0.00139446986332331,0.000962528296224575,0.00415646713138156,-0.00420253719652099,-0.00350329378197259,0.017675784734963,-0.0115455518587923,0.0114227296215484,0.0110441478992083,0.0113965435582045,0.0151636116581305,0.0952385459979313,0.0956233816188198
1550,-2.27086887302685e+15,-0.00278130688571425,-0.000813929020566116,-0.0002479631308509,-0.00051694843010974,-0.069255441789748,0.0118361072359572,-0.0258589641808364,0.00497100531582451,0.000323027688057004,0.00346805459555843,-0.00438289393747274,-0.00337163060350986,0.0166036648011086,-0.00956676952114327,0.0124702777839548,0.0120383863667409,0.0126023463737088,0.0162745063677488,0.0978483157472834,0.0982174956751767
1600,-2.30676772176843e+15,-0.00278178101822301,-0.000730836080656454,-0.000299876015516163,-0.000546152000250602,-0.0678034165452523,0.0126610599573423,-0.0213353427369186,0.00940370219169734,-0.000233897663014074,0.00288353052023601,-0.00454207305538698,-0.00323343575214156,0.0149162926843263,-0.00788442104553138,0.0135430109024541,0.0130628028370076,0.0138502219584971,0.0173860867988616,0.100432170918636,0.100791570117051
1650,-2.34118938112835e+15,-0.00278224159555484,-0.000615231396351405,-0.000348813307765373,-0.000574575044324022,-0.06639344769559,0.0134532969565941,-0.0158956585523933,0.0149815113764204,-0.000722209230502983,0.00238647409424395,-0.0046832805324734,-0.00308991168085513,0.0125322501630657,-0.00656422556777062,0.0146343189625939,0.0141117033550833,0.0151255023104403,0.0184980192139495,0.102992157211922,0.103346918017155
1700,-2.37415896981067e+15,-0.00278268846826851,-0.000453684557783791,-0.000395097722257798,-0.000602281290112347,-0.0650230470040459,0.0142144712273095,-0.00926592811543343,0.0221037583918001,-0.00115292698129524,0.00196370038402472,-0.0048090573096486,-0.00294200697960776,0.00939678940472757,-0.00569133777802343,0.0157391317889712,0.0151805338675705,0.0164177732191393,0.0196100398117095,0.10553005121738,0.105884702919947
1750,-2.40570139506499e+15,-0.00278312147975175,-0.000225710089840009,-0.000439005948506059,-0.000629326249990562,-0.0636899431156861,0.0149460790511847,-0.00108055440830106,0.0313194504874342,-0.00153485243404508,0.00160451295390061,-0.00492144243601465,-0.002790478307557,0.00551766403002355,-0.0053676295111311,0.0168535276671891,0.0162656221762648,0.0177195486724915,0.0207219402375274,0.108047405968656,0.108405961156453
1800,-2.43584135244648e+15,-0.00278354046646186,0.000100833117943305,-0.000480776485085799,-0.00065575848026992,-0.0623920571234882,0.0156494770282076,0.00914889168903829,0.0433668257412885,-0.0018750911859082,0.00130015132236048,-0.00502209137465153,-0.00263593531696571,0.00101446653181665,-0.00569618510932013,0.0179744518514646,0.0173639852720019,0.0190253968293276,0.0218335563420905,0.110545587272222,0.110911620099764
1850,-2.46460332559527e+15,-0.0027839452581231,0.000577923370529566,-0.000520615938709519,-0.000681620617953541,-0.0611274814830419,0.0163258967391348,0.0220711886939,0.0591825384740136,-0.00217943618676017,0.00104337732427136,-0.0051123628097661,-0.00247887371653838,-0.0038306722936528,-0.00673915564632602,0.0190995111972365,0.0184731838007449,0.0203313508124964,0.0229447593930004,0.113025802952058,0.11340251322067
1900,-2.49201158603539e+15,-0.00278433567788673,0.00129222907097929,-0.000558704125887024,-0.000706950239314413,-0.0598944617398313,0.0169764574170296,0.0385324171170983,0.0797921746845414,-0.00245265275027202,0.000828161821457023,-0.00519338310300093,-0.00231969993238064,-0.00855124673466376,-0.00843402495129961,0.0202268223773761,0.0195912109461483,0.0216345035968794,0.0240554491556883,0.115489126596116,0.115879392597562
1950,-2.51809019299319e+15,-0.00278471154245855,0.00239206798152042,-0.000595198233012806,-0.000731780574883694,-0.0586913806306074,0.0176021769359601,0.0595899781668387,0.105878732866467,-0.00269869318999805,0.000649444814322464,-0.00526609471518318,-0.00215874972912862,-0.0125449190331117,-0.0104775271516079,0.0213548983687896,0.0207164067441493,0.0229327245289326,0.0251655484107898,0.117936516994532,0.118342939383528
2000,-2.5428629932354e+15,-0.00278507266219787,0.00413332834910207,-0.000630236230412808,-0.00075614110798926,-0.0575167441981046,0.0182039813701823,0.0864459901656684,0.136711603772219,-0.00292086035703337,0.000502949875019332,-0.00533129299515545,-0.00199630243064611,-0.0152121673474988,-0.0122597683655049,0.0224825626399074,0.0218473913991695,0.0242244578129012,0.0262749985839475,0.120368834171525,0.120793772621081
2050,-2.56635362092674e+15,-0.00278541884119135,0.00693625483888029,-0.000663939691039421,-0.000780058078290245,-0.056369169620728,0.0187827133331711,0.120175006773713,0.168424402789712,-0.0031219336004212,0.00038503922603703,-0.00538965443453444,-0.00183259189447586,-0.0161409248807416,-0.0130019594961661,0.0236088836362405,0.022983012943911,0.0255085772295005,0.0273837562433366,0.122786852701297,0.123232456710287
2100,-2.58858549750725e+15,-0.00278574987730434,0.0113334972470431,-0.000696416130857994,-0.000803554907366622,-0.0552473745091912,0.0193391392703663,0.161034816986576,0.193199169817188,-0.00330426676490445,0.000292599546606287,-0.005441758593292,-0.00166781506363636,-0.0152363163444496,-0.012131358737233,0.0247331243086211,0.0241223058306118,0.0267842800619621,0.028491790278585,0.125191272841162,0.125659507771767
2150,-2.60958183158923e+15,-0.00278606556221232,0.0172695809498483,-0.000727760962509465,-0.000826652560018783,-0.0541501674629463,0.01987395585067,0.207179317744374,0.202591543552455,-0.00346986515028342,0.000222951235539927,-0.0054881052817789,-0.00150213869085991,-0.0127178506980337,-0.00960517094323313,0.0258547029063667,0.0252644579279899,0.0280510087639648,0.0295990796181231,0.127582729897411,0.12807539909682
2200,-2.629365618874e+15,-0.00278636568141418,0.0222029293224557,-0.000758059134414939,-0.000849369852272201,-0.0530764397125978,0.0203877955781979,0.253132025982054,0.194162105111048,-0.00362044647867673,0.000173775743822928,-0.00552912815149373,-0.00133570467031553,-0.00900055626108889,-0.00586079609318451,0.0269731622881599,0.0264087840358251,0.0293083925215129,0.0307056113744772,0.129961802150271,0.130480565838769
2250,-2.64795964208833e+15,-0.00278665001422919,0.0220873093362067,-0.000787386512563832,-0.000871723714990398,-0.0520251577018419,0.0208812317264595,0.289705711735333,0.173316860192729,-0.00375748958839591,0.000143056947279133,-0.00556520554059721,-0.00116863429834105,-0.00454520459962667,-0.00149213939578553,0.0280881457312652,0.0275547044928297,0.0305562032563427,0.0318113793315452,0.132329017596306,0.132875409069997
2300,-2.66538647094067e+15,-0.00278691833377893,0.0177705400905415,-0.000815811050674419,-0.000893729420344175,-0.0509953564850105,0.0213547826812089,0.307579904185813,0.14798864904293,-0.00388227362344667,0.000129033516866476,-0.00559666920145217,-0.0010010317032458,0.000249103140110452,0.00301841591641821,0.0291993777397888,0.0287017277939819,0.0317943222305384,0.0329163827065486,0.134684859714268,0.135260299305817
2350,-2.6816684620972e+15,-0.00278717040695558,0.0130004807212643,-0.000843393785411839,-0.000915400777067384,-0.0499861338349624,0.0218089157649869,0.303157284780874,0.123705833025992,-0.00399590980070178,0.000130159969413443,-0.00562381137973398,-0.000832986625142955,0.00508958400715537,0.00738098829162291,0.0303066487283904,0.0298494363859116,0.0330227145131836,0.0340206251336494,0.137029772419755,0.137635579577865
2400,-2.69682775917769e+15,-0.00278740599437729,0.00934866162476915,-0.000870189686285938,-0.000936750299375009,-0.0489966449715771,0.022244050605372,0.280730298321109,0.102827330973672,-0.0040993673346517,0.000145074619381669,-0.00564689059979809,-0.000664576683447016,0.00978868042482396,0.0114629105585682,0.0314098027320546,0.0309974749976723,0.034241409332446,0.0351241138272448,0.13936416434232,0.140001568125073
2450,-2.71088629277116e+15,-0.00278762485033178,0.0068078037587144,-0.00089624838427679,-0.00095778935357061,-0.048026097834066,0.0226605620997436,0.248647379196392,0.0857601775493397,-0.00419349472897443,0.000172573054508514,-0.00566613642657395,-0.000495869237606027,0.0142420985266999,0.0152273449016562,0.0325087274945595,0.0321455410065568,0.035450484871358,0.0362268588915059,0.141688412533664,0.142358560758455
2500,-2.72386578047141e+15,-0.00278782672270867,0.00505290748219773,-0.000921614798810596,-0.000978528285683885,-0.0470737488311754,0.0230587830216181,0.214327739830217,0.0720952637016953,-0.00427903736800714,0.000211586061609585,-0.00568175341164946,-0.000326922922687681,0.0184031687569421,0.0186855872060148,0.033603346438477,0.0332933764467618,0.0366500564451789,0.0373288727494094,0.144002865695752,0.144706832946502
2550,-2.73578772693244e+15,-0.00278801135292129,0.00381496661992971,-0.000946329679175693,-0.000998976532921442,-0.0461388990124959,0.023439006307077,0.182202899029256,0.0612125019118274,-0.00435665213364651,0.000261161159508626,-0.00569392438438098,-0.000157788923394721,0.0222613504759731,0.021868591333953,0.0346936121321547,0.0344407613515055,0.0378402672706462,0.0384301696697539,0.146307847001926,0.147046641660264
2600,-2.74667342394366e+15,-0.00278817847581831,0.00291634014758358,-0.00097043007363306,-0.00101914272125836,-0.0452208906118154,0.0238014870542568,0.154117904380494,0.0525233088406383,-0.0044269196159165,0.00032044707277052,-0.00570281321354346,1.14879636187401e-05,0.0258267763635877,0.0248123463918776,0.0357795009542184,0.0355875081830337,0.0390212812349329,0.0395307653747935,0.148603656571393,0.149378227010917
2650,-2.75654395052502e+15,-0.00278832781958582,0.00224496966490112,-0.000993949737188586,-0.00103903475112485,-0.0443191039199927,0.024146444264141,0.130398533229792,0.0455411312081727,-0.00449035436531272,0.000388680616243319,-0.00570856713818366,0.000180868439746605,0.0291201302368355,0.02755127255414,0.0368610087209312,0.0367334571544932,0.0401932772166947,0.0406306767144048,0.15089057364726,0.151701813707486
2700,-2.76542017304198e+15,-0.00278845910563997,0.00172987442692055,-0.00101691948714045,-0.00105865987283484,-0.0434329544503959,0.024474062346844,0.110681602964899,0.0398854080342208,-0.00454741354260049,0.000465175566311052,-0.00571131874577104,0.000350317955448078,0.0321664553383328,0.0301157419731037,0.0379381470914145,0.0378784722863369,0.0413564446183653,0.0417299213953226,0.153168858520009,0.154017612358144
2750,-2.77332274534035e+15,-0.00278857204851057,0.00132516517427221,-0.00103936751400518,-0.00107802475314896,-0.0425618903646974,0.0247844924140856,0.0943794133450035,0.0352650567511939,-0.00459850425012172,0.000549313177548615,-0.00571118765986956,0.000519806077261089,0.0349915934187877,0.0325315405644543,0.0390109406040807,0.0390224380703274,0.0425109798483769,0.0428285177560747,0.155438754231527,0.156325820635003
2800,-2.78027210890098e+15,-0.00278866635571592,0.00100041670216731,-0.00106131965419116,-0.00109713553415349,-0.0417053901308779,0.0250778533755413,0.0808936191646179,0.0314589318216166,-0.0046439897727986,0.000640534068595841,-0.00570828198722243,0.000689305950694009,0.0376202797204742,0.034820152510018,0.0400794242274032,0.0401652566382233,0.0436570835516686,0.0439264845799339,0.15770048808926,0.158626624319394
2850,-2.78628849301431e+15,-0.00278874172762882,0.000734933131237182,-0.00108279962977379,-0.00111599788546098,-0.0408629603887827,0.0253542328541248,0.0696960218371544,0.0282988168573933,-0.00468419491316453,0.000738331252601508,-0.00570269956449638,0.00085879384273286,0.0400752331587662,0.0369993309614702,0.0411436413314198,0.0413068453513174,0.0447949584319756,0.0450238409395662,0.159954273015529,0.160920198242202
2900,-2.79139191497466e+15,-0.00278879785733407,0.000514289782275378,-0.00110382925988979,-0.00113461705059135,-0.0400341340015744,0.0256136879329594,0.0603482230227748,0.0256560645970674,-0.00471941057011651,0.000842244128595307,-0.0056945290373388,0.00102824875075003,0.0423768197790448,0.0390837141846561,0.0422036420046448,0.0424471347422337,0.0459248075437555,0.0461206060681583,0.162200308753225,0.163206707131765
2950,-2.7956021802945e+15,-0.00278883443047743,0.000328204342090047,-0.00112442864757548,-0.00115299788826879,-0.0392184682740158,0.025856245744769,0.0524967009462639,0.0234315435528924,-0.00474989768357084,0.000951853282953705,-0.0056838507983879,0.00119765206702523,0.044543030608814,0.041085389754872,0.0432594816555068,0.0435860667526202,0.047046832957935,0.0472167992527065,0.164438782945995,0.165486306380138
3000,-2.79893888293834e+15,-0.00278885112510612,0.000169195502803275,-0.0011446163452976,-0.00117114490926605,-0.0384155433207645,0.0260819039126209,0.0458600017554795,0.0215482079271364,-0.0047758906452294,0.00106677597650806,-0.00567073780608475,0.00136698729002783,0.0465896199572012,0.0430143758174902,0.0443112198488965,0.044723593220238,0.0481612347259609,0.0483124397458814,0.166669872108406,0.167759142737077
3050,-2.80142140557645e+15,-0.00278884761150077,3.17177726964126e-05,-0.00116440950194517,-0.00118906230934027,-0.0376249605698022,0.0262906308493401,0.0402149812441628,0.0199456378100682,-0.00479760025802114,0.0011866622141643,-0.00565525630229759,0.00153623977516795,0.0485303152913322,0.0448790173110097,0.0453589193375545,0.0458596745769304,0.0492682100823795,0.0494075466934863,0.168893742499362,0.170025354939825
3100,-2.80306891985836e+15,-0.0027888235519989,-8.8409259944243e-05,-0.00118382399364839,-0.00120675399872984,-0.0368463413878172,0.0264823659214646,0.0353846032709148,0.0185760240668981,-0.00481521631254669,0.0013111913112142,-0.00563746644367722,0.00170539651898159,0.0503770491396751,0.0466863062141141,0.0464026452553596,0.046994278725456,0.0503679528384334,0.0505021390750197,0.171110550910242,0.172285074285798
3150,-2.80390038670604e+15,-0.00278877860080974,-0.00019438545566768,-0.00120287454045323,-0.00122422362861905,-0.0360793258158363,0.0266570194822844,0.031227923246106,0.0174012026292534,-0.00482890983731087,0.00144006888463832,-0.00561742285915854,0.00187444597173593,0.0521401867285981,0.0484421380099561,0.0474424644454799,0.0481273800684744,0.051460652928782,0.0515962356552596,0.173320445377629,0.1745384251543
3200,-2.80393455662665e+15,-0.00278871240382039,-0.000288694331277672,-0.00122157481059516,-0.00124147461492351,-0.0353235714046895,0.026814472777287,0.0276321601444352,0.0163904498204794,-0.0048388350701255,0.00157302420926686,-0.00559517514398609,0.0020433778742731,0.0538287365260134,0.0501515162915108,0.0484784449011178,0.0492589586673253,0.0525464960810131,0.0526898549451269,0.175523565829206,0.176785525482684
3250,-2.80318997004512e+15,-0.00278862459839311,-0.0003732879192353,-0.00123993751387534,-0.00125851015970321,-0.0345787521410231,0.0269545777241989,0.0245065314037981,0.0155188310868246,-0.00484513119037269,0.00170980788817921,-0.0055707682989761,0.00221218311559108,0.0554505384703442,0.0518187159169863,0.049510655300449,0.0503889995118241,0.0536256635835975,0.0537830151703612,0.177720044670271,0.179026487201695
3300,-2.80168495765611e+15,-0.00278851481315367,-0.000449718292961522,-0.00125797448543847,-0.00127533327047106,-0.0338445574555694,0.0270771565687385,0.0217774955252203,0.0147659542512005,-0.00484792384549861,0.00185018979458131,-0.00554424312235888,0.00238085360822072,0.0570124288065183,0.0534474133249281,0.050539164620509,0.0515174918852552,0.0546983321326878,0.0548757342467776,0.179910007317363,0.181261416634148
3350,-2.79943764079569e+15,-0.00278838266777055,-0.000519232601861034,-0.00127569676107781,-0.00129194677763081,-0.0331206913062522,0.0271820014161785,0.0193850884478893,0.0141150204237366,-0.00484732649989446,0.00199395724891433,-0.00551563656041681,0.0025493821789187,0.0585203825820855,0.0550407909299465,0.0515640418173567,0.0526444288111967,0.0557646737419457,0.0559680297610663,0.182093572684659,0.183490414860635
3400,-2.79646593183238e+15,-0.00278822777272469,-0.000582842725627804,-0.00129311464504544,-0.00130835335024919,-0.0324068713294786,0.0272688736378239,0.017280098505411,0.0135520955590426,-0.00484344163000369,0.00214091340037071,-0.00548498202219781,0.00271776247257935,0.0599796358399382,0.0566016210765533,0.0525853555619568,0.0537698065708528,0.0568248557026126,0.0570599189562557,0.184270853628148,0.185713578055497
3450,-2.79278753457772e+15,-0.00278804972906982,-0.000641377003050828,-0.00131023777121903,-0.00132455551034214,-0.0317028280536458,0.0273375031505507,0.0154218806914509,0.0130655468481747,-0.00483636178590573,0.0022908757865205,-0.00545230966280584,0.00288598886758561,0.0613947898895915,0.0581323338508027,0.0536031740229619,0.0548936242812702,0.0578790405834666,0.0581514187211018,0.186441957351905,0.187930997795953
3500,-2.78841994471617e+15,-0.00278784812818282,-0.000695519119657846,-0.00132707515836806,-0.00134055564583324,-0.0310083041694932,0.0273875875665862,0.0137766577755149,0.0126456032246879,-0.00482617053663216,0.00244367504854601,-0.00541764663912001,0.00305405640108453,0.0627699000444146,0.0596350721123884,0.054617564689013,0.0560158835262407,0.0589273862622662,0.0592425455827729,0.188606985780359,0.190142761346928
3550,-2.78338045025439e+15,-0.00278762255150403,-0.000745837674255018,-0.00134363526016944,-0.00135635602232363,-0.0303230538524631,0.0274187912097534,0.0123161927823145,0.0122840100590124,-0.00481294331396542,0.00259915378277279,-0.00538101734124901,0.00322196070289466,0.0641085510490829,0.0611117363747559,0.0556285942243593,0.0571365880328889,0.0599700459818609,0.0603333157023001,0.190766035899914,0.192348951923874
3600,-2.77768613198971e+15,-0.00278737257026723,-0.000792808895914237,-0.00135992601054217,-0.00137195879379631,-0.0296468421327075,0.0274307439934205,0.0110167457005411,0.0119737558831448,-0.00479674816736417,0.00275716551187634,-0.00534244360256852,0.00338969793693895,0.0654139211866054,0.0625640215884608,0.0566363283525912,0.0582557433879506,0.061007168425429,0.0614237448723416,0.19291920007295,0.194549648935598
3650,-2.77135386399784e+15,-0.00278709774521885,-0.000836834269695737,-0.00137595486480113,-0.00138736601236384,-0.0289794443087985,0.0274230401543936,0.0098582486996397,0.0117088546146177,-0.00477764644088617,0.00291757376142064,-0.00530194489080237,0.00355726474925331,0.0666888368004952,0.0639934474389523,0.0576408317640965,0.0593733567885981,0.0620388978063386,0.0625138485168792,0.195066566326856,0.196744928208911
3700,-2.7644003141397e+15,-0.00278679762632616,-0.000878254337411644,-0.00139172883707061,-0.00140257963715541,-0.0283206454015748,0.0273952368359434,0.00882365018665562,0.0114841708538211,-0.00475569338147962,0.00308025122931715,-0.00525953848227961,0.0037246582217539,0.0679358187225034,0.0654013834257453,0.0586421680435363,0.0604894368233878,0.0630653739689767,0.0636036416925196,0.197208218620479,0.198934862196739
