PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,-0.699555234307754,6.20982694329105,0.128900382229449,-0.0569668915485946,-0.0425368479069267,-1.17982581135848,-1.28754659879057,0.00835184996206781,0.0349475735021179,0.0467384116154223,0.063175606137635,0.446775696489545,0.411379211277769,0.377078495658426,0.372021865148564,0.607524332657064,0.525283223294957,0.31907790043485,0.320178929726035,0.534378086673671,0.670953364345898
1050,-5.62853536996186,5.49976969620586,0.09925975875177,-0.0567966749811101,-0.0388268891508981,-1.09305421813389,-1.18276884040411,0.0242094187730308,0.0468902043763439,0.0634563992148282,0.082773194426808,0.496666870670718,0.429935902068547,0.397797384177601,0.392620044661123,0.579771410872599,0.505058416365508,0.0511536961916706,0.0844116391878393,0.535122364923091,0.649994767884357
1100,-10.295614621991,4.87614050800997,0.073960544592605,-0.0558919088242696,-0.0345563407790757,-1.01104247201057,-1.08545473390986,0.0406559519668892,0.060136477524986,0.0804718928264761,0.101817606651746,0.539662075997397,0.44711364310783,0.417751877014937,0.412504045476436,0.557856097258619,0.490010513420462,0.251382281811614,0.104948131841169,0.538588319709984,0.635389155317702
1150,-14.5261154442762,4.32757676636836,0.0524059093316609,-0.0543282839661737,-0.0297837131789274,-0.933261505245495,-0.994731305799699,0.0575717984793582,0.0744255784768993,0.0976626615292287,0.12036040519656,0.576962022472917,0.463128098490861,0.436957332556279,0.431682083324179,0.541424775239869,0.479751618609862,0.690551045211294,0.376804131410387,0.543798606618285,0.625478867505764
1200,-18.2391856283164,3.84418724232144,0.0340987045362339,-0.0521723504405004,-0.0245604749080746,-0.859159538087038,-0.909788273687092,0.074847865109454,0.089539947280048,0.114931369881694,0.138444072515609,0.609532986232995,0.478156889819344,0.455435225761686,0.450168606513235,0.530019387766308,0.473764346019937,0.785561888494483,0.548465179335498,0.550093860130918,0.619051526302468
1250,-21.4149816053186,3.41742064719904,0.0186218314907203,-0.0494828218968873,-0.0189320636247418,-0.788096299073387,-0.829821555360418,0.0923869242811735,0.105298359451104,0.132200920079869,0.156104149323505,0.638158084586744,0.492347469031757,0.473210935317812,0.467982417803129,0.523019836849708,0.471430817056355,0.39086739072892,0.381439464649434,0.557029048582683,0.615219653382738
1300,-24.0707906484808,3.03991214257551,0.00562303284491876,-0.0463116677472267,-0.0129387290716044,-0.719196546528006,-0.753921273206636,0.110103746441448,0.121549965892395,0.149410573224651,0.173370792041213,0.663476206732436,0.505823101535068,0.490312138185373,0.48514525509657,0.519735841907759,0.472118200783794,0.0370556504733328,0.0881240414238399,0.564303365461523,0.613330098663271
1350,-26.2446228885359,2.70532990149819,-0.00519700637433066,-0.042705030971913,-0.00661623940421392,-0.650960117902586,-0.680776658310621,0.127924562013955,0.13816924657893,0.166512771423637,0.190269922138697,0.68601181989274,0.518687470174408,0.506767651168969,0.501680718732282,0.51949603904759,0.47524027785376,0.23512895670323,0.0691376285832009,0.571713432794844,0.612898593781975
1400,-27.9844302296877,2.40823234417322,-0.0140940544424535,-0.0387040023959664,3.5241996080148e-06,-0.579956395867036,-0.607611456519914,0.145786172236389,0.155051781514827,0.18347055910837,0.206824084999869,0.706197971095253,0.53102825876564,0.522606602767045,0.517613462676641,0.521698116695035,0.480286257182914,0.757191207310958,0.371712305259401,0.579122099466479,0.613563157723994
1450,-29.3413184697617,2.14394040820607,-0.0212878154164757,-0.0343452764216145,0.00689206470060802,-0.494744170719961,-0.523983236361558,0.163634906950144,0.172110727729829,0.200255502043222,0.223053099515107,0.724394172175821,0.542919971020615,0.537857849545501,0.532968587812074,0.525827200629562,0.486827431552742,0.906480326589572,0.602204759363917,0.586437539382758,0.615051013753661
1500,-30.3654810365571,1.9084258905594,-0.0269679353551792,-0.0296617085082659,0.0140238421017048,-Inf,-4491.16522878199,0.181425548847783,0.189273893935054,0.216846012676084,0.238974555160411,0.740900406293675,0.554426169833537,0.552549573582035,0.547771190605413,0.531455893563603,0.494512242297944,0.465150428552563,0.443998205490787,0.593599145323175,0.617155018097288
1550,-31.1039295785739,1.69821522346423,-0.0312988592372583,-0.0246827909154249,0.0213759091589232,-0.633210113073365,-0.53362958445728,0.199120293275862,0.206481314921064,0.233226003903781,0.254604196700182,0.75596817221985,0.565601272372,0.566709013767918,0.562046031512622,0.538235760709789,0.503056565235053,0.0299310177819494,0.0998568357186802,0.600567927858932,0.619716753409651
1600,-31.599376464193,1.51030728424632,-0.0344237856514302,-0.0194350601902577,0.0289275994112466,-0.485662035406438,-0.443306936270686,0.216687780748415,0.223683240757919,0.249383806748627,0.269956225210787,0.769809249811363,0.576492001327463,0.580362295693445,0.575817295722886,0.545885901238576,0.51223289540831,0.223752557784807,0.0402677158913246,0.607319923634497,0.622614302001395
1650,-31.8898323760773,1.34210357144048,-0.0364679076889514,-0.0139424474411955,0.0366602589855367,-0.414565829677365,-0.382771928469225,0.234102219426639,0.240838468845777,0.265311299495496,0.285043536158399,0.782602700302255,0.587138567501483,0.593534333692829,0.589108425062026,0.554181434237307,0.52186016393754,0.82339760149003,0.366912425176936,0.613841631893612,0.625753323864312
1700,-32.008629938332,1.19134907011871,-0.0375410849855487,-0.0082265804721757,0.0445570151846328,-0.359281783506138,-0.330632891116248,0.251342602723792,0.257912958743426,0.281003206088048,0.299877909660975,0.794500490254156,0.597575640621911,0.606248785227036,0.601942004610454,0.562943124082647,0.531794860129838,1.02525534197909,0.653005333611366,0.620126830854829,0.629060486397773
1750,-31.9846860780108,1.05608224539245,-0.0377400593139493,-0.00230704526284595,0.0526025761109482,-0.310756805369426,-0.282979439299663,0.268392020112763,0.274878680063197,0.296456530034884,0.314470164080689,0.805632035588175,0.607833151861048,0.618528042736014,0.614339691228149,0.572028540629369,0.541923604058822,0.540771420441976,0.5074535981874,0.626174341602052,0.632478582045068
1800,-31.8428844135751,0.934592771391991,-0.0371503015534122,0.00379838700811154,0.0607830565798697,-0.266251042330311,-0.238468993549703,0.285237055320272,0.291712652512531,0.311670096920556,0.32883028123385,0.816107893170117,0.617936961571024,0.6303932518223,0.626322173992413,0.581324757030438,0.55215707757205,0.0278842424064824,0.117656697027772,0.631986448471335,0.63596286833466
1850,-31.6045044060235,0.82538578445932,-0.0358475591528556,0.010073562246892,0.0690858263877797,-0.224610928127495,-0.196462462112478,0.301867264194014,0.308396144498129,0.326644184098454,0.34296750943397,0.826022775621631,0.627909418293737,0.641864347446474,0.637909158742287,0.59074242476011,0.562425133271081,0.216757440228511,0.0171272014998777,0.637567778150034,0.639478301230849
1900,-31.2876536542045,0.727151623859758,-0.0338991588474357,0.016503770740907,0.0774993776581138,-0.18523843530367,-0.156584158254789,0.318274723853477,0.324914002765439,0.341380220505578,0.356890449069775,0.835458025853997,0.637769829465109,0.652960101948415,0.649119370632816,0.600211015551004,0.572672884020507,0.890107071212694,0.362892678576717,0.64292450179709,0.642997427118221
1950,-30.9076787535956,0.638740181842711,-0.0313651082910871,0.0230755958727679,0.086013208526278,-0.14777407136281,-0.118579326794754,0.334453644783133,0.341254090514857,0.355880542999865,0.370607124304221,0.84448365800226,0.647534859935264,0.663698180324785,0.659970569942195,0.609675022167154,0.582857589755781,1.14251961562272,0.701762529970688,0.648063766244489,0.646498764591233
2000,-30.477542143428,0.559139124086539,-0.0282990316292748,0.0297767812324594,0.0946177208646862,-0.111976553462647,-0.0822577676432701,0.350400037980057,0.35740681549658,0.37014819836163,0.384125043651514,0.853160048600507,0.657218871122522,0.674095199417914,0.670479577427616,0.619090933159803,0.592946183768244,0.616986067405633,0.57153648111454,0.652993288682445,0.649965553519093
2050,-30.0081597640394,0.487455361275056,-0.0247489672677336,0.0365961135827927,0.103304130111598,-0.0776699710274464,-0.0474680641178799,0.366111429926545,0.373364732897781,0.384186782271439,0.397451251568341,0.861539344246104,0.666834211060283,0.684166788597927,0.680662306354266,0.628424825981467,0.602913307841926,0.0295939259645333,0.140208404020292,0.657721068650509,0.653384781688581
2100,-29.5086987574799,0.422899254124395,-0.0207580507563727,0.0435233195259941,0.112064385566854,-0.0447179117564981,-0.01408440007131,0.38158661889879,0.389122210535028,0.398000308297456,0.410592372727061,0.869666638370346,0.676391463599611,0.693927650219669,0.690533798974725,0.637650451306376,0.612739750578114,0.213626259119342,-0.00125921931806265,0.662255184582091,0.656746422811139
