PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,38.0517722636209,35.1277883169583,4.33850201630262,0.403393769627321,0.231945616633059,-116.031501187923,-147.537262376371,-37.9369262610302,-33.1214645951155,0.158197557294224,0.0240271069093648,-0.101035703310366,0.0330161311422981,0.304890634684732,0.231171868278981,0.201175331554673,0.137270741871013,0.0708050918571166,0.0941534299904763,0.311700357353738,0.448240749730903
1050,39.9936975673172,35.7721732250741,4.0586584796223,0.38665817537484,0.2190959401402,-104.62461331131,-128.685110234884,-25.6915653088258,-19.6759522757217,0.142712450202483,0.0183373003243482,-0.0687917889594382,0.0307889643573388,0.197237847731692,0.137563839054864,0.159457860994266,0.107489616270639,0.181054635148789,0.0975290663274778,0.322456142162679,0.438463490140554
1100,26.9326797954087,36.7988492235392,3.80197334384849,0.369995969978053,0.206424191297597,-94.5928736864946,-112.793147555614,-17.3412709883569,-11.7021870715675,0.127075958678797,0.0121171399291106,-0.0426730671416322,0.0283919664853873,0.112952909317886,0.0639403021019304,0.126909362194148,0.0856208044053118,0.600808498931537,0.348334223615611,0.336102665750734,0.435143768761207
1150,10.9741049709973,37.9903279334699,3.56593206198457,0.353484971412091,0.193969129404613,-85.7446125912048,-99.3245206595283,-11.6367340622073,-6.92166812129622,0.111630685978393,0.00571595034908556,-0.021472078868209,0.0259566403638011,0.0475882094219487,0.00715514327148951,0.102937843090458,0.0709230537108572,0.795786983297249,0.536004236077237,0.351586109106921,0.436547823309791
1200,2.42191876829779,39.1866527447465,3.34835393445758,0.33718560224497,0.18176000884185,-77.918102042129,-87.8513153082259,-7.73435859347151,-4.03069814427469,0.0966310087177436,-0.000613350870815599,-0.00423073546561964,0.0235820425688082,-0.0024235398405506,-0.035564769933802,0.0865686370687475,0.0624103500686954,0.494079066921218,0.409516309432716,0.368187929154438,0.441404798155574
1250,3.93903948147041,40.2792395695755,3.14734147890464,0.321144472503484,0.169818578695879,-70.9764095234877,-78.030298460164,-5.06342027656324,-2.27211505764243,0.0822620667109488,-0.00668945955724609,0.00981607124669542,0.0213428464515601,-0.039950056921282,-0.0666096788813862,0.0766410859867687,0.0590378633539309,0.0833761175107382,0.120239098722298,0.385417002600386,0.44878241679812
1300,12.3243433669208,41.2010199708465,2.96123804048432,0.305397181934042,0.158160640593027,-64.8032187063059,-69.5845114765691,-3.23665109977844,-1.19995688850739,0.0686549366587179,-0.0123844457649629,0.0212829762601376,0.0192952241662101,-0.0673020246653916,-0.0880095093363471,0.0720178150863892,0.0598385129207307,0.131256956686905,0.0494771643350119,0.402936541550786,0.457993396619943
1350,22.4457238177533,41.9163072249075,2.78859232196034,0.289970525395381,0.146797270403588,-59.2994212286401,-62.2892090343162,-1.9903253415505,-0.548079573274114,0.0558986772197359,-0.0176102505536804,0.0306664468279066,0.0174811880985297,-0.0863456982016896,-0.101471024571148,0.0716916649359111,0.0639806447036386,0.616819758029724,0.310792634155092,0.420515112496462,0.46852768560975
1400,30.0996704073624,42.4118955504384,2.62812867871917,0.274884238450521,0.135735782090877,-54.380316662209,-55.9610347464611,-1.14415123513539,-0.155695122247155,0.0440498496511093,-0.0223086303801408,0.0383695252146151,0.015931829696933,-0.0985920374804304,-0.108419522785954,0.0748168783365906,0.0707769115708484,0.91552477657021,0.57754020330706,0.437993784855663,0.480004075963015
1450,33.1176427742889,42.6898730034901,2.47872219755644,0.260152386264817,0.12498049224202,-49.9732969803111,-50.4496165768051,-0.574387718449336,0.07543989337195,0.033140021522725,-0.026443629432198,0.0447209186360976,0.0146697596248985,-0.105267390006396,-0.110039742378259,0.0807025484799627,0.0796710290857772,0.618053336555577,0.495309516281368,0.455263957419883,0.492135726948139
