PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,52.5128318250874,50.0915083379265,6.65925730300864,0.575553165059096,0.362218206452481,-738.478758545236,-867.984703831221,-1610.87907270771,-1993.96416614471,0.292227136235598,0.136000432288024,0.0105378793988675,0.137996796200063,2.5017325024933,1.5512239281202,0.194402490655103,0.107797976700073,0.0538943779481662,0.066051432459724,0.214440757782867,0.346064124595722
1050,48.2131123840632,46.3740217997479,6.28340888048358,0.563407272106378,0.351939551259363,-649.848608460424,-732.977935731586,-1082.98579026061,-1150.85732847064,0.288782255382626,0.132519093976327,0.0326636136521321,0.126966526188038,1.96994068929084,1.36927958232729,0.139606172500637,0.067439991233176,0.263314839934161,0.147688758879462,0.22367776161977,0.335268914101052
1100,26.2064428564919,43.4563099593142,5.93578704530576,0.550613038588627,0.341372112637665,-573.722607734753,-622.685115022555,-732.838008263761,-675.099570525384,0.28170490243567,0.126573056879067,0.0489881880213569,0.11600937805153,1.54086848200497,1.14952973867288,0.0951426996124094,0.0361541181204902,0.677339950589197,0.414585765682969,0.236287998081596,0.331404115982045
1150,16.1587975191635,41.4374831814336,5.61365311400089,0.537321747483759,0.330601064879033,-508.106885934526,-531.999915317381,-499.017881483779,-402.027246281844,0.271901964708105,0.118886959433661,0.0607196991134015,0.105261041897731,1.19426561008421,0.927904262691014,0.0603635746001275,0.0130405880979314,0.764588174215647,0.533070603358481,0.251149881166332,0.332662441838537
1200,25.373724917998,40.2739377272795,5.31457636742238,0.523659147425868,0.31969681967322,-451.358793316487,-456.978747160211,-341.814417109744,-242.749301158268,0.260096892657389,0.110019484284111,0.0688122566122276,0.0948207329613212,0.914041796470313,0.722506668456693,0.0341074034891283,-0.00308820900230795,0.392692716981092,0.339254672906648,0.267487310506466,0.33771265381289
1250,40.2429155442336,39.8435111649871,5.036399301637,0.509729986121298,0.308717702315778,-402.119609871209,-394.553607554014,-235.411414823444,-148.42482005383,0.246868618023689,0.100401720466362,0.0740239135207038,0.0847604783656951,0.687383849816322,0.541198419209846,0.0150390553354233,-0.0134389346651135,0.0448547622983786,0.0725120769148127,0.284759980322673,0.345572096525233
1300,46.5400586839251,39.9917875449684,4.77720540381231,0.495621663647429,0.297712092690029,-359.261118853754,-342.320956741559,-162.921902663756,-91.7630556693298,0.23268095215675,0.0903661854090415,0.0769602605865269,0.0751318764758329,0.504065675848016,0.38615763931658,0.00189707190216919,-0.0190893150468291,0.209412848086792,0.0873550342626334,0.302588903252514,0.355510992245792
1350,40.3272056337605,40.5616451779667,4.5352900472168,0.481407191828323,0.286720149136429,-321.842997984438,-298.385229132577,-113.227097569412,-57.2682807503113,0.217905297449814,0.0801689063578224,0.0781074999440672,0.0659710704857233,0.355907827673035,0.256576669222578,-0.00640529223961234,-0.020942276447146,0.710528659583464,0.386646975933551,0.320706326845113,0.366983171717876
1400,26.4516242920814,41.4098874578557,4.30913461965008,0.4671476034868,0.275775204834832,-289.078691909075,-261.241938448411,-78.9566899079434,-36.0064339083861,0.202838475984972,0.0700063178193938,0.0778577301342999,0.0573024442425003,0.236353253496225,0.150225878340223,-0.0107635697796293,-0.0197309804283961,0.899148150574231,0.592372635816871,0.338921984607257,0.379576565320147
1450,12.4359994437367,42.4149939709461,4.09738375168488,0.452893923211648,0.264904905266129,-260.307965461014,-229.689713617753,-55.1919273569446,-22.7509483905157,0.187716887150944,0.0600282646664914,0.0765284173672549,0.0491413932034452,0.140133550321795,0.064334745078921,-0.0119009063690276,-0.016042487416813,0.51029557054177,0.428142217248174,0.3571001798268,0.392977856430855
