PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,42.8456797301152,71.0110160415556,9.9040086144753,0.731213295302439,0.487250004613494,-9666.14674255918,-9102.19982810913,-286990.660718099,-579846.313461853,0.329613758493933,0.21694398866814,0.200835847660438,0.288704023713953,22.4132780556504,-318.516792545841,0.268173923367754,0.147700065652095,0.0663687757658327,0.060227482770918,0.120712775691344,0.235789360006628
1050,66.4516371700046,71.50555904782,9.42048216234792,0.728280747008281,0.482759789908602,-8228.84451502848,-7368.25668657815,-182412.293763255,-306532.609337026,0.364487544279022,0.233355294694132,0.22085324557251,0.274028598029893,18.0148438968561,-189.460100355024,0.200459469369297,0.095723196886177,0.369512267668877,0.220655901798733,0.1258899274787,0.222117132751693
1100,61.025531769602,70.3658631471869,8.9684682873096,0.723841519334259,0.477419322297621,-7033.88483720922,-6009.1915121934,-117085.85581734,-165343.969700226,0.388517819091555,0.243001997824545,0.233828882191632,0.258822084087705,14.5019736168225,-110.932898141075,0.144564547998808,0.0541579567289855,0.741572134869742,0.475835931940952,0.134874565452251,0.215851541650464
1150,35.0888772837829,67.8891352970156,8.54552026517896,0.718111862630032,0.471357809186562,-6036.09914405152,-4935.52036264491,-75880.2594353512,-90914.0867869466,0.404091509240114,0.247308983979503,0.241258755283649,0.243358167747026,11.6897602530339,-63.6174276241209,0.0993975140466018,0.0216362496505055,0.700424844108636,0.503770537217473,0.14652793201432,0.21511106893307
1200,34.8289304872204,64.5545716873024,8.14935404057334,0.711278099982324,0.464685955181557,-5199.47225567457,-4080.93400168872,-49638.368411597,-50910.9974353074,0.412972703902453,0.247413834012973,0.244320908002385,0.227844959461651,9.43314702923701,-35.4410159176943,0.0632494933384016,-0.00343514237136382,0.280274358037726,0.254646341774168,0.160059718667626,0.218520704823162
1250,53.9479643191004,60.8504510775326,7.77785748873919,0.703501140559023,0.45749891573212,-4495.14927322257,-3395.86569532156,-32767.9560764491,-29010.6082694806,0.416508315732548,0.244227921876896,0.24394856561301,0.212441007493551,7.6180826653518,-18.9059425322254,0.0344393778044308,-0.0224944657695041,0.0318192993060594,0.0406619099183824,0.174913055082556,0.225067344828523
1300,61.1678513420483,57.1831196621008,7.42908949136529,0.69492025645154,0.44987872184916,-3899.90464301352,-2842.95482380103,-21822.1058987352,-16807.8567033336,0.415753407326036,0.238483853015608,0.24088503757586,0.1972670585658,6.1546994591721,-9.38661921039442,0.0115543380020909,-0.036715895020808,0.316605009528944,0.151081393007698,0.190689236946249,0.233996347111701
1350,47.5631348561033,53.8444967865093,7.10127317678911,0.68565624835891,0.441896280508043,-3394.96005894933,-2393.81716193231,-14656.4221156065,-9893.25800548389,0.411550863404323,0.230772324860992,0.235725272288169,0.18241479455267,4.97203703115846,-4.04972150229248,-0.00652187107376254,-0.0470201532695771,0.798810904756325,0.465297042630082,0.207098370952605,0.244739007664223
1400,27.8447776887476,51.0139914123077,6.79278603961721,0.675814104750353,0.433613032930582,-2965.06709475646,-2026.72461826349,-9924.52274657237,-5911.69718858279,0.404584156267576,0.22157085632365,0.228947554836739,0.167953390539077,4.013950707572,-1.1733034439031,-0.0206524584443873,-0.0541201883521819,0.849760617980857,0.58347857552333,0.223926680052628,0.256861841032672
1450,18.2998051836107,48.7768335896165,6.50214862245136,0.665485241128452,0.425082335622404,-2597.7917933027,-1724.92391283014,-6773.39773404443,-3583.56703228712,0.395413671733597,0.211266276651811,0.220937864074346,0.15393448438337,3.23593048643623,0.279981643346408,-0.0315035338748691,-0.0585687424180218,0.385266824006544,0.341410851938379,0.241014536642012,0.270030903815024
1500,23.2582034566748,47.1475354385645,6.22801278793683,0.654749390781606,0.416350615621524,-Inf,-Inf,-4657.81753914867,-2202.12143520467,0.384502625668511,0.200172416164328,0.212008719384937,0.140395975286819,2.60262190311624,0.928751728402492,-0.0395930563315673,-0.0607979314882723,0.0190246141079802,0.046119860479326,0.258241468362978,0.283986451081164
1550,36.3564449504091,46.092385347428,5.96915019365344,0.643676205742795,0.407458340971792,-3.36542421730418e+38,-1.24700420082353e+32,-3226.26120033663,-1370.83433411568,0.372236153507587,0.188544094669764,0.202413859865316,0.127364950386245,2.08588940992167,1.13747263039577,-0.0453288707744684,-0.0611495879476919,0.269587694486075,0.0942152499064742,0.275515755044741,0.298524721325723
