PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,93.6574744888573,75.6871141817299,13.6695020921691,0.824740436521657,0.571829342861714,-232745.80743972,-142806.764811626,-259323341.050827,-889450609.09202,-0.307621662530426,0.0451868487195466,0.333702085056493,0.364831607935212,332.876158948991,-933230.039360529,0.358366503865958,0.247142278452378,0.113463885016676,0.0849289312796917,0.0615185481114017,0.138326945590782
1050,60.1534102018067,73.1554722400106,13.0967062439081,0.83353079768043,0.575040878371331,-190217.951550004,-110037.211016249,-151920532.937437,-417901613.159743,-0.0515611813610914,0.125783681041282,0.37538550424559,0.361756776868348,263.014121556636,-595025.899943376,0.295970552029916,0.194601301796137,0.480835094026084,0.303378389965876,0.0614778153216118,0.123271184530516
1100,72.8439911116603,73.3296673872265,12.5541637055628,0.840101290112182,0.576906553572533,-156256.91311109,-85568.7817280834,-90103877.4203051,-201103311.50256,0.128447960936875,0.188525311031151,0.405060749908085,0.35564570481106,208.232146186665,-377460.291257113,0.247117940695374,0.153233021591716,0.777233851118757,0.516436150877661,0.0650016028149961,0.115120533007853
1150,83.0148033941936,75.1764184991719,12.0405356894572,0.844695145868695,0.577581727342276,-128991.751147984,-67122.696599499,-54083271.7596958,-99008158.4551334,0.257351574123853,0.236819423283094,0.425195305247853,0.347211994474131,165.188420927793,-238205.706600384,0.207577940179236,0.119782979500958,0.61314271337346,0.451727236721554,0.0711705193717834,0.112152192251142
1200,52.9344246230291,77.5302201234469,11.5543491101874,0.847528321178907,0.577202731938002,-106989.351389877,-53089.5535665664,-32840730.9843767,-49816449.1361231,0.350923183098029,0.273396794270962,0.437729883745602,0.337014576741099,131.302127587811,-149531.573192496,0.174362720833244,0.0920059404621305,0.182450304637994,0.175950569006002,0.0793529824821053,0.113146013131652
1250,51.244626490982,79.4720354085786,11.0940798550599,0.848792650430924,0.575889501142111,-89145.5986817663,-42320.8745588939,-20166585.7500652,-25591489.2756407,0.419356919269164,0.300448025293851,0.444201059223756,0.325494609620048,104.574991621398,-93360.7069050812,0.145627465015477,0.0684673051113645,0.0543670353134884,0.0376633436426448,0.0890983492505591,0.117215965965167
1300,73.8352868017755,80.4544587440965,10.6582069391516,0.848658680294953,0.57374779934515,-74605.0860064732,-33988.982458018,-12518848.738297,-13410217.0359168,0.469413601866082,0.319736122272292,0.445832893786784,0.313002581693292,83.4559878878205,-57968.4366748659,0.120268587208004,0.0482559724701152,0.436011856774416,0.231641960192921,0.100073913804972,0.1237032514433
1350,72.8544489810822,80.2745648940924,10.2452469576902,0.847278188793789,0.57087111497346,-62701.5094447182,-27491.7652156169,-7853370.3135133,-7161657.11031472,0.505700696472742,0.332686164178552,0.443605993188069,0.299818480166404,66.7384357654748,-35789.4020941478,0.0976202154854822,0.0307788910655769,0.86186059031139,0.529200732255536,0.112026684409748,0.132107478857988
1400,48.8691364459006,78.9823818813986,9.85377519785463,0.844786408942434,0.567342272055929,-52913.1541448658,-22387.2630726798,-4976907.90687523,-3894668.96027054,0.531444815851848,0.340455655161912,0.438309975203379,0.286166976476238,53.4814859928014,-21967.614625312,0.077267845323302,0.0156339392971536,0.77267683750807,0.549174284671227,0.124759455339146,0.142041412568647
1450,34.3977841341626,76.7798344336869,9.48243773537724,0.84130398320081,0.563234805126534,-44829.4577350904,-18348.286083483,-3185167.54418145,-2155107.49347652,0.548966109517706,0.343989404285436,0.430583642766054,0.272228984492067,42.9500373831748,-13402.7755935853,0.0589406344302729,0.00253460477874384,0.268379063165196,0.253060082837455,0.138115337776521,0.153200518429336
1500,42.9527196973708,73.9364312495799,9.12995747072826,0.836938676987932,0.558614135229291,-Inf,-Inf,-2057958.13461955,-1212521.56137442,0.559975346292579,0.344062309679045,0.420945967637826,0.258150545366935,34.5686237773429,-8126.25244234524,0.0424502376627353,-0.00873422841876344,0.0191410245483579,0.0196203368594211,0.151967435512516,0.16534198510499
1550,60.6358598041168,70.7297023142016,8.79513613056734,0.831786878992856,0.553538578498227,-3.11333984190179e+52,-2.78668472777263e+42,-1341960.70617631,-693154.873756303,0.565763795098872,0.341312792012459,0.409820151901176,0.244049719894394,27.8859240258066,-4894.91429097831,0.027656165977309,-0.0183423470995757,0.391564013715883,0.167179943900939,0.166211738992153,0.178269942079407
1600,68.5087211508504,67.4089682820243,8.47685362618263,0.825934914216882,0.548060213516098,-6.50232777239903e+25,-1.72731853798816e+21,-882905.722387656,-402351.442113195,0.567327113142025,0.336269028236329,0.397552436264836,0.230021980339121,22.5473744380693,-2928.1871470604,0.0144461295123268,-0.0264297443006291,0.928984998515424,0.524818536391996,0.180762090147477,0.19182481985389
1650,60.1952093034914,64.1773479099583,8.17406572553299,0.819460193306479,0.542225629275034,-8.31156809472381e+16,-93764531003487.7,-585918.210253442,-236997.819637315,0.565447852710612,0.329369640987573,0.384426893512241,0.216144461339312,18.273979505666,-1738.75792630211,0.00272486017412436,-0.0331160115031978,0.922963643554243,0.631789241903475,0.195546517161761,0.205875539111716
1700,42.5033643269002,61.1863447074398,7.88580069540749,0.812432219192262,0.536076571934356,-2971597778844.46,-20019468495.6999,-392092.938491997,-141575.915001512,0.56075153725185,0.320980107199682,0.370677132830208,0.202479335544082,14.8458778217776,-1024.18063650225,-0.00759224391495711,-0.0385061151321168,0.365766494288317,0.33806460321925,0.210504500315438,0.220313672248729
1750,26.6506483989594,58.5381666825501,7.61115536239861,0.804913469558948,0.529650505571243,-6382274391.09042,-122133968.867031,-264518.312215032,-85722.7239499098,0.553745546641803,0.311405847797593,0.356495612051921,0.189076512208963,12.0895662148648,-597.869359770731,-0.0165827198977157,-0.042694022236198,0.00172183647269323,0.0226491092924778,0.225584887242877,0.235049007157623
1800,20.2599879823568,56.2921536563418,7.34929089704512,0.796960171348271,0.522981099641012,-106257726.233622,-4034671.74968176,-179856.585613222,-52581.2549711117,0.544846620135707,0.300902731233199,0.342041086248314,0.175975808025912,9.86794570887234,-345.419860242886,-0.0243190656991131,-0.0457650324377936,0.351056051072467,0.112569173757133,0.240744272362905,0.25000612632274
1850,24.4967783050406,54.4728516489411,7.09942852507209,0.78862298139243,0.516098653813718,-5712704.9967434,-354848.683647152,-123223.512125637,-32656.6503026531,0.534400689543678,0.289685550635394,0.327444595907082,0.163208703578187,8.07254975422428,-197.125778150078,-0.0308698658512402,-0.0477973228110204,0.985450631421406,0.511118059898567,0.255945715738495,0.26512173362116
1900,35.5288943568332,53.0782096649984,6.86084529975186,0.779947585403859,0.50903046915646,-647055.813928485,-59817.6161468311,-85045.9264510271,-20526.0199499084,0.522697454205981,0.277934903960717,0.312814304329113,0.150799772249581,6.61746429925376,-110.788687400085,-0.036300408031223,-0.0488630082418089,1.06516779385126,0.702236052449095,0.271157715406198,0.28034254042588
