PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1000,120.994803195729,106.020133759785,18.3082085709262,0.849998937925429,0.611436490943482,-0.526862521783141,-0.704502149229674,-4716649156802.05,-19591635585712.8,-31.4124887627983,-1.51742327172909,0.0434919425728229,0.186487679653002,13404.087350294,-47973907359.7959,-0.382566184965095,0.142523106056116,0.202102083240273,0.145686129683881,-0.0118550072713773,0.00643359450896919
1050,84.3271646221234,107.156316869596,17.6802375234115,0.872448584476638,0.624083777298229,-0.633178207642091,-0.817450937561955,-2458120041388.03,-7836438132429.25,-19.6504251594038,-1.11465125488451,0.185765116062477,0.230786241989269,10300.9616093616,-32502885503.8408,-0.117322205260786,0.216478882302687,0.599168061672546,0.395908125554337,-0.0113101064274599,0.00226116753054162
1100,112.384065103696,104.413084530399,17.0735461554721,0.892237628164557,0.635000883396273,-0.772937210864639,-0.965007811963169,-1300761842018.58,-3226821196103.81,-12.5754204087178,-0.793261692854565,0.297610378673191,0.264556002554592,7924.07527415795,-21924965838.2656,0.0365679969046441,0.250249168126419,0.779439151546648,0.532068733568694,-0.00995798900814787,0.000202167589075319
1150,82.6484175720692,98.875978264877,16.4891844178733,0.909582141796606,0.644345502076986,-0.971933241669473,-1.17508153208688,-698541367324.759,-1365995981048.45,-8.19854850354328,-0.536333829056299,0.385155361622711,0.289862095615721,6099.96960982611,-14723935693.0945,0.12744925178457,0.261493815417787,0.497266338909828,0.374009145332291,-0.00763711779873294,6.21379500481134e-05
1200,86.9836981606712,92.5449812651578,15.927555467459,0.924682544251658,0.652259754789213,-1.28984625951826,-1.51264141456552,-380512474998.481,-593729531404.621,-5.4092906154614,-0.330455083124886,0.453182837966128,0.308320349252452,4697.73320386238,-9843373019.23609,0.180349661276214,0.259570459049516,0.100461789970347,0.105736296152948,-0.00427621525363869,0.00167890749117278
1250,102.504959798725,87.1579262760109,15.3886098792871,0.937723850835629,0.65887178975284,-1.89073607317431,-2.15843310696773,-210145277187.394,-264650340256.926,-3.58041614067644,-0.165131464856649,0.505455115230305,0.321209024641075,3618.25130134227,-6550362440.7436,0.2092807567698,0.249790381668422,0.120012376778054,0.0695146137048396,0.000134280135639597,0.00489971226199953
1300,69.4795065277364,83.6839177311659,14.8719858076218,0.948876302273872,0.664297247477037,-3.36410742257848,-3.77499203212123,-117610091892.853,-120840273968.581,-2.34931170350404,-0.0321849573902155,0.544953424313711,0.329549316893931,2786.2551630115,-4338639951.53051,0.222587430828869,0.235336837226889,0.573110978555736,0.33245033939307,0.0055643561954562,0.00957628024952961
1350,71.4629851527864,82.3194001015257,14.37711028327,0.958296203081995,0.668640586998713,-9.06915158715408,-10.2765119497893,-66673384856.9576,-56460661864.9886,-1.50067552607202,0.0747639741669572,0.574056229874516,0.33416424719408,2144.42031821434,-2860049319.08887,0.225491812539909,0.21819961387684,0.896748243853143,0.57601691219518,0.0119601197703121,0.0155654176970165
1400,95.1448531462872,82.7210464659174,13.9032724408675,0.96612686051423,0.671996275947664,-70.6939184837445,-87.3788096196808,-38270159501.4404,-26967548550.1989,-0.903188845400474,0.160710914629167,0.594673219788158,0.335722353115207,1648.96983246425,-1876242549.60687,0.221394898563171,0.199662538091727,0.660401103178684,0.484818842564054,0.0192544584757997,0.0227307370457824
1450,82.7357483189672,84.2806332975482,13.4496763871988,0.972499554954257,0.674449852640883,-36441.5429276902,-73505.8862820894,-22232719174.6079,-13154949252.7559,-0.474660490506181,0.229588983163768,0.608346832618927,0.334770518103241,1266.38723207874,-1224794017.78313,0.212584303541343,0.180573031464209,0.157507743983124,0.162406501177354,0.0273740983788035,0.0309441354068227
1500,55.6993364633786,86.3444222904076,13.0154792487965,0.977534498706212,0.676078870762579,-0.416463551509648,-0.590464658821897,-13067170087.2414,-6547915288.37783,-0.162380762633864,0.284514375681536,0.616329797920029,0.33175893087136,970.950589631352,-795532538.068882,0.200639305628799,0.161498727567596,0.0611365908622095,0.0237392053863806,0.036244172775723,0.0400867004996756
1550,55.9207356671504,88.3496223404207,12.5998183972692,0.981341757311166,0.676953737946932,-0.450760506930346,-0.623599539489019,-7767232834.76136,-3322909127.27407,0.0682305589206709,0.327972727403177,0.619644802304506,0.327060267116066,742.876460248856,-514085023.832405,0.18667301610034,0.14282240113141,0.538733849605773,0.266579719815395,0.0457911031693909,0.0500490777680935
1600,76.8208100354107,89.8870116425893,12.2018307535383,0.984022118777752,0.677138459440845,-0.484614040143211,-0.656129420308755,-4667590982.27267,-1717871700.91744,0.240345652154972,0.361960393497516,0.619130729726844,0.320984578359869,566.918323980997,-330487047.037189,0.171482745923904,0.124801633822679,0.991440099220299,0.595357942168429,0.0559443478994575,0.0607314265103522
1650,86.4921952409108,90.7115489380077,11.8206662858244,0.985667903455593,0.676691297402146,-0.519315733299361,-0.689353484170336,-2834739687.20717,-904052685.587128,0.369802184347994,0.388091757621107,0.615478740480722,0.313790955473846,431.30492021135,-211337143.183691,0.155646499925372,0.107607506703918,0.818334158113061,0.583994855967564,0.0666373974612813,0.0720430954533208
1700,72.874495538938,90.7228171850311,11.4554972495951,0.98636371200535,0.675665355535086,-0.555281628662719,-0.72367386624139,-1739345186.11688,-483970367.583989,0.467626878858827,0.407681048006183,0.609260603854562,0.305696743830088,326.933612437089,-134418036.332604,0.139586718357578,0.0913503776651067,0.233128649917368,0.235568543589672,0.0778082732974174,0.0839021239407481
1750,50.3802602586901,89.9321178687247,11.1055243071838,0.986187111899755,0.674109097827023,-0.591799830078957,-0.758413445402889,-1077890386.78671,-263374238.499737,0.541631330112307,0.421805029279227,0.600951084616906,0.296884881968765,246.755733201153,-85027025.5677618,0.123613471987021,0.0760974589482478,0.021428694686138,0.00223631030437283,0.0893997034432694,0.0962346471885621
1800,38.4660959293296,88.4271770509077,10.7699803658746,0.985209264707831,0.672066809212674,-0.628124993234176,-0.792862551448031,-674448997.206925,-145606223.684051,0.597440681252316,0.431351316016702,0.59094573505705,0.287509789182421,185.306905523138,-53484814.4464847,0.107954402449404,0.0618850457125195,0.503237551803259,0.205505905254713,0.101359091860385,0.108974260333885
1850,43.8991614821893,86.3405392345947,10.4481327545517,0.983495497460336,0.66957900510147,-0.663772552778805,-0.826560437304936,-425974866.323649,-81728876.2420014,0.639168689025444,0.437055835720798,0.579575114669249,0.277702121586081,138.347183513272,-33452864.0385852,0.0927758947379909,0.048727170701084,1.07114489638392,0.599422366745706,0.113638360010624,0.122061377772629
1900,59.4775111028261,83.8242840601972,10.1392841982758,0.981105821931747,0.666682795882459,-0.698477200946415,-0.859257259622412,-271493076.85069,-46548979.3515875,0.669868193735837,0.439532064471365,0.567116215482893,0.267572638956961,102.584630157314,-20802690.7562871,0.0781983173851451,0.0366218196544085,0.969885708611969,0.671572600291364,0.126193713295411,0.135442611026452
1950,72.9713758077749,81.0315719792978,9.842772931541,0.978095405880144,0.663412211778924,-0.732112191060463,-0.890837161791023,-174565220.044025,-26887250.7256272,0.691836451020586,0.43929399066594,0.55380168903174,0.257215367624054,75.462472364913,-12860030.6828028,0.0643071661728355,0.0255554501388893,0.320066674060112,0.317346687862976,0.138985367397206,0.149070179073531
2000,75.9649370735532,78.104380801732,9.55797220310898,0.974515000281438,0.659798492762664,-0.764630682208927,-0.921261736122615,-113206030.433858,-15741947.3629634,0.706825143100663,0.436774269832179,0.539827334320557,0.24671020224746,54.9948366971728,-7902279.81043238,0.0511613264036283,0.0155063104072524,-0.00310357880919374,-0.000551310017688204,0.151977257616469,0.162901358712333
2050,67.3382838592568,75.1663043344234,9.28428936003281,0.970411326458873,0.655870347652137,-0.796029950003,-0.950535264858571,-74026501.0552797,-9337519.44452238,0.716186832620784,0.432338670051305,0.525358202913425,0.23612505744963,39.6397072564658,-4826151.92459209,0.0387992742262974,0.00644689686212757,0.469725400170098,0.151672647271837,0.165136746181726,0.17689797827781
2100,51.7452760297901,72.3191834369913,9.02116464982714,0.965827426796972,0.651654186003763,-0.826330747751438,-0.978684566760923,-48798633.9980181,-5608684.99549952,0.720978431986484,0.426297638586434,0.5105335987866,0.225517656116983,28.200477288557,-2929116.19992801,0.027243781388531,-0.00165421497562285,1.14080744343481,0.593984466686578,0.178434337000235,0.191025955267607
2150,35.9186197651174,69.6424439216022,8.7680698434006,0.960802982477053,0.647174325954932,-0.855565654287883,-1.00574757917604,-32421394.1346834,-3409982.60756131,0.722035211381311,0.418915620565186,0.495471190570519,0.214937022760749,19.749521056707,-1766470.98652319,0.0165055182393587,-0.0088310004139335,1.11526089304593,0.748860183056608,0.191843403585489,0.205254876703095
2200,25.365698497093,67.1942071967003,8.52450675417026,0.955374601402605,0.642453180783623,-0.88377256589435,-1.03176697235238,-21705196.7268499,-2097582.5040716,0.720024358749713,0.410418611567049,0.480270407644801,0.204424736153258,13.5687640958687,-1058415.62650241,0.00658583551805905,-0.0151189580498095,0.413951229599659,0.403356124793648,0.205339933384387,0.219557620019106
2250,22.6682041730218,65.0134500961483,8.29000570840293,0.949576079212726,0.637511426606578,-0.910991102544598,-1.05678662910784,-14639009.7387284,-1304921.60477111,0.715484178006371,0.401000314281576,0.465015255852614,0.19401598448062,9.10340485469169,-629983.763332514,-0.00252107286774825,-0.0205543389715024,-0.0157609817011904,0.0110365015396878,0.218902290048731,0.233910011716915
2300,27.3953441918704,63.1226845880818,8.06412400655515,0.943438636019598,0.632368153339211,-0.937260662833934,-1.08084975177944,-9944588.59130593,-820689.700866946,0.708853086051958,0.390827185257218,0.449776660849165,0.183740457696779,5.925832996015,-372449.235059436,-0.0108264784035157,-0.0251735698380994,0.439444862533303,0.105565904187012,0.232510994090803,0.248290520767212
2350,37.0296160468282,61.5307909975714,7.84644440393711,0.936991131257664,0.627041000780423,-0.962619411873318,-1.10399789247839,-6803046.65348885,-521604.056886047,0.700491285957932,0.380042594023628,0.434614425415108,0.173623105052102,3.70746916504768,-218679.398093554,-0.0183457887098418,-0.0290128232733751,1.20365145516664,0.582608778102087,0.246148521651256,0.262679983703251
2400,48.2169673080702,60.2357665537812,7.63657363045806,0.93026025880054,0.621546281459251,-0.987103796040341,-1.12627050534374,-4685748.06016431,-334900.367450078,0.690697128196106,0.368770268329371,0.419578870040062,0.163684780472794,2.19676999733433,-127493.082372085,-0.0250974988724416,-0.0321077007574598,1.25505375668645,0.817301507774329,0.259799120665093,0.277061358423684
2450,57.8470262253331,59.2272469578253,7.43414096281054,0.923270724288231,0.615899091683109,-1.01074835291852,-1.14770479095561,-3248878.49995084,-217147.507244853,0.679719581348608,0.357117162066233,0.404712212650191,0.153942794263643,1.20203954124204,-73796.1419782547,-0.0311023617457281,-0.0344930017622223,0.512020426395691,0.491049656567983,0.273448643452343,0.291419503878657
