PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,634682.856000065,29639.0867943098,3321.13826336557,-191.557036990993,3926.56666631895,11358.9548747301,22854.6259201618,1039.57852842345,1842.87482628861,-81.7085711303714,-34379.0714030177,0.457029667452124,-0.85509057728789,-732.218988252469,-1244.97502241628,8.80081039183446,20.1445188460641,-2.67619521567604e-92,-4.64672845083548e-91
1050,569567.164183952,26774.6212099241,3031.47649932567,-178.642012544088,3693.51135933397,9831.64458507055,19758.3579903429,922.905019006053,1607.70058748946,-77.0449858331228,-29676.5917549049,0.417388894989921,-0.806609438241165,-598.696591655441,-1014.83221844243,7.17237300772991,16.6228387304507,-5.84962590032601e-93,-1.02975088458159e-91
1100,513076.575809498,24270.939716536,2775.07449920833,-166.908223837747,3479.93174683627,8554.26662788694,17172.1918601756,822.26621301186,1408.92083460364,-72.7199778697699,-25789.6199545151,0.382062355269818,-0.761650589164658,-493.423075675248,-833.994870075236,5.88838766259918,13.8079178186239,-1.35956523333282e-93,-2.42529917552715e-92
1150,463827.73821808,22072.6953806462,2547.24928880973,-156.220666632009,3283.75246469103,7479.10728903005,14998.1444855068,735.076797244615,1239.97555562649,-68.7038810802967,-22549.3023994485,0.350489709544134,-0.719903800865112,-409.654288589477,-690.553219906285,4.8674519082429,11.5407605124332,-3.34398363710238e-94,-6.04215268900859e-93
1200,420695.382573624,20134.4584687819,2344.0919401738,-146.462696793708,3103.16468370398,6568.77981081669,13159.561433824,659.226499101003,1095.64452517408,-64.9700599858897,-19826.9789049534,0.322194643829673,-0.681090795571679,-342.427089827606,-575.777482850977,4.04929491762375,9.70176916034058,-8.66728020058572e-95,-1.58557523736374e-93
1250,382757.829476011,18418.6990209177,2162.32172913897,-137.533153991003,2936.5863301103,5793.74188341163,11595.9621004677,592.982667794686,971.743375092451,-61.4945574982301,-17523.464158378,0.296770658977942,-0.644961494936607,-288.046824334059,-483.193148055287,3.38882954035867,8.2001342032322,-2.35839828653983e-95,-4.36640155593212e-94
1300,349255.261834206,16894.2259145949,1999.17096204355,-129.343992642487,2782.62903245687,5130.46582292785,10259.2470801029,534.914805014212,864.895101485339,-58.2557883867729,-15561.4720898146,0.273869524104228,-0.611290761066787,-243.733663308486,-407.945765299891,2.85200109684686,6.96629690623622,-6.71427379323998e-96,-1.25760683145165e-94
1350,319557.495349642,15534.9692828922,1852.29338668924,-121.818321130033,2640.07053011448,4560.0759882568,9110.87879389634,483.835677621738,772.35676087188,-55.2342719553001,-13880.1840175288,0.253191847522322,-0.579875559124137,-207.375257319606,-346.358540508223,2.41285522269978,5.94653590638441,-1.99392332404287e-96,-3.77694137851906e-95
1400,293138.881648958,14319.0234963145,1719.69087861677,-114.888771379797,2507.83153935228,4067.32439265663,8119.765302331,438.755055667937,691.886930003994,-52.4123984002926,-12431.3020404051,0.234479340361455,-0.5505324813286,-177.351563217381,-295.620250129949,2.0514434298842,5.09903900940058,-6.15962147983799e-97,-1.17957990242687e-95
1450,269558.615848565,13227.8895395646,1599.65439136554,-108.49613715342,2384.95627535626,3639.81364755223,7260.65750285259,398.843134341932,621.643546037162,-49.7742241729475,-11176.1463252067,0.217508440290218,-0.523095581564054,-152.409328525414,-253.562448370872,1.75231124942717,4.3910251065027,-1.97449904916415e-97,-3.82151553981941e-96
1500,248445.173434922,12245.8711779482,1490.71611600182,-102.58823196989,2270.59598675643,3267.40254848145,6512.92482491158,363.401435844993,560.104580961666,-47.3052923750038,-10083.4958921564,0.202085033527201,-0.497414477578114,-131.571170466561,-218.498640423329,1.50339608612792,3.79661624698071,-6.55295389136035e-98,-1.28142303222479e-96
1550,229483.927106696,11359.590621005,1391.61050638803,-97.1189273816144,2163.99498354423,2941.74776601174,5859.61255069251,331.839527228413,506.006016153021,-44.9924748110147,-9127.96550242174,0.188040067914777,-0.473352684265866,-114.069038687872,-189.106972343238,1.29521625936294,3.29525081067225,-2.24699235920874e-98,-4.43825252575716e-97
1600,212407.230716923,10557.5976894813,1301.24235962397,-92.0473400125916,2064.47873750749,2655.94783490322,5286.71050257337,303.656288959596,458.293023484849,-42.8238328166338,-8288.77355078044,0.175225892203317,-0.450786146964859,-99.295053536249,-164.343823520407,1.12026905331784,2.87049057459479,-7.94574195061812e-99,-1.58483681617265e-97
1650,196986.43071381,9830.0526319024,1218.66054351253,-87.3371418234966,1971.44371236611,2404.26465581844,4782.58166489905,278.42476561313,416.081300385107,-40.7884944003918,-7548.7981939861,0.163513189757122,-0.429601948250202,-86.7648537287881,-143.379574716394,0.972580200223026,2.50911700731001,-2.89259885496218e-99,-5.82463312814576e-98
1700,183025.393514065,9168.46731738138,1143.03626894326,-82.9559728678128,1884.34864312109,2181.90417927938,4337.51275831216,255.779852370465,378.626264904695,-38.8765455888063,-6893.8480836782,0.152788400830635,-0.409697165555863,-76.0900374831841,-125.550446416208,0.847364054252487,2.20044168383499,-1.08237153416387e-99,-2.19979929037428e-98
1750,170355.232632572,8565.49297465315,1073.64503942052,-78.8749396252707,1802.70703414357,1984.84260396438,3943.3584848243,235.408238739343,345.298374385425,-37.0789341625228,-6312.09437943322,0.142951548013053,-0.390977860184562,-66.9572744249299,-110.322091481844,0.740765354431807,1.93577645396428,-4.15687485920848e-100,-8.52513187198594e-99
1800,158829.991011837,8014.74525493785,1009.85159055466,-75.0681850574307,1726.08068584957,1809.68781843579,3593.25821891817,217.040158298673,315.563244201102,-35.3873842235746,-5793.6250330254,0.133914395640402,-0.373358181005155,-59.112353293936,-97.2618607424459,0.649661604365239,1.70802368342292,-1.63635270012094e-100,-3.38566804063112e-99
1850,148323.088162783,7510.65938476002,951.097272371316,-71.5125189891948,1654.0740924539,1653.56831103137,3281.40909739735,200.442590643745,288.965551089208,-33.7943202482221,-5330.09253613926,0.125598886868882,-0.35675956845591,-52.3479115337314,-86.0175210390116,0.571510827369637,1.51135737835691,-6.59427705890551e-101,-1.37618929328111e-99
1900,138724.382983895,7048.36970132901,896.889436522651,-68.1870994056775,1586.32957984673,1514.04362058041,3002.8832893354,185.413636574528,265.11593703602,-32.292799462339,-4914.43366708943,0.117935812412441,-0.341110046442898,-46.493932633497,-76.3008114531198,0.504233531522263,1.34097356021427,-2.71730485550522e-101,-5.71883006484139e-100
1950,129937.734755271,6623.60904228913,846.792476162472,-65.0731568641732,1522.52307431549,1389.03177918841,2753.48008009534,171.77784546701,243.6803047412,-30.8764515320322,-4540.64510882498,0.11086367322484,-0.326343591401084,-41.4103393077687,-67.8746543266351,0.446120642643867,1.19289374404811,-1.14373894122818e-101,-2.42701079024123e-100
2000,121878.969207238,6232.62437807128,800.420233814034,-62.1537555322162,1462.36041060739,1276.75023411377,2529.60554408034,159.38231878713,224.371028953544,-29.539424695345,-4203.60272397213,0.104327706079985,-0.312399569218345,-36.9811847688111,-60.5431466532456,0.395761277088885,1.06380938610653,-4.91249137229416e-102,-1.05085857031583e-100
2050,114474.175504393,5872.10579137293,757.429546117154,-59.4135854347007,1405.57410245237,1175.66751926442,2328.17419830503,148.09344889763,206.939710038372,-28.2763375749993,-3898.91516695404,0.0982790464061099,-0.2992222319481,-33.1100706272436,-54.1436808485511,0.351985766378564,0.950958122975173,-2.15110479079298e-102,-4.63795731190373e-101
2100,107658.27477232,5539.12647124195,717.514737004012,-56.8387813726908,1351.92051074524,1084.46354335451,2146.52825891912,137.794179954801,191.171174769772,-27.0822360101179,-3622.80467103067,0.0926740071186211,-0.286760267286817,-29.7165122375117,-48.5407067631533,0.313820476105513,0.85202481760005,-9.59470522266712e-103,-2.08471982960338e-101
2150,101373.812400738,5231.09183399177,680.402904997293,-54.4167647010563,1301.17735459656,1001.99681871503,1982.37106407486,128.381699517322,176.878490258069,-25.9525543291771,-3372.00946914007,0.0874734557760616,-0.274966394695116,-26.7330402466343,-43.6207664164932,0.280451796983115,0.765062065021369,-4.35574039565311e-103,-9.53586387097508e-102
2200,95569.9355151027,4945.69623631579,645.849877774757,-52.1361047508732,1253.14151878693,927.27730686644,1833.71195109029,119.765486799145,163.898804368917,-24.8830805591237,-3143.70353405855,0.0826422753134753,-0.263797002817992,-24.1028774847954,-39.2885214186035,0.251197307495326,0.688426041016773,-2.01106011754534e-103,-4.43546319686592e-102
2250,90201.5242716216,4680.88602771713,613.63672930918,-49.9863971791283,1207.62711810613,859.443829821116,1698.82043678112,111.865657288335,152.08986313442,-23.8699251283708,-2935.43025799458,0.0781488960136573,-0.25321182352971,-21.7780679492453,-35.4635589642559,0.225482573023595,0.62072450687664,-9.4365628718695e-104,-2.09642879440289e-102
2300,85228.4514182342,4434.82791519786,583.566772864289,-47.9581569414526,1164.4637848716,797.745208671928,1576.18798643778,104.611554486987,141.327084879058,-22.9094926757166,-2745.04740849349,0.0739648883595325,-0.2431736385078,-19.7179628972321,-32.0778117115547,0.202822396953122,0.560774490588129,-4.49717957822841e-104,-1.00623122948554e-102
2350,80614.9491973822,4205.88179496077,555.46295775768,-46.0427239284815,1123.49515080223,741.524457511097,1464.49599853576,97.9405483914718,131.50109388237,-21.9984566243293,-2570.68125066651,0.0700646080499896,-0.23364801474185,-17.8879904353391,-29.0734641541008,0.182805604954092,0.507567705220953,-2.17537175497003e-104,-4.90143871672785e-103
2400,76329.066392092,3992.57735286961,529.16560975798,-44.2321795951681,1084.57749853296,690.205491756612,1362.58890089121,91.7970074821835,122.515634742479,-21.1337362208461,-2410.68815516866,0.0664248858206986,-0.224603065817478,-16.2586512489653,-26.401246409662,0.16508264610069,0.460242180709203,-1.06742865812925e-104,-2.42161395204655e-103
2450,72342.2013255265,3793.59385474525,504.53046479078,-42.5192731548235,1047.57856152577,643.281913583937,1269.45146621933,86.1314167814219,114.285803233262,-20.3124757752202,-2263.6223466085,0.0630247558419299,-0.216009236193556,-14.8046955517968,-24.0190379669957,0.149355449610867,0.418058906101804,-5.31026709584703e-105,-1.21284101069079e-103
2500,68628.6990637528,3607.74264483129,481.426953701328,-40.8973561138147,1012.37645407133,600.307519479349,1184.18962352587,80.8996192432586,106.736541164083,-19.5320258679593,-2128.2087102473,0.0598452174084236,-0.207839106019506,-13.504445900904,-21.8907205308618,0.135369095451972,0.380382528435801,-2.67694634798786e-105,-6.15454685372195e-104
2550,65165.5030574259,3433.95195032832,459.736702491018,-39.3603240952467,978.858715570003,560.888240615215,1106.01417608348,76.0621615770304,99.8013521727222,-18.7899263184683,-2003.31978251054,0.0568690254252099,-0.200067214326085,-12.3392379197719,-19.9852319170369,0.122904949517481,0.346665348650794,-1.36676878114971e-105,-3.16278504015394e-104
2600,61931.8530809285,3271.25365522676,439.352217972139,-37.9025650459187,946.921455404439,524.675279380937,1034.22694429424,71.5837287471896,93.4212029883788,-18.0838907318719,-1887.95621551684,0.0540805058549885,-0.192669898673333,-11.2929567198956,-18.275782888749,0.111774985985267,0.316434007163807,-7.06448504102748e-106,-1.64522160780666e-104
2650,58909.022658463,3118.7717604997,420.17573338126,-36.5189130447466,916.468586527823,491.359247751194,968.208938207625,67.432653971727,87.5435808653475,-17.4117924624175,-1781.23013704884,0.0514653928491946,-0.185625149558287,-10.3516513005957,-16.7392065751917,0.101817075646343,0.28927837149324,-3.69491886158114e-106,-8.65906093318005e-105
2700,56080.0902620323,2975.71229222377,402.118192324983,-35.2046070362889,887.411137441766,460.665147379843,907.410234256616,63.5804931665209,82.1216829011224,-16.7716518497262,-1682.35093242705,0.0490106847541403,-0.178912478076836,-9.50321272869893,-15.3554161829092,0.0928910630802179,0.264842232968077,-1.95473189751539e-106,-4.60924075412856e-105
2750,53429.7394709142,2841.35445611527,385.098352638652,-33.9552539029638,859.666633566702,432.348059043224,851.341287325101,60.0016545392804,77.1137170442331,-16.1616246001261,-1590.61305919599,0.0467045165802948,-0.172512795502344,-8.73710467543318,-14.1069514873482,0.0848754903000372,0.242815494659397,-1.04557635670186e-106,-2.48044764424379e-105
2800,50944.0840318107,2715.04286768867,369.041994429282,-32.766795366462,833.158540149604,406.189431627449,799.565455247901,56.6730754926394,72.482297947974,-15.5799911993353,-1505.38557371459,0.0445360468588947,-0.166408303591536,-8.04413708493593,-12.9785983669211,0.0776648519899995,0.22292759249756,-5.65259269078028e-107,-1.34899818757198e-105
2850,48610.5143819029,2596.18071288754,353.881218837792,-31.6354782747835,807.81575983733,381.99387928712,751.692550377051,53.5739402063696,68.1939235794084,-15.0251472551309,-1426.1031040177,0.0424953570955747,-0.160582394558229,-7.41627549506496,-11.9570686380964,0.0711672893081047,0.204941939378588,-3.08750958401711e-107,-7.4117363219007e-106
2900,46417.5627165161,2484.22371550329,339.553825965597,-30.5578278879531,783.572178892824,359.586410507924,707.373263584287,50.6854322778547,64.2185207624345,-14.4955946795472,-1352.25804830123,0.0405733622737545,-0.15501955977018,-6.84647992481137,-11.030729837728,0.0653026466566378,0.188651220459938,-1.70329768215444e-107,-4.11253951148949e-106
2950,44354.7841174972,2378.67480571953,326.002762026263,-29.5306238242141,760.366256765594,338.810025224407,666.294331324154,47.9905176436968,60.5290497100665,-13.9899336297772,-1283.39381513359,0.0387617310678894,-0.149705306325489,-6.32856835910648,-10.1893765091105,0.0600008297775707,0.173873398773021,-9.48755909955214e-108,-2.30379087052621e-106
3000,42412.6516227156,2279.07939929198,313.175627153119,-28.5508783705501,738.140654364186,319.523626387221,628.174337199179,45.4737537126091,57.1011591571128,-13.5068551354776,-1219.09895162837,0.0370528146040096,-0.144626080754418,-5.85710075965358,-9.42403608238068,0.0552004147433763,0.160448315276723,-5.33417053859258e-108,-1.30252724918586e-106
