PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,756195.217241776,36082.2785122523,4026.53338004836,-205.949237822655,3908.66800538773,16537.8654154057,33099.9502762304,1415.75100138166,2630.11234148838,-101.693775956218,-35207.7127145484,0.640982926537879,-0.908853748934383,-955.732985191339,-1624.31567678369,15.4862010212739,34.1735735737153,-9.49224431389557e-80,-1.21566470377791e-78
1050,680631.130214045,32693.1926445861,3677.57531988002,-191.986248310048,3676.01100771276,14346.7772810432,28688.4921376041,1257.58336567636,2300.84766891038,-95.7999419761135,-30477.5409576629,0.585329188940367,-0.857111642810406,-784.331176371636,-1329.42552200962,12.6730842946278,28.2998718452403,-2.48241708662099e-80,-3.21736890661446e-79
1100,614840.251117449,29719.9949808352,3368.52695746016,-179.31018863561,3462.85073674463,12509.7457615722,24993.5625319634,1121.09218155006,2021.713657353,-90.3412194752811,-26554.5829660754,0.535750977059729,-0.809149845406995,-648.670098385081,-1096.71851043171,10.4455946940255,23.58785392966,-6.85170164400784e-81,-8.98306206777338e-80
1150,557289.400710252,27100.4188097677,3093.78363860117,-167.772687957048,3267.10392343478,10959.9300010846,21879.2644873316,1002.78838436375,1783.80337917237,-85.2788114931551,-23274.1584106343,0.491455829202657,-0.764633248188321,-540.326648830898,-911.386472936319,8.66727196535988,19.7795252044039,-1.98760283677301e-81,-2.63503306192544e-80
1200,506725.538185561,24783.1006292018,2848.66548674204,-157.245741033617,3086.95556073147,9644.81046018048,19238.9415920477,899.823420317632,1580.00560210707,-80.5779561355468,-20510.2492297529,0.451770713071607,-0.723261498053802,-453.076177063296,-762.524143055131,7.2366339773475,16.6800868626955,-6.03753991005294e-82,-8.09074520325538e-81
1250,462117.768564814,22725.4102842598,2629.24336091417,-147.61848711694,2920.8187623047,8522.77799419224,16988.186423931,809.857943419204,1404.60223862116,-76.2074489578778,-18165.3226532038,0.416121716743998,-0.684764886103698,-382.266608482521,-642.007739653871,6.07744433177518,14.1410946599927,-1.91405564181398e-82,-2.5918302745689e-81
1300,422612.682641236,20891.761870426,2432.20138629209,-138.794562440485,2767.30142605943,7560.61201889511,15059.6780826081,730.960097086949,1252.96461911485,-72.1392285245592,-16163.1017760252,0.384017568477398,-0.648900780727375,-324.384642699687,-543.720730538708,5.13188888768587,12.0484481980073,-6.31432992374369e-83,-8.63700590132262e-82
1350,387499.67637465,19252.288634624,2254.727612174,-130.68991327284,2625.17841976004,6731.59717630847,13399.3315136932,661.526143546388,1121.32233499733,-68.3480159367447,-14443.3575859359,0.355036195846253,-0.615450525509647,-276.751076064622,-463.012037338932,4.35573507153714,10.313732345444,-2.1618290070653e-83,-2.98613833595098e-82
1400,356183.808378196,17781.7958228548,2094.42646879308,-123.230980823943,2493.36827111806,6014.10355232103,11963.3979741726,600.218107248211,1006.58587415826,-64.8110005829578,-12958.1085366751,0.328813710859873,-0.584216735115634,-237.304164737189,-396.312117671407,3.71485976128292,8.86791177814161,-7.66288630279499e-84,-1.06858686203667e-82
1450,328164.400348486,16458.9274713755,1949.24824083602,-116.353187961686,2370.91355036992,5390.50687536546,10716.2622425572,545.914467896281,906.209483172066,-61.507565578617,-11668.814022322,0.305035341701843,-0.555020932799534,-204.44381071271,-340.857724711761,3.18273295666725,7.65669528458459,-2.80604299399113e-84,-3.94933323852669e-83
1500,303018.048168183,15265.49912276,1817.4319156366,-109.999672117739,2256.96429396904,4846.36045763347,9628.75514659428,497.670932890464,818.084362672349,-58.4190473673484,-10544.2788182156,0.283427934310736,-0.527701481890031,-176.918286237566,-294.492416429333,2.73857634783282,6.63709702412997,-1.05941819858746e-84,-1.50452152510874e-83
1550,280385.046275744,14185.9601447114,1697.45861163707,-104.120219971369,2150.76394415392,4369.7552217236,8676.85068061319,454.689047002376,740.454915781725,-55.5285247962338,-9559.07224586655,0.263753726035859,-0.502111770857923,-153.741052163638,-255.520483240373,2.36600340408761,5.77486405617363,-4.11650005719483e-85,-5.89733756894519e-84
1600,259958.472430015,13206.957963931,1588.013427947,-98.6703682654154,2051.63737877908,3950.82144475303,7840.652598911,416.290934503515,671.852647235659,-52.8206336787087,-8692.32417623128,0.245805154819851,-0.478118617630716,-134.129096669131,-222.598960387054,2.05200638138679,5.04253650316094,-1.64346418600912e-85,-2.37457435595078e-84
1650,241475.360148231,12316.9829544683,1487.95403551129,-93.610642001185,1958.98068490274,3581.33813749424,7103.60064875384,381.898868709511,611.043672169128,-50.2814034469263,-7926.79981488198,0.229400515055732,-0.45560086389503,-117.456819656879,-194.657073119135,1.78619558432685,4.41797368465068,-6.73143277645793e-86,-9.80700728874999e-85
1700,224709.519927182,11506.0775417946,1396.2846952262,-88.9059067083446,1872.2523927601,3254.42479093136,6451.84472232337,351.018663423953,556.98678889636,-47.8981129897198,-7248.18274827038,0.2143803086254,-0.434448134392058,-103.221254223402,-170.835633809648,1.56022365242287,3.88322625157502,-2.8246657010931e-86,-4.14867991777413e-85
1750,209465.670566305,10765.5967283561,1312.13466771407,-84.5248158163148,1790.96593738546,2964.29660528913,5873.74831005101,323.2261067483,508.79980368199,-45.6591631888712,-6644.51499704891,0.200604169039678,-0.414559739803163,-91.0156304576668,-150.44108288186,1.36734668080558,3.42366721512711,-1.21278483128583e-86,-1.79537535182158e-85
