PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,2127169.11455891,154464.536738857,42456.5148004808,5043.55963106173,3632.73585495004,580086.269488201,1181518.53578885,51783.3923061847,102391.863023278,3125.3640453321,-1032.79181546295,133.622832148577,112.765071785974,57019.738778987,86600.1046049574,7704.07775713943,12289.6780405084,4.60739703808145e-06,8.82919664643132e-06
1050,2020577.96099664,146562.795400939,39392.2140977076,4665.86090391734,3403.58094030574,525598.526106706,1066709.13279154,47407.9512914138,93600.5175608948,2892.74388645207,-933.798302130224,122.35489070755,105.771361472225,49381.5131828219,74991.2533887309,6711.99824213463,10740.697272953,3.43530308919866e-06,6.58724809695634e-06
1100,1921169.39134192,139208.408815855,36631.7256266481,4327.68402834609,3194.76747432208,477561.399562639,965927.780707054,43501.6778844651,85765.883529175,2682.58129444057,-847.200514268007,112.331211077744,99.3501763464633,42971.1119749895,65248.2564397516,5872.14789460904,9424.71995990859,2.58883981691502e-06,4.96737693281944e-06
1150,1828339.7757192,132353.919049872,34137.1981667239,4023.79118241212,3003.99526071428,435061.802831883,877128.574954427,40004.1183721556,78762.9592304554,2492.23486004895,-771.105279139291,103.383730088895,93.4437596475828,37560.2628645762,57024.4476528074,5157.6208361043,8301.32606870644,1.97038622676482e-06,3.78323959779027e-06
1200,1741545.91430947,125956.779848321,31876.4062180987,3749.775945571,2829.27721572978,397335.958527225,798609.84160852,36863.8539111298,72485.6734594339,2319.42697278807,-703.957454662,95.3710026951231,88.0012348447287,32968.5410689803,50045.7517007936,4546.85977595426,7337.98947346303,1.51360293367764e-06,2.90817743406654e-06
1250,1660298.050072,119978.768811315,29821.7858789722,3501.91082816216,2668.88989672198,363741.867556547,728948.901832155,34036.9727951576,66843.6436399795,2162.18672619063,-644.47136258906,88.1733983633286,82.9776655239459,29052.2712030688,44093.867785185,4022.48107108238,6508.37296317562,1.17280007524297e-06,2.25493434023968e-06
1300,1584153.79409846,114385.479094444,27949.6567407263,3277.02630744912,2521.3328757276,333737.400750127,666950.516448764,31485.8296979183,61759.5504082147,2018.80283241887,-591.577699259692,81.6892649679254,78.3332595542367,25696.237543916,38993.702693234,3570.38116955869,5791.02500460746,9.16113902391435e-07,1.76264040425206e-06
1350,1512712.83117614,109145.878677883,26239.59010375,3072.41416782772,2385.29520163601,306862.75875404,611605.879143809,29178.0328421243,57167.0002940593,1887.78461546162,-544.382095794135,75.8318460711641,74.0326930553053,22807.4359431623,34603.8948299269,3179.05175270309,5168.37608862763,7.21061672960216e-07,1.38833211222934e-06
1400,1445612.29420732,104231.927218911,24673.8930604507,2885.74973889546,2259.62757643457,282726.348067712,562059.800889371,27085.6132082622,53008.7770918918,1767.82955712623,-502.13252462231,70.5267889086624,70.044534223294,20310.3244914861,30809.6084945216,2839.05096782737,4625.96028879001,5.71605124140313e-07,1.10134994697569e-06
1450,1382522.71356325,99618.2421216455,23237.1849121234,2715.02893791076,2143.31916300707,260993.345511385,517584.297435701,25184.3399086016,49235.4044465658,1657.79618351248,-464.193479971199,65.7101185548475,66.340750696982,18143.184510404,27517.010834055,2542.59233272082,4151.80742572984,4.56184979792504e-07,8.79588067286151e-07
