PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,2036282.95944123,161217.196557927,52824.9136665873,8320.69308794653,3646.03669473379,756487.511748466,1585491.74310835,68500.0996334938,137717.774898009,6763.56897447613,11818.1477436518,268.749643288839,250.050222728547,111137.314485126,168725.365677184,13826.0180448687,21679.6282334488,0.00414722876135547,0.00728414769285093
1050,1947398.74953199,153842.981181685,49192.8585697756,7695.6726184445,3413.7865719721,690512.618680299,1440306.67612009,63196.0137680823,126720.496322836,6255.74033562948,10750.2832281027,246.546848767729,234.324010391227,96983.4868579059,147203.202132355,12156.6992084977,19099.8231677941,0.00321836463404166,0.00565351983721658
1100,1863757.00997725,146927.563665282,45906.0260797615,7136.48245612819,3202.36326978428,631824.621952871,1311910.35830319,58416.1959109145,116842.521321516,5797.50986400967,9808.97438419312,226.763793931085,219.909525030446,85002.1702893646,128986.728058814,10728.9478033268,16888.3886950714,0.00252014928079465,0.00442781998326132
1150,1784970.70631355,140435.097403075,42923.0265061034,6634.32658260604,3009.38747637291,579457.807544284,1197978.31785149,54098.1127653886,107946.532448825,5382.96692720879,8975.87452676948,209.076542711924,206.67159824423,74806.4427218794,113487.163824609,9502.32526929179,14984.4247837757,0.00199004263819876,0.00349720200875953
1200,1710686.94454386,134333.087959735,40208.4056429537,6181.81782081252,2832.80707434914,532594.72831776,1096558.27206345,50187.9107983519,99914.7974942877,5007.02642267458,8235.75364734033,193.212147454992,194.491532673951,66087.2711797773,100234.213648204,8444.03228001951,13338.4009888602,0.00158380486061681,0.00278398697198728
1250,1640583.48358031,128592.029725354,37731.6613202792,5772.717008343,2670.84492209283,490540.474323051,1006002.86787535,46639.0493799215,92646.0028823866,4665.29732790902,7575.89574879005,178.939487151577,183.264797867711,58596.1249382686,88849.6334854888,7527.30964319049,11909.8030859336,0.00126977136520185,0.00223259013639883
1300,1574365.65111033,123185.087184249,35466.4437036318,5401.72659408106,2521.95606416714,452701.898990799,924915.895659572,43411.1736091104,86052.6567642545,4353.97463819049,6985.62609080501,166.061945459567,172.899088345773,52131.8305003224,79027.2421064495,6730.2049706139,10665.3122430856,0.00102502806577224,0.00180279523493336
1350,1511763.61092733,118087.814697763,33389.9013169579,5064.326094261,2384.79248009011,418570.756388066,852109.025622726,40469.1806887853,80058.9493716731,4069.75011270937,6455.93761446385,154.411522148256,163.312680910837,46530.5501518649,70517.6784764816,6034.61469765959,9577.38643762552,0.000832821834796991,0.00146520310776525
1400,1452529.93712074,113277.909617661,31482.1433594579,4756.6400081513,2258.17389580558,387709.943166589,786566.814938434,37782.4433522822,74598.9822714568,3809.7382249101,5979.19369579455,143.844069113599,154.433040194905,41658.0815105089,63116.6870126145,5425.53497557944,8623.14798534399,0.000680785282313336,0.00119811290743696
1450,1396437.45674249,108734.9943134,29725.7953839204,4475.33109791173,2141.06349860991,359742.218903249,727418.255155629,35324.1613170346,69615.2966877604,3571.41446419483,5548.89008938846,134.235414448425,146.195630931926,37403.8964360778,56656.0473768923,4890.47216160812,7783.50568295147,0.000559705471417301,0.000985359700628986
1500,1343277.32784473,104440.423339926,28105.6303498131,4217.51363163481,2032.54763922002,334340.915435912,673913.52135597,33070.8175672789,65057.6454109741,3352.56371873515,5159.46310083322,125.478192155129,138.542903030578,33676.4939362353,50996.5025663584,4418.97609735753,7042.45797941147,0.000462660474780423,0.000814798539526064
1550,1292857.32427255,100377.112514092,26608.2608563475,3980.6824458658,1931.8187924299,311222.250562801,625404.881221746,31001.7208355905,60881.9639902616,3151.23692348594,4806.13410970491,117.479235863629,131.423421607432,30399.7532924573,46022.2084458603,4002.26847465623,6386.53672701367,0.000384407588420767,0.000677230635098101
1600,1245000.30242125,96529.3871247075,25221.8812874316,3762.65462477287,1838.16119385163,290138.942142761,581330.948271982,29098.6192522892,57049.5056613809,2965.7145137883,4484.78285905537,110.157425871991,124.791119045225,27510.0540549496,41636.3499919326,3632.94529609488,5804.36076790426,0.000320945607626219,0.000565635209938049
1650,1199542.828438,92882.8468878787,23936.0508736788,3561.52130292034,1750.93868452652,270874.88111787,541203.636927151,27345.3729820316,53526.1113535474,2794.47550582762,4191.84364808615,103.441902488952,118.60465011021,24953.9880204123,37757.6583255965,3304.73741476516,5286.27583488382,0.000269198743278451,0.000474614906561945
1700,1156333.94714724,89424.2455873076,22741.5104530465,3375.60763813135,1669.58438514825,253240.670652368,504597.310863826,25727.6759348123,50281.5915721262,2636.17124776143,3924.21986504381,97.2705768637949,112.826834387964,22686.5311599357,34317.6277271365,3012.3168569676,4824.06265884786,0.000226786377236345,0.000399991859244374
1750,1115234.07638328,86141.3836181748,21630.0271078367,3203.43941401096,1593.59189283119,237069.876701429,471139.719965402,24232.8184513605,47289.2012890414,2489.60306251924,3679.21328701792,91.5888845852294,107.424172928362,20669.5751207977,31258.2799411968,2751.13942982954,4410.69925966334,0.000191853954188394,0.000338511049025172
1800,1076114.01248073,83023.0118910954,20594.2619591332,3043.71505014016,1522.50774999636,222215.865332842,440504.402219153,22849.4843182596,44525.1924350287,2353.70314500532,3454.46533160993,86.3487383100887,102.366428145157,18870.7414852927,28530.3588980338,2517.31623459369,4040.16649849753,0.000162947798965732,0.000287620726281143
1850,1038854.03445583,80058.745755892,19627.6572762881,2895.2820450292,1455.92498023455,208549.125867026,412404.290496527,21567.5766414367,41968.4313651946,2227.51819030801,3247.90803019856,81.5076442827653,97.6262577865108,17262.4196273728,26091.8658280418,2307.50832068165,3707.28833864251,0.00013892175684308,0.000245308659085299
1900,1003343.09595101,77238.9877790417,18724.3397589115,2757.1170698125,1393.47752239155,195954.997774565,386586.314297771,20378.0680564641,39600.0709067517,2110.19532140261,3057.7229462325,77.0279543794983,93.178895253395,15820.9823316374,23906.8650118009,2118.83995290258,3407.60008211071,0.000118867071722734,0.000209979142324886
1950,969478.095347569,74554.8583581234,17879.0374102834,2628.30908214912,1334.83542348782,184331.734342517,362826.826278886,19272.8715259805,37403.2684075964,2000.96995928259,2882.30661606641,72.8762306737849,89.0018697514692,14526.143457578,21944.5058006044,1948.82691781855,3137.23925563982,0.000102059361256181,0.000180359993461431
2000,937163.215606505,71998.1332851873,17087.0078736293,2508.0449494197,1279.70067489369,173588.848209948,340927.715016406,18244.7286041684,35362.9426740831,1899.15533901206,2720.2413677376,69.0227037853789,85.0747607655594,13360.4296634231,20178.2183059527,1795.31703430407,2892.85491214258,8.79182612788627e-05,0.000155431767947181
2050,906309.326401319,69561.1874818409,16343.97646903,2395.59716529021,1227.80359556396,163645.693610755,320713.090767876,17287.1125636958,33465.5638843616,1804.1334246425,2570.27059232333,65.4408096857876,81.3789821816804,12308.744146272,18585.0491992606,1656.44060903095,2671.53196650935,7.59765229950887e-05,0.000134373552453193
2100,876833.441980431,67236.9442246258,15646.0824665513,2290.31331950761,1178.899681981,154430.248037247,302026.451309487,16394.1442040261,31698.9715437774,1715.34701646373,2431.27771638091,62.1067923719968,77.8975920797958,11358.0049481948,17145.1110533385,1530.56902830966,2470.72785381226,6.58562092197941e-05,0.000116521207931383
2150,848658.228958361,65018.8292621809,14989.8323742763,2191.60704157555,1132.76685745828,145878.062432259,284728.25132472,15560.5185091039,30052.2163535362,1632.29287739171,2302.26826252081,58.999362029274,74.6151248055723,10496.843947165,15841.1240899959,1416.28003225976,2288.21932543202,5.72502554539337e-05,0.000101335021198507
2200,821711.558900365,62900.7292975969,14372.0592191403,2098.95018793059,1089.20306416752,137931.35422888,268693.812092557,14781.4406111506,28515.422526767,1554.51573280478,2182.35449608922,56.0994000932873,71.517442421002,9715.35543963918,14658.0334421939,1312.32849746662,2122.05761631602,4.99081095378738e-05,8.83745094472403e-05
2250,795926.101147263,60876.9543718644,13789.886962332,2011.86608187351,1048.02415010761,130538.221819585,253811.51901529,14052.5697568453,27079.6676340345,1481.60302091838,2070.74224514616,53.3897040770577,68.5916030480085,9004.88541011818,13582.688371056,1217.62177668886,1970.53054877489,4.3624489830295e-05,7.72786941765718e-05
2300,771238.951837415,58942.2037387208,13240.6993263082,1929.92364772559,1009.06201057986,123651.96253555,239981.263331425,13369.9701715163,25736.8775146731,1413.18028970889,1966.71955298002,50.8547662164378,65.8257439691278,8357.85430919382,12603.5725062341,1131.1988214803,1832.13040354574,3.82305409813182e-05,6.77505803635467e-05
2350,747591.295530631,57091.5348686457,12722.1124225361,1852.73230697231,972.16294984904,117230.479098781,227113.09156987,12730.0678833519,24479.73416816,1348.90715216364,1869.64688084068,48.480580961555,63.2089776458127,7767.60752931381,11710.5762607186,1052.21245551169,1705.52660161716,3.35868427761112e-05,5.95448860319738e-05
