PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,1937943.45165761,163333.188013535,60343.700439594,11309.8409207648,3684.03651783008,886790.297947036,1903986.72771425,80344.2537860354,165047.976255103,10531.1615227337,21882.1644439471,429.881306441384,428.331490963044,167610.488724202,254392.843870776,20123.4051540369,31278.287474776,0.175344404530805,0.293636156120824
1050,1861516.28419966,156451.350753053,56353.873079904,10462.6303956118,3447.77048667482,813725.922039096,1737241.85885098,74543.1705025171,152569.481088866,9744.58365846055,19988.9713097201,395.039138984465,401.13665310461,147050.518047557,223101.460327189,17809.0379166297,27714.3388094487,0.139177076055688,0.233037676126661
1100,1789174.85207823,149965.111090856,52730.3866979139,9704.62889222294,3232.8459795514,748311.423729321,1588993.00057914,69279.0141258399,141298.171712115,9034.60107599694,18311.2120421358,363.942616916258,376.239640945687,129539.504298334,196458.526290952,15815.0222906521,24639.563311491,0.111365281204793,0.186453461126652
1150,1720645.09701209,143845.847698778,49430.6950593468,9023.90502484317,3036.8067197836,689583.337696701,1456778.32372989,64491.6314246821,131092.893810689,8392.10085102165,16818.8376040157,336.095556745999,353.400159090373,114551.623178628,173661.507067881,14089.9055247577,21976.0039435745,0.0897845075395688,0.150315203252368
1200,1655674.96964764,138067.422215026,46418.1737557762,8410.44163697413,2857.53673027193,636719.057719185,1338515.59450935,60128.7304037924,121831.722413853,7809.24184799717,15486.7184517291,311.079215014171,332.407658449539,101663.734262469,154064.684778798,12591.5830813142,19659.7640998757,0.0728968642433725,0.122041509308455
1250,1594032.37904581,132605.929175415,43661.1664463397,7855.78066208781,2693.20562082584,589013.519692125,1232436.01957999,56144.712355721,113408.987095951,7279.25225258256,14293.7264779318,288.538471590409,313.077106432748,90533.1120338735,137145.139953007,11285.4129323254,17638.1909181024,0.0595770229780943,0.0997445293819879
1300,1535503.35885042,127439.4745159,41132.2045342057,7352.74226349704,2542.22382724217,545860.175149105,1137030.88724152,52499.6974771701,105732.810021609,6796.26313504591,13222.0081772833,268.170770886419,295.245433240458,80880.4618039881,122476.80669421,10142.7461939503,15867.6763958692,0.0489931880473413,0.0820295191716749
1350,1479890.42460528,122547.979006689,38807.3653097148,6895.20106165205,2403.2057922238,506735.389987883,1051008.29573903,49158.7087806089,98723.0597211142,6355.17098629038,12256.4052765027,249.717214995774,278.768534739535,72476.8637560574,109710.529054261,9139.77461148614,14311.9296086928,0.040524686853454,0.0678561822295595
1400,1427011.09999804,117913.003488272,36665.7413012527,6477.90659828747,2274.93952257237,471185.592253662,973257.880530236,46090.9860168227,92309.6434534621,5951.52367201503,11383.9899370076,232.95534751628,263.518735476103,65133.6616858555,98558.6163067632,8256.62090534849,12940.6106996349,0.0337042503922238,0.0564416259551896
1450,1376696.5926524,113517.593212005,34688.9994459461,6096.3383452376,2156.36129510399,438816.637567744,902821.920511813,43269.4068193172,86431.0765661617,5581.42540926964,10593.6896051894,217.693274345845,249.382633636597,58694.5770569689,88782.7980867478,7476.6165296857,11728.2445451553,0.0281771452676666,0.0471916956595253
