PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1000,1325827.9392561,149041.013950411,87964.8539905244,30206.4178523131,4600.1877555013,1414540.30660628,3504942.43712166,116064.450734446,290561.231814269,34656.068320891,75703.6999858598,2723.08433243146,4093.69078740547,715892.923620813,1098009.00948209,78977.0808068934,121457.605139066,4731.80313662845,6966.43630980428
1050,1294133.51956434,144868.452269484,83388.9923001008,28143.1520854525,4298.08015800984,1329149.31801193,3262895.50223654,110471.990205697,274151.242327888,32522.2998752519,70452.0342619437,2534.22153229486,3825.95776491278,643713.284882783,985663.443749715,71987.9729607062,110517.970163587,4015.12569513467,5905.22447073648
1100,1263479.30343097,140857.273002006,79150.9317103303,26280.5507381653,4024.11158859875,1250410.9667903,3042307.6257659,105231.631315612,258947.764299108,30562.285746015,65685.7226651943,2363.21975007707,3581.92744328918,580456.139832546,887387.783291119,65758.044766711,100787.244792169,3424.83509407981,5032.27518166162
1150,1233822.04687458,136999.548148818,75218.7017154767,24593.6399088255,3774.93242088663,1177694.55483947,2840873.17741468,100316.162566113,244842.257257995,28758.5695809046,61349.2654778401,2207.96331514762,3358.9797244321,524825.300030727,801113.616811945,60190.2148214284,92108.2197607584,2935.67803691016,4309.7439617566
1200,1205120.67538943,133287.8202299,71563.9939032617,23061.1932974021,3547.67367520837,1110439.44855812,2656575.80980505,95700.8534318562,231737.667193628,27095.7675392851,57394.6687841946,2066.63508009889,3154.8390738665,475739.586254824,725119.441926903,55201.6058661172,84347.0680011137,2528.00634571655,3708.23718294065
1250,1177336.15679039,129715.069651645,68161.6727327186,21665.0793495957,3339.86693217067,1048146.19473794,2487647.15565405,91363.194723411,219547.03502135,25560.2858997264,53780.2798283803,1937.66787734822,2967.52231697109,432292.942531461,657965.641261552,50721.2155993463,77389.4483901413,2186.41549022834,3204.74694722972
1300,1150431.38256524,126274.684656985,64989.3605915798,20389.737022894,3149.37934508564,990368.897645966,2332532.10906485,87282.6695184904,208192.294224533,24140.0819021107,50469.8252413725,1819.70486248818,2795.29534131575,393722.696091028,598442.869082233,46688.0089023149,71137.3256000535,1898.74081785551,2781.13179508814
1350,1124371.05709575,122960.433629195,62027.0845562543,19221.7520587114,2974.36059083488,936708.659791755,2189859.53601685,83440.5506739549,197603.229246181,22824.4605047047,47431.6131105572,1711.56694441235,2636.63702314167,359384.153985505,545530.841994407,43049.3483753736,65506.3626463266,1655.31077672078,2422.98865740432
1400,1099121.59416195,119766.439542633,59256.9746179989,18149.5123655602,2813.19932264953,886807.922598295,2058417.47950708,79819.7215006562,187716.570870106,21603.9010899224,44637.8680517267,1612.22590024138,2490.20904303936,328730.159870503,498365.252813056,39759.6977707896,60423.7737146709,1448.38657651152,2118.80801985689
1450,1074651.02019258,116687.156373809,56663.0050061486,17162.9261020661,2664.4872328057,840345.570700233,1937132.09984567,76404.5166643611,178475.208667967,20469.9092352764,42064.1747764072,1520.78207601737,2354.83052550057,301294.556625641,456211.065267644,36779.5465632405,55826.5486671509,1271.73834449135,1859.33600911371
1500,1050928.8837681,113717.347304076,54230.7717362789,16253.1897764929,2526.98924600544,797032.686107003,1825049.73030975,73180.5807837411,169827.503754755,19414.8895362582,39689.0105759993,1436.44580633382,2229.45664774503,276678.742063866,418440.849893083,34074.5145024572,51659.9790429287,1120.32207907572,1637.08899085969
1550,1027926.1709229,110852.064561321,51947.3007170011,15412.5964906089,2399.61867943494,756608.856962802,1721321.54034842,70134.7425427636,161726.687717064,18432.0361703492,37493.3510019538,1358.52186522368,2113.16052884658,254540.68736764,384517.124660052,31614.6032682133,47876.4296846538,990.031649735341,1445.98151129629
1600,1005615.22582983,108086.630762412,49800.8817247504,14634.3765919872,2281.41644790864,718838.960879637,1625190.38869127,67254.9024297195,154130.335756252,17515.2384607516,35460.3360573845,1286.39639972879,2005.11784106205,234585.926492016,353977.893712697,29373.568840055,44434.3113083793,877.507104712348,1281.03913605575
1650,983969.676482848,105416.621631048,47780.9243487786,13912.5646340915,2171.53358017853,683510.355426436,1535979.52159851,64529.9324668013,146999.903903049,16658.999161809,33574.9866176759,1219.52590622402,1904.59368922244,216560.130761271,326424.75287861,27328.3933119999,41297.2181208068,779.985538116268,1138.17535420607
1700,962964.365024668,102837.84997726,45877.8326555266,13241.887803919,2069.2164586958,650430.418816042,1453082.83064615,61949.5865094144,140300.321676567,15858.3635666451,31823.962707743,1157.42789491958,1810.9313870249,200242.96441595,301513.065139648,25458.8389357389,38433.2015212523,695.184349928217,1014.01716946232
1750,942575.282393251,100346.350835213,44082.8958515842,12617.6719548687,1973.7943097041,619424.392535559,1375956.43263604,59504.4198789376,133999.632831377,15108.8578479628,30195.3567897559,1099.67295537972,1723.54282561305,185442.97994222,278943.813084984,23747.0704005246,35814.1564229017,621.209325041612,905.767941211687
1800,922779.506986769,97938.3676653245,42388.1926603423,12035.7621459413,1884.66856087313,590333.484930091,1304111.37363228,57185.7172511649,128068.67790437,14406.4352983977,28678.5164401717,1045.87798942135,1641.90018344605,171993.361079699,258456.81595675,22177.3339344413,33415.3011056819,556.481848829343,811.098907542652
1850,903555.147069616,95610.3395351716,40786.5074872486,11492.4551879423,1801.30375527387,563013.200830868,1237107.29146953,54985.4278591184,122480.813173042,13747.4293477601,27263.8917825902,995.700420466008,1565.52876983737,159748.359769375,239825.061779669,20735.6838789764,31214.7350143513,499.680966917908,728.062928124388
1900,884881.286663307,93358.8892012433,39271.2567466288,10984.4421708881,1723.21976753684,537331.867423225,1174546.89771307,52896.1071866127,117211.661397227,13128.5124092722,25942.9038426521,948.833222662119,1494.00082979128,148580.303453579,222849.954380263,19409.7490540788,29193.0617272368,449.697026007641,655.025541112509
1950,866737.93468551,91180.8120204896,37836.4239707784,10508.759322831,1649.98511370717,513169.330846204,1116071.16205628,50910.864430673,112238.890360334,12546.6597521736,24707.8306413556,905.000640674922,1426.93016651866,138377.072948421,207357.313964931,18188.5325775551,27333.0665881894,405.594399686257,590.609586545253
2000,849105.977118302,89073.0656268053,36476.5025286357,10062.7458504398,1581.211183055,490415.801641201,1061355.10038082,49023.3150989758,107542.015773013,11999.1177191895,23551.7083738207,863.954493353379,1363.96746156135,129039.969996822,193194.000697941,17062.2398957326,25619.4403293114,366.581378708777,533.650516450254
2050,831967.132003046,87032.760313208,35186.4449541921,9644.00765240436,1516.54724979822,468970.830234605,1010104.08287032,47227.5381848867,103102.225567615,11483.3757086491,22468.2454552913,825.470972609525,1304.79619180926,120481.908660844,180225.055195034,16022.1306727646,24038.5415027099,331.985739710401,483.160166094761
2100,815303.907074314,85057.1500655492,33961.6180298458,9250.38599073721,1455.67614680241,448742.396240964,962050.591214977,45518.0374290626,98902.2230089055,10997.1414259927,21451.7475736631,789.347863630703,1249.12905866144,112625.876756485,168331.269399115,15060.3909138614,22578.1917548804,301.2348363056,438.297257019187
2150,799099.559859087,83143.624198197,32797.7628919912,8879.93036209735,1398.31050297544,429646.097585105,916951.364521786,43889.7062343898,94926.0863860138,10538.3189808634,20497.0521828192,755.40212465214,1196.70485779875,105403.623212571,157407.116987348,14170.0222947647,21227.4989716006,273.839308581828,398.343281040331
2200,783338.060080103,81289.6995463102,31690.959529183,8530.87493896128,1344.18946215991,411604.427326457,874584.882416209,42337.7958514389,91159.1433415069,10104.9894662402,19599.471115309,723.467774468519,1147.28572901275,98754.5350435394,147358.985089717,13344.7461610728,19976.7041373536,249.379700584697,362.682704802471
2250,768004.054213917,79493.0131731059,30637.5951304422,8201.61805471895,1293.0758145434,394546.12767866,834749.141281914,40857.8864956489,87587.8581433502,9695.39370702554,18754.7401957995,693.394044071984,1100.65473468135,92624.6739493378,138103.659311329,12578.9200665719,18817.0484253754,227.495424860605,330.786658409923
2300,753082.832064972,77751.3155539721,29634.3358152997,7890.70429223414,1244.75348250694,378405.612095456,797259.685876009,39445.8610959825,84199.7304204741,9307.91690870254,17958.9749058085,665.043755599169,1056.61372312593,86965.9476956474,129567.022338408,11867.4650555155,17740.6575895998,207.875629113523,302.199445278431
2350,738560.29522687,76062.4642024037,28678.1013401627,7596.80880572999,1199.02531185514,363122.447475919,761947.863875497,38097.8814085609,80983.2040680503,8941.07497339164,17208.631291553,638.291897413582,1014.98143949251,81735.3956204947,121682.933158087,11205.8021726474,16740.4411897685,190.251610482616,276.527345578381
2400,724422.927311147,74424.4177055895,27766.0424293304,7318.72356393995,1155.71112686476,348640.88955804,728659.275417776,36810.3662584195,77927.585188727,8593.50228191292,16500.4714252251,613.024368852368,975.591852186958,76894.5710454638,114392.259439155,10589.7969169908,15810.0045632284,174.390493811812,253.4292914894
2450,710657.76583228,72835.2301400767,26895.5204249339,7055.34525060301,1114.64601383414,334909.465444878,697252.39352692,35579.9716985815,75022.9680746952,8263.94076717123,15831.5328296197,589.136872097287,938.292667436719,72409.0061884659,107642.040145449,10015.7105493725,14943.5717754873,160.089946053193,232.60907570806
